size,nthread_per_process,total_nthreads,time
1,1,1,73.491797
1,1,1,73.486468
1,1,1,73.625136
1,1,1,73.627437
1,1,1,73.621190
1,1,1,73.627961
12,1,12,5.942933
12,1,12,5.944453
12,1,12,5.942947
12,1,12,5.945446
12,1,12,5.941684
12,1,12,5.941955
12,1,12,5.942162
12,1,12,5.944856
12,1,12,5.941722
12,1,12,5.942211
24,1,24,3.006832
24,1,24,3.006571
24,1,24,2.995545
24,1,24,2.993782
24,1,24,3.018805
24,1,24,2.977007
24,1,24,3.010519
24,1,24,3.000950
24,1,24,2.978054
24,1,24,3.012017
36,1,36,1.986526
36,1,36,1.988571
36,1,36,1.989958
36,1,36,1.991450
36,1,36,1.990522
36,1,36,1.989146
36,1,36,1.989135
36,1,36,1.987718
36,1,36,1.988608
36,1,36,1.989772
48,1,48,1.493025
48,1,48,1.492650
48,1,48,1.493736
48,1,48,1.491683
48,1,48,1.492446
48,1,48,1.492230
48,1,48,1.491976
48,1,48,1.491940
48,1,48,1.494156
48,1,48,1.494917
60,1,60,1.195932
60,1,60,1.195220
60,1,60,1.196355
60,1,60,1.196554
60,1,60,1.196403
60,1,60,1.195113
60,1,60,1.195233
60,1,60,1.192919
60,1,60,1.193440
60,1,60,1.196517
72,1,72,0.995994
72,1,72,0.996587
72,1,72,0.997228
72,1,72,0.998111
72,1,72,0.997005
72,1,72,0.999317
72,1,72,0.997077
72,1,72,0.997423
72,1,72,0.996148
72,1,72,0.995932
12,1,12,5.941536
12,1,12,5.944242
12,1,12,5.942911
12,1,12,5.943574
12,1,12,5.944089
12,1,12,5.945802
12,1,12,5.941538
12,1,12,5.942902
12,1,12,5.942468
12,1,12,5.945436
24,1,24,2.977982
24,1,24,3.005324
24,1,24,3.014788
24,1,24,3.023954
24,1,24,3.050555
24,1,24,2.977680
24,1,24,3.009625
24,1,24,3.012483
24,1,24,3.047003
24,1,24,3.022134
36,1,36,2.002408
36,1,36,1.987914
36,1,36,1.986435
36,1,36,1.987667
36,1,36,1.987361
36,1,36,1.987931
36,1,36,1.987122
36,1,36,1.986824
36,1,36,1.989262
36,1,36,1.985957
48,1,48,1.494010
48,1,48,1.495349
48,1,48,1.491983
48,1,48,1.495148
48,1,48,1.492021
48,1,48,1.495014
48,1,48,1.494925
48,1,48,1.491702
48,1,48,1.491530
48,1,48,1.492235
60,1,60,1.196471
60,1,60,1.196132
60,1,60,1.197100
60,1,60,1.199710
60,1,60,1.195966
60,1,60,1.195879
60,1,60,1.195387
60,1,60,1.197510
60,1,60,1.197370
60,1,60,1.197173
72,1,72,1.001865
72,1,72,1.001944
72,1,72,1.003200
72,1,72,1.001708
72,1,72,1.000102
72,1,72,0.997542
72,1,72,1.001915
72,1,72,1.000794
72,1,72,0.999793
72,1,72,1.002324
