size,time
1,94.275728
1,94.276416
1,94.280009
1,16.426067
1,16.504394
1,16.427342
12,7.811001
12,7.772757
12,7.771483
12,7.759703
12,7.774572
12,7.769442
12,7.767756
12,7.785898
12,7.755063
12,7.773238
24,3.934780
24,3.940278
24,3.929455
24,4.006790
24,3.942374
24,3.942558
24,3.936362
24,3.940229
24,3.941341
24,4.001026
36,2.645457
36,2.642004
36,2.639668
36,2.639814
36,2.654906
36,2.648894
36,2.644633
36,2.646677
36,2.650610
36,2.636549
48,1.989924
48,1.983207
48,1.990575
48,1.981899
48,1.979675
48,1.985642
48,1.972372
48,1.977611
48,1.982624
48,1.976101
60,1.590398
60,1.580430
60,1.568766
60,1.579472
60,1.602611
60,1.591842
60,1.593382
60,1.593120
60,1.567802
60,1.595420
72,1.303533
72,1.334945
72,1.334735
72,1.315884
72,1.327331
72,1.315050
72,1.316114
72,1.304028
72,1.309144
72,1.314790
12,1.357830
12,1.366472
12,1.356179
12,1.359177
12,1.367614
12,1.361617
12,1.362522
12,1.361610
12,1.356277
12,1.363372
24,0.773665
24,0.771973
24,0.768553
24,0.769878
24,0.772866
24,0.769566
24,0.780496
24,0.770161
24,0.773777
24,0.766818
36,0.505971
36,0.509244
36,0.519885
36,0.519974
36,0.512064
36,0.508655
36,0.516400
36,0.520361
36,0.511289
36,0.518504
48,0.385343
48,0.373281
48,0.375829
48,0.385080
48,0.380090
48,0.383310
48,0.390848
48,0.386036
48,0.381612
48,0.378550
60,0.319700
60,0.317423
60,0.320779
60,0.317411
60,0.309188
60,0.341764
60,0.318021
60,0.314240
60,0.320331
60,0.321205
72,0.266276
72,0.266482
72,0.267481
72,0.264717
72,0.275782
72,0.267545
72,0.276801
72,0.297352
72,0.267387
72,0.274664
