size,nthreads_per_process,total_nthreads,time
64,1,64,48.419463
64,1,64,48.428767
64,1,64,48.446406
64,1,64,48.438946
64,1,64,48.450527
128,1,128,27.787191
128,1,128,27.581318
128,1,128,27.635124
128,1,128,27.603326
128,1,128,27.575478
192,1,192,17.754103
192,1,192,17.597866
192,1,192,17.600009
192,1,192,17.635759
192,1,192,17.631041
256,1,256,13.617196
256,1,256,13.605285
256,1,256,13.617812
256,1,256,13.604372
256,1,256,13.607971
320,1,320,10.684896
320,1,320,10.704991
320,1,320,10.697012
320,1,320,10.943166
320,1,320,10.691111
384,1,384,9.080416
384,1,384,9.090442
384,1,384,9.152845
384,1,384,9.183151
384,1,384,9.090400
448,1,448,7.691913
448,1,448,7.694043
448,1,448,7.727178
448,1,448,7.696047
448,1,448,7.689762
512,1,512,6.806444
512,1,512,6.814014
512,1,512,6.875405
512,1,512,6.833307
512,1,512,6.920005
