size,nthreads_per_process,total_nthreads,time
64,1,64,23.741847
64,1,64,23.741123
64,1,64,23.759250
64,1,64,23.767175
64,1,64,23.787548
128,1,128,13.224394
128,1,128,13.270176
128,1,128,13.286023
128,1,128,13.323532
128,1,128,13.306542
192,1,192,8.608460
192,1,192,8.565839
192,1,192,8.584530
192,1,192,8.562965
192,1,192,8.564288
256,1,256,6.632568
256,1,256,6.669707
256,1,256,6.692071
256,1,256,6.645615
256,1,256,6.765821
320,1,320,5.204917
320,1,320,5.208487
320,1,320,5.209189
320,1,320,5.211875
320,1,320,5.224382
384,1,384,4.408243
384,1,384,4.417331
384,1,384,4.527732
384,1,384,4.516395
384,1,384,4.423447
448,1,448,3.749836
448,1,448,3.739497
448,1,448,3.794451
448,1,448,3.743639
448,1,448,3.746217
512,1,512,3.320935
512,1,512,3.326260
512,1,512,3.325889
512,1,512,3.327167
512,1,512,3.330414
