size,nthreads_per_process,total_nthreads,time
1,1,1,89.615852
1,1,1,89.609822
1,1,1,89.615288
1,1,1,89.619382
1,1,1,89.612895
4,1,4,88.991849
4,1,4,88.995850
4,1,4,88.994511
4,1,4,88.987572
4,1,4,88.990956
8,1,8,89.338976
8,1,8,89.316426
8,1,8,89.340066
8,1,8,89.328527
8,1,8,89.343180
12,1,12,89.333131
12,1,12,89.350560
12,1,12,89.360616
12,1,12,89.349858
12,1,12,89.355725
16,1,16,89.350658
16,1,16,89.342316
16,1,16,89.368093
16,1,16,89.377422
16,1,16,89.361645
20,1,20,89.396203
20,1,20,89.384903
20,1,20,89.395061
20,1,20,89.396986
20,1,20,89.403391
24,1,24,89.492280
24,1,24,89.462845
24,1,24,89.478707
24,1,24,89.490513
24,1,24,89.475346
