size,nthreads_per_process,total_nthreads,time
72,1,72,25.075705
72,1,72,25.082625
72,1,72,25.090722
72,1,72,25.091234
72,1,72,25.108163
60,1,60,30.037294
60,1,60,30.044835
60,1,60,30.048757
60,1,60,30.048788
60,1,60,30.056112
48,1,48,37.585520
48,1,48,37.604234
48,1,48,37.617752
48,1,48,37.582559
48,1,48,37.612923
36,1,36,50.116868
36,1,36,50.105754
36,1,36,50.153464
36,1,36,50.070821
36,1,36,50.081781
24,1,24,75.627015
24,1,24,75.697733
24,1,24,75.870192
24,1,24,75.873460
24,1,24,75.893094
12,1,12,150.665651
12,1,12,150.714988
12,1,12,150.529522
12,1,12,150.604317
12,1,12,150.628355
