size,nthreads_per_process,total_nthreads,time
2,1,2,61.458127
2,1,2,61.478334
2,1,2,61.423559
2,1,2,61.440887
2,1,2,61.428448
2,1,2,61.412040
2,1,2,61.451565
2,1,2,61.398671
2,1,2,61.411551
2,1,2,61.421691
2,8,16,8.080732
2,8,16,8.081235
2,8,16,8.114294
2,8,16,8.112032
2,8,16,8.091839
2,8,16,8.104058
2,8,16,8.103736
2,8,16,8.089519
2,8,16,8.070221
2,8,16,8.082315
2,16,32,4.149159
2,16,32,4.143894
2,16,32,4.138232
2,16,32,4.143891
2,16,32,4.142218
2,16,32,4.147848
2,16,32,4.144545
2,16,32,4.171178
2,16,32,4.138735
2,16,32,4.142384
2,24,48,3.081658
2,24,48,3.087022
2,24,48,3.083651
2,24,48,3.083465
2,24,48,3.086053
2,24,48,3.084400
2,24,48,3.091380
2,24,48,3.079604
2,24,48,3.101401
2,24,48,3.083235
2,32,64,2.382571
2,32,64,2.378530
2,32,64,2.392121
2,32,64,2.382678
2,32,64,2.376008
2,32,64,2.378893
2,32,64,2.384511
2,32,64,2.387012
2,32,64,2.392953
2,32,64,2.380071
2,40,80,2.069274
2,40,80,2.055024
2,40,80,2.060075
2,40,80,2.078762
2,40,80,2.068989
2,40,80,2.059467
2,40,80,2.069110
2,40,80,2.062314
2,40,80,2.062491
2,40,80,2.066508
2,48,96,1.729165
2,48,96,1.725754
2,48,96,1.722990
2,48,96,1.747276
2,48,96,1.719401
2,48,96,1.703108
2,48,96,1.728267
2,48,96,1.726845
2,48,96,1.716399
2,48,96,1.728878
2,56,112,1.499886
2,56,112,1.504898
2,56,112,1.503675
2,56,112,1.494343
2,56,112,1.502254
2,56,112,1.489764
2,56,112,1.493964
2,56,112,1.497632
2,56,112,1.503719
2,56,112,1.495313
2,64,128,1.302698
2,64,128,1.317502
2,64,128,1.306897
2,64,128,1.321553
2,64,128,1.318464
2,64,128,1.302708
2,64,128,1.321339
2,64,128,1.307305
2,64,128,1.308466
2,64,128,1.315458
2,1,2,30.787644
2,1,2,30.804820
2,1,2,30.795954
2,1,2,30.804082
2,1,2,30.798644
2,1,2,30.792979
2,1,2,30.789886
2,1,2,30.797490
2,1,2,30.798929
2,1,2,30.781551
2,8,16,3.970002
2,8,16,3.983162
2,8,16,3.985199
2,8,16,3.984116
2,8,16,3.982421
2,8,16,3.974722
2,8,16,3.986207
2,8,16,3.983659
2,8,16,3.990552
2,8,16,3.984979
2,16,32,2.039306
2,16,32,2.037117
2,16,32,2.040067
2,16,32,2.063230
2,16,32,2.040759
2,16,32,2.038005
2,16,32,2.037724
2,16,32,2.039207
2,16,32,2.039081
2,16,32,2.037502
2,24,48,1.418958
2,24,48,1.405232
2,24,48,1.397596
2,24,48,1.394558
2,24,48,1.400135
2,24,48,1.392333
2,24,48,1.401338
2,24,48,1.414664
2,24,48,1.398910
2,24,48,1.393094
2,32,64,1.064686
2,32,64,1.062261
2,32,64,1.063911
2,32,64,1.086432
2,32,64,1.067745
2,32,64,1.074704
2,32,64,1.069962
2,32,64,1.062514
2,32,64,1.066124
2,32,64,1.072866
2,40,80,1.065932
2,40,80,1.068625
2,40,80,1.067409
2,40,80,1.066643
2,40,80,1.070024
2,40,80,1.098398
2,40,80,1.069111
2,40,80,1.066003
2,40,80,1.070887
2,40,80,1.078894
2,48,96,0.827306
2,48,96,0.841585
2,48,96,0.829302
2,48,96,0.829537
2,48,96,0.825980
2,48,96,0.841826
2,48,96,0.834310
2,48,96,0.833155
2,48,96,0.826707
2,48,96,0.847948
2,56,112,0.791646
2,56,112,0.808147
2,56,112,0.782391
2,56,112,0.812141
2,56,112,0.794537
2,56,112,0.808794
2,56,112,0.801680
2,56,112,0.815429
2,56,112,0.797490
2,56,112,0.800365
2,64,128,0.734250
2,64,128,0.753369
2,64,128,0.749972
2,64,128,0.741529
2,64,128,0.726402
2,64,128,0.745627
2,64,128,0.729139
2,64,128,0.733538
2,64,128,0.735550
2,64,128,0.743430
