size,nthreads_per_process,total_nthreads,time
2,1,2,61.637003
2,1,2,61.658011
2,1,2,61.709033
2,1,2,61.722396
2,1,2,61.660817
2,1,2,61.647836
2,1,2,61.652972
2,1,2,61.696971
2,1,2,61.736648
2,1,2,61.746849
2,8,16,10.303393
2,8,16,10.323879
2,8,16,10.115120
2,8,16,10.264413
2,8,16,10.192910
2,8,16,10.231408
2,8,16,10.099295
2,8,16,10.230846
2,8,16,10.024484
2,8,16,10.153507
2,16,32,5.243014
2,16,32,5.258404
2,16,32,5.128661
2,16,32,5.202466
2,16,32,5.196062
2,16,32,5.190826
2,16,32,5.146652
2,16,32,5.233985
2,16,32,5.147494
2,16,32,5.298798
2,24,48,3.493724
2,24,48,3.475757
2,24,48,3.417045
2,24,48,3.430699
2,24,48,3.431607
2,24,48,3.400275
2,24,48,3.423920
2,24,48,3.434319
2,24,48,3.434140
2,24,48,3.424234
2,32,64,2.529977
2,32,64,2.556446
2,32,64,2.526449
2,32,64,2.534761
2,32,64,2.531540
2,32,64,2.567966
2,32,64,2.531166
2,32,64,2.548896
2,32,64,2.534874
2,32,64,2.560044
2,40,80,2.041742
2,40,80,2.043575
2,40,80,2.047869
2,40,80,2.055128
2,40,80,2.037687
2,40,80,2.109637
2,40,80,2.048384
2,40,80,2.049030
2,40,80,2.049422
2,40,80,2.051715
2,48,96,1.709791
2,48,96,1.699346
2,48,96,1.699412
2,48,96,1.695693
2,48,96,1.703456
2,48,96,1.697544
2,48,96,1.704761
2,48,96,1.698372
2,48,96,1.705422
2,48,96,1.700122
2,56,112,1.440183
2,56,112,1.442333
2,56,112,1.451005
2,56,112,1.444388
2,56,112,1.453874
2,56,112,1.448562
2,56,112,1.451792
2,56,112,1.450761
2,56,112,1.541133
2,56,112,1.456135
2,64,128,1.275822
2,64,128,1.273014
2,64,128,1.277134
2,64,128,1.275889
2,64,128,1.374336
2,64,128,1.272580
2,64,128,1.277990
2,64,128,1.274974
2,64,128,1.272925
2,64,128,1.276247
2,1,2,30.893546
2,1,2,30.882048
2,1,2,30.909848
2,1,2,30.879289
2,1,2,30.930318
2,1,2,30.927031
2,1,2,30.908582
2,1,2,30.910439
2,1,2,30.916224
2,1,2,30.866551
2,8,16,4.947706
2,8,16,4.936919
2,8,16,4.941825
2,8,16,4.960544
2,8,16,5.004573
2,8,16,4.983328
2,8,16,4.996870
2,8,16,4.801727
2,8,16,4.991875
2,8,16,4.908611
2,16,32,2.558074
2,16,32,2.495294
2,16,32,2.467482
2,16,32,2.506143
2,16,32,2.465168
2,16,32,2.489986
2,16,32,2.542998
2,16,32,2.451121
2,16,32,2.461804
2,16,32,2.414821
2,24,48,1.651878
2,24,48,1.630836
2,24,48,1.634099
2,24,48,1.633712
2,24,48,1.637828
2,24,48,1.625975
2,24,48,1.636589
2,24,48,1.608291
2,24,48,1.593970
2,24,48,1.608019
2,32,64,1.178677
2,32,64,1.189567
2,32,64,1.194579
2,32,64,1.171607
2,32,64,1.158047
2,32,64,1.148418
2,32,64,1.190259
2,32,64,1.187588
2,32,64,1.183517
2,32,64,1.166024
2,40,80,1.120578
2,40,80,1.131522
2,40,80,1.117903
2,40,80,1.121094
2,40,80,1.132247
2,40,80,1.120488
2,40,80,1.123063
2,40,80,1.120607
2,40,80,1.131094
2,40,80,1.118706
2,48,96,0.803769
2,48,96,0.807179
2,48,96,0.813002
2,48,96,0.819430
2,48,96,0.810092
2,48,96,0.805398
2,48,96,0.804962
2,48,96,0.832269
2,48,96,0.809885
2,48,96,0.809055
2,56,112,0.759452
2,56,112,0.761028
2,56,112,0.756018
2,56,112,0.757596
2,56,112,0.765370
2,56,112,0.756696
2,56,112,0.780205
2,56,112,0.756003
2,56,112,0.763981
2,56,112,0.757854
2,64,128,0.734340
2,64,128,0.862732
2,64,128,0.724637
2,64,128,0.718230
2,64,128,0.722448
2,64,128,0.734130
2,64,128,0.722434
2,64,128,0.709725
2,64,128,0.717725
2,64,128,0.717855
