size,nthreads_per_process,total_nthreads,time
2,1,2,769.591395
2,1,2,771.180984
2,1,2,771.785621
2,8,16,97.852629
2,8,16,98.065210
2,8,16,98.177900
2,16,32,48.961401
2,16,32,49.021229
2,16,32,49.097951
2,24,48,33.419668
2,24,48,33.376015
2,24,48,33.302776
2,32,64,25.163301
2,32,64,25.261860
2,32,64,25.132242
2,40,80,22.161714
2,40,80,21.725287
2,40,80,22.085892
2,48,96,19.457889
2,48,96,19.421555
2,48,96,19.639721
2,56,112,16.973954
2,56,112,17.437237
2,56,112,17.624861
2,64,128,16.470328
2,64,128,15.967612
2,64,128,16.231307
