size,nthreads_per_process,total_nthreads,time
2,1,2,123.372973
2,1,2,123.323873
2,1,2,123.363152
2,1,2,123.393755
2,1,2,123.369028
2,1,2,123.344893
2,1,2,123.363428
2,1,2,123.369884
2,1,2,123.386898
2,1,2,123.316910
2,2,4,61.685999
2,2,4,61.691816
2,2,4,61.666630
2,2,4,61.643195
2,2,4,61.663085
2,2,4,61.648835
2,2,4,61.668113
2,2,4,61.668324
2,2,4,61.691682
2,2,4,61.670856
2,4,8,30.862419
2,4,8,30.896435
2,4,8,30.887794
2,4,8,30.888751
2,4,8,30.883677
2,4,8,30.882135
2,4,8,30.898338
2,4,8,30.896251
2,4,8,30.893305
2,4,8,30.887278
2,6,12,20.606856
2,6,12,20.606589
2,6,12,20.602132
2,6,12,20.602303
2,6,12,20.601866
2,6,12,20.614788
2,6,12,20.605260
2,6,12,20.587858
2,6,12,20.612465
2,6,12,20.609311
2,8,16,15.472629
2,8,16,15.482395
2,8,16,15.482499
2,8,16,15.474007
2,8,16,15.476798
2,8,16,15.475930
2,8,16,15.478208
2,8,16,15.478739
2,8,16,15.475716
2,8,16,15.478552
2,10,20,12.392787
2,10,20,12.398131
2,10,20,12.397793
2,10,20,12.396163
2,10,20,12.403118
2,10,20,12.402628
2,10,20,12.404365
2,10,20,12.396650
2,10,20,12.397506
2,10,20,12.402933
2,12,24,10.348545
2,12,24,10.385130
2,12,24,10.352887
2,12,24,10.408973
2,12,24,10.352962
2,12,24,10.412051
2,12,24,10.350388
2,12,24,10.409575
2,12,24,10.345521
2,12,24,10.412377
2,1,2,36.970621
2,1,2,36.751216
2,1,2,36.792653
2,1,2,36.913921
2,1,2,37.019712
2,1,2,37.153255
2,1,2,36.762571
2,1,2,36.741147
2,1,2,36.814860
2,1,2,36.840333
2,2,4,18.479814
2,2,4,18.481314
2,2,4,18.499524
2,2,4,18.460858
2,2,4,18.470348
2,2,4,18.671708
2,2,4,18.477303
2,2,4,18.522417
2,2,4,18.761427
2,2,4,18.477462
2,4,8,9.326244
2,4,8,9.266454
2,4,8,9.275585
2,4,8,9.297135
2,4,8,9.290941
2,4,8,9.284519
2,4,8,9.276437
2,4,8,9.314497
2,4,8,9.285918
2,4,8,9.305057
2,6,12,6.264283
2,6,12,6.259504
2,6,12,6.212674
2,6,12,6.226245
2,6,12,6.247325
2,6,12,6.236501
2,6,12,6.244258
2,6,12,6.216565
2,6,12,6.203949
2,6,12,6.228222
2,8,16,4.691796
2,8,16,4.686975
2,8,16,4.680231
2,8,16,4.735866
2,8,16,4.676985
2,8,16,4.690572
2,8,16,4.697206
2,8,16,4.685657
2,8,16,4.676174
2,8,16,4.692136
2,10,20,3.772945
2,10,20,3.777467
2,10,20,3.781396
2,10,20,3.812659
2,10,20,3.773411
2,10,20,3.773089
2,10,20,3.794689
2,10,20,3.775011
2,10,20,3.774459
2,10,20,3.773533
2,12,24,3.236278
2,12,24,3.155538
2,12,24,3.157324
2,12,24,3.163908
2,12,24,3.234757
2,12,24,3.178196
2,12,24,3.154633
2,12,24,3.152453
2,12,24,3.244192
2,12,24,3.160795
