size,nthreads_per_process,total_nthreads,time
1,64,64,1.439836
1,64,64,1.443610
1,64,64,1.465310
1,64,64,1.456955
1,64,64,1.437402
1,64,64,1.454705
1,64,64,1.449024
1,64,64,1.439942
1,64,64,1.433533
1,64,64,1.429822
2,64,128,1.517839
2,64,128,1.483690
2,64,128,1.491159
2,64,128,1.517537
2,64,128,1.489777
2,64,128,1.510261
2,64,128,1.552248
2,64,128,1.512778
2,64,128,1.493666
2,64,128,1.498583
3,64,192,5.075204
3,64,192,4.923449
3,64,192,4.791326
3,64,192,4.529300
3,64,192,4.964485
3,64,192,4.972709
3,64,192,4.852784
3,64,192,5.087704
3,64,192,4.809674
3,64,192,4.772275
4,64,256,5.600369
4,64,256,5.570698
4,64,256,5.308404
4,64,256,5.427943
4,64,256,5.521887
4,64,256,5.354901
4,64,256,5.306202
4,64,256,5.502255
4,64,256,5.271976
4,64,256,5.248649
5,64,320,10.277488
5,64,320,10.308695
5,64,320,10.369427
5,64,320,10.310682
5,64,320,10.230424
5,64,320,10.303667
5,64,320,10.353213
5,64,320,10.299653
5,64,320,10.284472
5,64,320,10.240175
6,64,384,10.272554
6,64,384,10.444888
6,64,384,10.310114
6,64,384,10.295179
6,64,384,10.395394
6,64,384,10.439081
6,64,384,10.278882
6,64,384,10.444481
6,64,384,10.352495
6,64,384,10.416077
7,64,448,13.808129
7,64,448,13.866798
7,64,448,13.816848
7,64,448,13.787679
7,64,448,13.978387
7,64,448,13.970521
7,64,448,13.820789
7,64,448,13.827413
7,64,448,13.901816
7,64,448,13.810504
8,64,512,13.834562
8,64,512,13.846378
8,64,512,13.845740
8,64,512,13.907923
8,64,512,13.826465
8,64,512,13.993058
8,64,512,13.826523
8,64,512,13.901213
8,64,512,13.921637
8,64,512,13.814259
