size,nthreads_per_process,total_nthreads,time
1,12,12,6.185661
1,12,12,6.272748
1,12,12,6.240810
1,12,12,6.223252
1,12,12,6.246673
1,12,12,6.244683
1,12,12,6.240792
1,12,12,6.237849
1,12,12,6.242658
1,12,12,6.238695
2,12,24,6.305261
2,12,24,6.224588
2,12,24,6.227391
2,12,24,6.320750
2,12,24,6.249284
2,12,24,6.229684
2,12,24,6.330784
2,12,24,6.256322
2,12,24,6.246935
2,12,24,6.237877
3,12,36,20.957668
3,12,36,20.930237
3,12,36,20.791922
3,12,36,20.952778
3,12,36,20.937409
3,12,36,20.895099
3,12,36,20.934103
3,12,36,20.996980
3,12,36,20.861699
3,12,36,20.898250
4,12,48,28.332031
4,12,48,28.618587
4,12,48,28.560871
4,12,48,28.582745
4,12,48,28.724517
4,12,48,28.638218
4,12,48,28.657610
4,12,48,28.692278
4,12,48,28.700786
4,12,48,28.767327
5,12,60,64.460786
5,12,60,64.113592
5,12,60,64.051928
5,12,60,64.125176
5,12,60,64.068103
5,12,60,64.232143
5,12,60,64.060746
5,12,60,64.207742
5,12,60,64.079703
5,12,60,64.107857
6,12,72,104.937974
6,12,72,105.088884
6,12,72,105.217575
6,12,72,104.974948
6,12,72,105.433056
6,12,72,105.484601
6,12,72,105.690262
6,12,72,104.932741
6,12,72,105.596276
6,12,72,105.092887
