size,size,size,time,gflops
2000,2000,2000,0.057289,279.287672
2000,2000,2000,0.059383,269.439069
2000,2000,2000,0.058386,274.037992
2000,2000,2000,0.060667,263.736897
2000,2000,2000,0.057318,279.143853
2000,2000,2000,0.061341,260.836365
2000,2000,2000,0.060594,264.051784
2000,2000,2000,0.058585,273.108532
2000,2000,2000,0.058965,271.346337
2000,2000,2000,0.060205,265.757930
4000,4000,4000,0.215862,592.971999
4000,4000,4000,0.221275,578.465600
4000,4000,4000,0.238248,537.254593
4000,4000,4000,0.243709,525.216941
4000,4000,4000,0.239978,533.382909
4000,4000,4000,0.234336,546.224558
4000,4000,4000,0.247351,517.484081
4000,4000,4000,0.246087,520.140302
4000,4000,4000,0.254814,502.326981
4000,4000,4000,0.255312,501.347487
6000,6000,6000,0.838229,515.372188
6000,6000,6000,0.816727,528.940719
6000,6000,6000,0.813122,531.285301
6000,6000,6000,0.809432,533.707421
6000,6000,6000,0.835267,517.199673
6000,6000,6000,0.852186,506.931482
6000,6000,6000,0.825703,523.190651
6000,6000,6000,0.848593,509.078064
6000,6000,6000,0.841749,513.217347
6000,6000,6000,0.853224,506.315136
8000,8000,8000,1.941664,527.382787
8000,8000,8000,1.962188,521.866372
8000,8000,8000,2.005693,510.546827
8000,8000,8000,1.971732,519.340390
8000,8000,8000,1.964544,521.240568
8000,8000,8000,1.981471,516.787829
8000,8000,8000,1.974793,518.535429
8000,8000,8000,1.970093,519.772355
8000,8000,8000,1.982494,516.520987
8000,8000,8000,1.996839,512.810564
10000,10000,10000,3.138063,637.335928
10000,10000,10000,3.122946,640.420990
10000,10000,10000,3.105619,643.993973
10000,10000,10000,3.099237,645.320099
10000,10000,10000,3.138144,637.319451
10000,10000,10000,3.107229,643.660378
10000,10000,10000,3.133093,638.346924
10000,10000,10000,3.065741,652.370806
10000,10000,10000,3.122674,640.476648
10000,10000,10000,3.110583,642.966324
12000,12000,12000,4.779394,723.104266
12000,12000,12000,4.758355,726.301411
12000,12000,12000,4.786033,722.101193
12000,12000,12000,4.773939,723.930437
12000,12000,12000,4.801025,719.846357
12000,12000,12000,4.774333,723.870775
12000,12000,12000,4.770368,724.472394
12000,12000,12000,4.776402,723.557135
12000,12000,12000,4.780548,722.929709
12000,12000,12000,4.793636,720.955917
14000,14000,14000,6.676352,822.005849
14000,14000,14000,6.675517,822.108585
14000,14000,14000,7.139791,768.650002
14000,14000,14000,6.859791,800.024416
14000,14000,14000,6.665348,823.362816
14000,14000,14000,6.650849,825.157774
14000,14000,14000,6.809362,805.949232
14000,14000,14000,7.176222,764.747816
14000,14000,14000,6.667193,823.134993
14000,14000,14000,6.641855,826.275189
16000,16000,16000,9.393307,872.110297
16000,16000,16000,8.982725,911.972742
16000,16000,16000,9.113611,898.875360
16000,16000,16000,9.038261,906.369027
16000,16000,16000,9.038787,906.316291
16000,16000,16000,8.791962,931.760154
16000,16000,16000,8.742940,936.984558
16000,16000,16000,9.431077,868.617698
16000,16000,16000,9.264816,884.205359
16000,16000,16000,9.003432,909.875276
18000,18000,18000,11.688827,997.875976
18000,18000,18000,12.017262,970.603759
18000,18000,18000,12.202759,955.849389
18000,18000,18000,14.174998,822.857282
18000,18000,18000,12.210616,955.234372
18000,18000,18000,12.248586,952.273158
18000,18000,18000,12.357313,943.894494
18000,18000,18000,14.183681,822.353517
18000,18000,18000,12.140391,960.759858
18000,18000,18000,11.724408,994.847674
20000,20000,20000,19.113175,837.118909
20000,20000,20000,19.121223,836.766548
20000,20000,20000,18.241791,877.106852
20000,20000,20000,18.205916,878.835191
20000,20000,20000,19.103149,837.558232
20000,20000,20000,19.126506,836.535425
20000,20000,20000,18.154901,881.304703
20000,20000,20000,19.179908,834.206310
20000,20000,20000,19.133290,836.238817
20000,20000,20000,19.128669,836.440857
