size,size,size,time,gflops
2000,2000,2000,0.081229,196.973917
2000,2000,2000,0.051136,312.890716
2000,2000,2000,0.053676,298.085533
2000,2000,2000,0.055843,286.517799
2000,2000,2000,0.054852,291.692891
2000,2000,2000,0.054564,293.231216
2000,2000,2000,0.056156,284.920010
2000,2000,2000,0.055903,286.209807
2000,2000,2000,0.055455,288.521471
2000,2000,2000,0.056109,285.161317
4000,4000,4000,0.300447,426.032200
4000,4000,4000,0.283089,452.154124
4000,4000,4000,0.278129,460.217443
4000,4000,4000,0.289279,442.479332
4000,4000,4000,0.298215,429.221008
4000,4000,4000,0.292616,437.433986
4000,4000,4000,0.296535,431.652805
4000,4000,4000,0.295924,432.543563
4000,4000,4000,0.312645,409.409751
4000,4000,4000,0.310226,412.602401
6000,6000,6000,0.902290,478.781694
6000,6000,6000,0.969393,445.639610
6000,6000,6000,0.900942,479.498242
6000,6000,6000,1.000709,431.693858
6000,6000,6000,0.910314,474.561708
6000,6000,6000,0.898565,480.766790
6000,6000,6000,0.900639,479.659676
6000,6000,6000,0.903085,478.360531
6000,6000,6000,0.918188,470.492035
6000,6000,6000,0.927192,465.922936
8000,8000,8000,1.943709,526.827849
8000,8000,8000,1.959790,522.504866
8000,8000,8000,1.996137,512.990911
8000,8000,8000,1.927137,531.358267
8000,8000,8000,1.931408,530.183261
8000,8000,8000,2.013471,508.574502
8000,8000,8000,1.936744,528.722466
8000,8000,8000,2.010075,509.433820
8000,8000,8000,1.943110,526.990169
8000,8000,8000,1.986668,515.435837
10000,10000,10000,3.273304,611.003399
10000,10000,10000,3.317056,602.944213
10000,10000,10000,3.302401,605.619914
10000,10000,10000,3.291147,607.690903
10000,10000,10000,3.306010,604.958860
10000,10000,10000,3.306310,604.904043
10000,10000,10000,3.333006,600.058992
10000,10000,10000,3.284646,608.893540
10000,10000,10000,3.314626,603.386273
10000,10000,10000,3.288394,608.199714
12000,12000,12000,5.194158,665.362841
12000,12000,12000,5.196452,665.069173
12000,12000,12000,5.290611,653.232712
12000,12000,12000,5.359393,644.849102
12000,12000,12000,5.263054,656.652934
12000,12000,12000,5.177283,667.531640
12000,12000,12000,5.334760,647.826692
12000,12000,12000,5.189976,665.899097
12000,12000,12000,5.197673,664.912977
12000,12000,12000,5.233912,660.309110
14000,14000,14000,8.105122,677.102725
14000,14000,14000,8.403401,653.068940
14000,14000,14000,7.974881,688.160701
14000,14000,14000,8.092102,678.192163
14000,14000,14000,7.974128,688.225733
14000,14000,14000,8.144852,673.799819
14000,14000,14000,7.970963,688.498974
14000,14000,14000,7.868609,697.454956
14000,14000,14000,8.010698,685.083847
14000,14000,14000,7.853148,698.828029
16000,16000,16000,8.281889,989.146285
16000,16000,16000,9.138591,896.418255
16000,16000,16000,9.317440,879.211471
16000,16000,16000,9.230526,887.490046
16000,16000,16000,9.725095,842.356802
16000,16000,16000,9.287082,882.085461
16000,16000,16000,7.889155,1038.387456
16000,16000,16000,9.184075,891.978754
16000,16000,16000,9.334296,877.623746
16000,16000,16000,9.265387,884.150876
18000,18000,18000,11.538797,1010.850586
18000,18000,18000,11.403290,1022.862716
18000,18000,18000,13.414929,869.479082
18000,18000,18000,13.428437,868.604456
18000,18000,18000,13.556389,860.406103
18000,18000,18000,13.464581,866.272788
18000,18000,18000,11.474434,1016.520716
18000,18000,18000,11.656548,1000.639297
18000,18000,18000,13.452310,867.062998
18000,18000,18000,11.485595,1015.532973
20000,20000,20000,20.576344,777.591958
20000,20000,20000,20.661898,774.372244
20000,20000,20000,21.015620,761.338454
20000,20000,20000,20.564478,778.040658
20000,20000,20000,20.276141,789.104794
20000,20000,20000,22.041778,725.894241
20000,20000,20000,20.637738,775.278764
20000,20000,20000,20.429427,783.183975
20000,20000,20000,21.369332,748.736563
20000,20000,20000,20.238080,790.588849
