size,size,size,time,gflops
2000,2000,2000,0.028993,551.853234
2000,2000,2000,0.029268,546.680128
2000,2000,2000,0.029926,534.647140
2000,2000,2000,0.028455,562.281951
2000,2000,2000,0.028320,564.977936
2000,2000,2000,0.029635,539.907025
2000,2000,2000,0.029216,547.647113
2000,2000,2000,0.030157,530.548414
2000,2000,2000,0.028408,563.215541
2000,2000,2000,0.029732,538.137936
4000,4000,4000,0.099611,1285.004772
4000,4000,4000,0.112229,1140.520308
4000,4000,4000,0.113812,1124.664361
4000,4000,4000,0.114302,1119.836053
4000,4000,4000,0.113330,1129.443708
4000,4000,4000,0.116403,1099.626477
4000,4000,4000,0.119123,1074.520850
4000,4000,4000,0.115017,1112.874147
4000,4000,4000,0.122224,1047.257837
4000,4000,4000,0.116133,1102.182059
6000,6000,6000,0.272378,1586.032942
6000,6000,6000,0.265476,1627.263915
6000,6000,6000,0.279919,1543.304370
6000,6000,6000,0.285576,1512.730992
6000,6000,6000,0.277601,1556.188936
6000,6000,6000,0.274074,1576.218051
6000,6000,6000,0.282529,1529.046224
6000,6000,6000,0.290120,1489.038402
6000,6000,6000,0.299292,1443.406261
6000,6000,6000,0.294456,1467.113539
8000,8000,8000,0.763654,1340.922148
8000,8000,8000,0.770640,1328.765736
8000,8000,8000,0.788079,1299.362461
8000,8000,8000,0.799319,1281.090793
8000,8000,8000,0.790963,1294.623921
8000,8000,8000,0.770004,1329.863643
8000,8000,8000,0.789210,1297.499721
8000,8000,8000,0.774919,1321.428532
8000,8000,8000,0.791368,1293.962283
8000,8000,8000,0.771188,1327.820644
10000,10000,10000,1.843238,1085.046958
10000,10000,10000,1.833117,1091.037667
10000,10000,10000,1.801043,1110.467895
10000,10000,10000,1.822520,1097.381783
10000,10000,10000,1.805867,1107.501529
10000,10000,10000,1.785281,1120.271519
10000,10000,10000,1.819260,1099.348015
10000,10000,10000,1.835750,1089.472975
10000,10000,10000,1.814334,1102.332981
10000,10000,10000,1.833565,1090.771107
12000,12000,12000,3.078712,1122.547238
12000,12000,12000,2.881503,1199.374190
12000,12000,12000,3.072125,1124.954046
12000,12000,12000,3.065218,1127.489275
12000,12000,12000,2.843092,1215.578022
12000,12000,12000,3.054020,1131.623215
12000,12000,12000,2.867942,1205.045397
12000,12000,12000,3.075335,1123.780035
12000,12000,12000,2.845527,1214.537608
12000,12000,12000,3.088039,1119.156751
14000,14000,14000,4.409769,1244.509672
14000,14000,14000,4.390070,1250.093864
14000,14000,14000,4.428430,1239.265495
14000,14000,14000,4.460291,1230.413050
14000,14000,14000,4.452025,1232.697556
14000,14000,14000,4.348598,1262.015863
14000,14000,14000,4.329572,1267.561904
14000,14000,14000,4.370513,1255.687864
14000,14000,14000,4.452897,1232.456108
14000,14000,14000,4.372263,1255.185281
16000,16000,16000,6.145835,1332.935132
16000,16000,16000,6.189946,1323.436530
16000,16000,16000,6.125654,1337.326510
16000,16000,16000,6.133820,1335.546113
16000,16000,16000,6.094189,1344.231278
16000,16000,16000,6.074280,1348.637198
16000,16000,16000,6.151229,1331.766464
16000,16000,16000,6.065931,1350.493413
16000,16000,16000,6.052718,1353.441534
16000,16000,16000,6.157587,1330.391336
18000,18000,18000,8.065818,1446.102489
18000,18000,18000,7.909998,1474.589423
18000,18000,18000,7.972470,1463.034657
18000,18000,18000,8.044792,1449.882051
18000,18000,18000,8.000804,1457.853438
18000,18000,18000,7.940454,1468.933629
18000,18000,18000,7.962703,1464.829294
18000,18000,18000,8.307706,1403.997746
18000,18000,18000,8.020097,1454.346523
18000,18000,18000,7.895798,1477.241477
20000,20000,20000,9.479073,1687.928753
20000,20000,20000,9.856613,1623.275715
20000,20000,20000,10.669149,1499.651009
20000,20000,20000,9.905206,1615.312268
20000,20000,20000,9.856443,1623.303604
20000,20000,20000,10.330479,1548.814858
20000,20000,20000,9.959615,1606.487881
20000,20000,20000,9.859783,1622.753685
20000,20000,20000,9.906008,1615.181359
20000,20000,20000,10.434930,1533.311720
