size,size,size,time,gflops
2000,2000,2000,0.267014,59.922059
2000,2000,2000,0.027516,581.485361
2000,2000,2000,0.029479,542.766286
2000,2000,2000,0.028810,555.354587
2000,2000,2000,0.029624,540.097114
2000,2000,2000,0.028799,555.570371
2000,2000,2000,0.028130,568.791957
2000,2000,2000,0.028859,554.415250
2000,2000,2000,0.028211,567.148504
2000,2000,2000,0.029154,548.818466
4000,4000,4000,0.081182,1576.700233
4000,4000,4000,0.100021,1279.732971
4000,4000,4000,0.096682,1323.924615
4000,4000,4000,0.102520,1248.535848
4000,4000,4000,0.104063,1230.020645
4000,4000,4000,0.109300,1171.083979
4000,4000,4000,0.105248,1216.169941
4000,4000,4000,0.094843,1349.605314
4000,4000,4000,0.103027,1242.396352
4000,4000,4000,0.110760,1155.649074
6000,6000,6000,0.218467,1977.418929
6000,6000,6000,0.232621,1857.097028
6000,6000,6000,0.243307,1775.536320
6000,6000,6000,0.238976,1807.712470
6000,6000,6000,0.252885,1708.286672
6000,6000,6000,0.251450,1718.033140
6000,6000,6000,0.224181,1927.011453
6000,6000,6000,0.224925,1920.642425
6000,6000,6000,0.244958,1763.567927
6000,6000,6000,0.261119,1654.418297
8000,8000,8000,0.591235,1731.966913
8000,8000,8000,0.565455,1810.932349
8000,8000,8000,0.576974,1774.776551
8000,8000,8000,0.519185,1972.321047
8000,8000,8000,0.594394,1722.762294
8000,8000,8000,0.561730,1822.939311
8000,8000,8000,0.549609,1863.141564
8000,8000,8000,0.563387,1817.579393
8000,8000,8000,0.583295,1755.543478
8000,8000,8000,0.550384,1860.517565
10000,10000,10000,1.303541,1534.282698
10000,10000,10000,1.297980,1540.855948
10000,10000,10000,1.300024,1538.433552
10000,10000,10000,1.244268,1607.370487
10000,10000,10000,1.277777,1565.218746
10000,10000,10000,1.263643,1582.725793
10000,10000,10000,1.306632,1530.652814
10000,10000,10000,1.257523,1590.427818
10000,10000,10000,1.247634,1603.034041
10000,10000,10000,1.313022,1523.203407
12000,12000,12000,2.595465,1331.553342
12000,12000,12000,2.612331,1322.956615
12000,12000,12000,2.610096,1324.089190
12000,12000,12000,2.585447,1336.712892
12000,12000,12000,2.581440,1338.787472
12000,12000,12000,2.565658,1347.022640
12000,12000,12000,2.595396,1331.588912
12000,12000,12000,2.579652,1339.715332
12000,12000,12000,2.602247,1328.083207
12000,12000,12000,2.604400,1326.985016
14000,14000,14000,4.147165,1323.313497
14000,14000,14000,4.161835,1318.649202
14000,14000,14000,4.189217,1310.029978
14000,14000,14000,4.158668,1319.653438
14000,14000,14000,4.155471,1320.668669
14000,14000,14000,4.166895,1317.047784
14000,14000,14000,4.144403,1324.195499
14000,14000,14000,4.167635,1316.814076
14000,14000,14000,4.159730,1319.316522
14000,14000,14000,4.155294,1320.724765
16000,16000,16000,6.081797,1346.970304
16000,16000,16000,6.109366,1340.891955
16000,16000,16000,6.095442,1343.954945
16000,16000,16000,6.088902,1345.398537
16000,16000,16000,6.094914,1344.071421
16000,16000,16000,6.070898,1349.388549
16000,16000,16000,6.078473,1347.706922
16000,16000,16000,6.071520,1349.250170
16000,16000,16000,6.035893,1357.214200
16000,16000,16000,6.131181,1336.121144
18000,18000,18000,8.191424,1423.928225
18000,18000,18000,8.621167,1352.949077
18000,18000,18000,8.627360,1351.977945
18000,18000,18000,8.593885,1357.244152
18000,18000,18000,8.634763,1350.818773
18000,18000,18000,8.608030,1355.013903
18000,18000,18000,8.597508,1356.672162
18000,18000,18000,8.614771,1353.953608
18000,18000,18000,8.628096,1351.862624
18000,18000,18000,8.607899,1355.034419
20000,20000,20000,9.613545,1664.318373
20000,20000,20000,10.420015,1535.506431
20000,20000,20000,10.426189,1534.597106
20000,20000,20000,9.962980,1605.945164
20000,20000,20000,11.788665,1357.235975
20000,20000,20000,9.903978,1615.512496
20000,20000,20000,11.952910,1338.586157
20000,20000,20000,9.615884,1663.913608
20000,20000,20000,9.604990,1665.800852
20000,20000,20000,11.735291,1363.408902
