size,size,size,time,gflops
2000,2000,2000,0.063564,251.716534
2000,2000,2000,0.030291,528.209263
2000,2000,2000,0.031045,515.382376
2000,2000,2000,0.031723,504.366140
2000,2000,2000,0.031959,500.645379
2000,2000,2000,0.031951,500.759355
2000,2000,2000,0.032372,494.252523
2000,2000,2000,0.032570,491.254790
2000,2000,2000,0.032248,496.154446
2000,2000,2000,0.032178,497.236283
4000,4000,4000,0.139845,915.298970
4000,4000,4000,0.152957,836.838373
4000,4000,4000,0.160782,796.106819
4000,4000,4000,0.161040,794.835467
4000,4000,4000,0.160493,797.540579
4000,4000,4000,0.159644,801.784251
4000,4000,4000,0.163842,781.239267
4000,4000,4000,0.162468,787.847167
4000,4000,4000,0.165240,774.628688
4000,4000,4000,0.166836,767.220053
6000,6000,6000,0.359787,1200.711752
6000,6000,6000,0.363547,1188.292650
6000,6000,6000,0.375566,1150.262380
6000,6000,6000,0.371235,1163.683394
6000,6000,6000,0.395554,1092.138000
6000,6000,6000,0.387415,1115.082002
6000,6000,6000,0.389019,1110.484356
6000,6000,6000,0.390473,1106.350279
6000,6000,6000,0.401723,1075.368710
6000,6000,6000,0.390668,1105.798313
8000,8000,8000,0.878267,1165.932630
8000,8000,8000,0.856241,1195.925655
8000,8000,8000,0.836576,1224.036306
8000,8000,8000,0.880723,1162.680752
8000,8000,8000,0.846276,1210.007768
8000,8000,8000,0.841997,1216.156411
8000,8000,8000,0.842786,1215.018486
8000,8000,8000,0.866068,1182.355285
8000,8000,8000,0.881680,1161.418643
8000,8000,8000,0.867290,1180.688944
10000,10000,10000,1.646117,1214.980394
10000,10000,10000,1.643588,1216.850279
10000,10000,10000,1.645635,1215.336173
10000,10000,10000,1.648374,1213.316778
10000,10000,10000,1.650193,1211.979258
10000,10000,10000,1.628484,1228.135863
10000,10000,10000,1.648715,1213.065732
10000,10000,10000,1.624711,1230.988291
10000,10000,10000,1.666928,1199.812072
10000,10000,10000,1.639057,1220.213563
12000,12000,12000,2.616692,1320.751514
12000,12000,12000,2.612607,1322.816766
12000,12000,12000,2.629407,1314.364823
12000,12000,12000,2.640193,1308.995287
12000,12000,12000,2.600478,1328.986261
12000,12000,12000,2.644144,1307.039433
12000,12000,12000,2.633218,1312.462418
12000,12000,12000,2.621789,1318.183678
12000,12000,12000,2.612739,1322.749970
12000,12000,12000,2.631434,1313.352499
14000,14000,14000,3.837166,1430.222136
14000,14000,14000,3.824851,1434.826948
14000,14000,14000,3.823130,1435.473209
14000,14000,14000,3.841372,1428.656192
14000,14000,14000,3.815783,1438.237098
14000,14000,14000,3.815609,1438.302359
14000,14000,14000,3.846979,1426.573869
14000,14000,14000,3.829134,1433.222375
14000,14000,14000,3.840803,1428.867705
14000,14000,14000,3.812981,1439.293846
16000,16000,16000,5.318225,1540.363623
16000,16000,16000,5.326592,1537.943993
16000,16000,16000,5.340236,1534.014528
16000,16000,16000,5.289731,1548.660886
16000,16000,16000,5.352074,1530.621648
16000,16000,16000,5.354718,1529.865766
16000,16000,16000,5.372471,1524.810534
16000,16000,16000,5.314027,1541.580332
16000,16000,16000,5.495420,1490.695924
16000,16000,16000,5.308822,1543.091850
18000,18000,18000,6.802526,1714.657192
18000,18000,18000,7.054605,1653.388063
18000,18000,18000,7.004529,1665.208381
18000,18000,18000,7.034226,1658.178161
18000,18000,18000,6.370138,1831.043567
18000,18000,18000,7.166622,1627.544955
18000,18000,18000,6.753664,1727.062583
18000,18000,18000,6.965389,1674.565462
18000,18000,18000,6.728988,1733.395995
18000,18000,18000,7.153660,1630.494056
20000,20000,20000,8.337274,1919.092604
20000,20000,20000,8.749081,1828.763512
20000,20000,20000,7.613747,2101.461989
20000,20000,20000,8.483628,1885.985663
20000,20000,20000,8.837982,1810.367948
20000,20000,20000,9.208397,1737.544527
20000,20000,20000,8.412768,1901.871070
20000,20000,20000,9.394227,1703.173693
20000,20000,20000,8.301078,1927.460552
20000,20000,20000,8.255599,1938.078708
