size,size,size,time,gflops
2000,2000,2000,0.049558,322.851437
2000,2000,2000,0.049219,325.075145
2000,2000,2000,0.049675,322.096170
2000,2000,2000,0.049150,325.533980
2000,2000,2000,0.050059,319.625610
2000,2000,2000,0.049837,321.046354
2000,2000,2000,0.049684,322.035315
2000,2000,2000,0.049022,326.382042
2000,2000,2000,0.049874,320.806340
2000,2000,2000,0.049685,322.031147
4000,4000,4000,0.227734,562.059546
4000,4000,4000,0.227614,562.356676
4000,4000,4000,0.227402,562.879982
4000,4000,4000,0.227680,562.192968
4000,4000,4000,0.227727,562.075820
4000,4000,4000,0.228570,560.004492
4000,4000,4000,0.227765,561.982175
4000,4000,4000,0.227519,562.590802
4000,4000,4000,0.227614,562.356439
4000,4000,4000,0.227483,562.680245
6000,6000,6000,0.648914,665.727652
6000,6000,6000,0.648905,665.737214
6000,6000,6000,0.648959,665.681207
6000,6000,6000,0.649003,665.636543
6000,6000,6000,0.649163,665.472012
6000,6000,6000,0.649192,665.442913
6000,6000,6000,0.648874,665.769198
6000,6000,6000,0.648679,665.969122
6000,6000,6000,0.649089,665.548288
6000,6000,6000,0.648324,666.333888
8000,8000,8000,1.502221,681.657393
8000,8000,8000,1.502863,681.366245
8000,8000,8000,1.500267,682.545041
8000,8000,8000,1.501300,682.075443
8000,8000,8000,1.499363,682.956507
8000,8000,8000,1.500104,682.619368
8000,8000,8000,1.499735,682.787284
8000,8000,8000,1.500805,682.300472
8000,8000,8000,1.501638,681.921923
8000,8000,8000,1.502835,681.379005
10000,10000,10000,2.908688,687.595333
10000,10000,10000,2.906409,688.134376
10000,10000,10000,2.909464,687.411898
10000,10000,10000,2.907323,687.918007
10000,10000,10000,2.912199,686.766214
10000,10000,10000,2.911260,686.987820
10000,10000,10000,2.908883,687.549102
10000,10000,10000,2.912327,686.736061
10000,10000,10000,2.906955,688.005069
10000,10000,10000,2.911448,686.943474
12000,12000,12000,4.916098,702.996574
12000,12000,12000,5.350755,645.890178
12000,12000,12000,4.916810,702.894823
12000,12000,12000,4.918632,702.634380
12000,12000,12000,4.910711,703.767681
12000,12000,12000,4.911070,703.716232
12000,12000,12000,4.914857,703.174102
12000,12000,12000,4.913601,703.353881
12000,12000,12000,4.913466,703.373183
12000,12000,12000,4.919094,702.568399
14000,14000,14000,8.217241,667.864029
14000,14000,14000,7.716292,711.222456
14000,14000,14000,7.724519,710.464970
14000,14000,14000,7.719416,710.934638
14000,14000,14000,7.719732,710.905498
14000,14000,14000,7.724548,710.462288
14000,14000,14000,7.716486,711.204576
14000,14000,14000,7.716027,711.246894
14000,14000,14000,7.725989,710.329742
14000,14000,14000,7.719535,710.923648
16000,16000,16000,12.013137,681.920140
16000,16000,16000,12.019185,681.577019
16000,16000,16000,12.017264,681.685927
16000,16000,16000,12.208040,671.033166
16000,16000,16000,12.017696,681.661470
16000,16000,16000,12.021027,681.472566
16000,16000,16000,12.017452,681.675310
16000,16000,16000,12.202725,671.325470
16000,16000,16000,12.201341,671.401606
16000,16000,16000,12.200239,671.462267
18000,18000,18000,16.963897,687.577854
18000,18000,18000,16.967071,687.449217
18000,18000,18000,16.969089,687.367493
18000,18000,18000,16.789873,694.704471
18000,18000,18000,16.951964,688.061847
18000,18000,18000,16.969463,687.352340
18000,18000,18000,16.958149,687.810910
18000,18000,18000,16.990264,686.510810
18000,18000,18000,16.800953,694.246338
18000,18000,18000,16.794826,694.499598
20000,20000,20000,24.133106,662.989678
20000,20000,20000,23.913714,669.072160
20000,20000,20000,24.137472,662.869751
20000,20000,20000,23.923161,668.807933
20000,20000,20000,23.940283,668.329606
20000,20000,20000,24.123487,663.254031
20000,20000,20000,24.146098,662.632931
20000,20000,20000,24.145490,662.649619
20000,20000,20000,24.136070,662.908256
20000,20000,20000,24.141977,662.746053
