size,size,size,time,gflops
2000,2000,2000,0.101883,157.042237
2000,2000,2000,0.041883,382.017354
2000,2000,2000,0.041167,388.661151
2000,2000,2000,0.035538,450.225262
2000,2000,2000,0.040034,399.661447
2000,2000,2000,0.043413,368.549913
2000,2000,2000,0.037240,429.649084
2000,2000,2000,0.037458,427.144727
2000,2000,2000,0.035223,454.255054
2000,2000,2000,0.042807,373.773666
4000,4000,4000,0.199103,642.882631
4000,4000,4000,0.198945,643.392580
4000,4000,4000,0.199004,643.202282
4000,4000,4000,0.199022,643.143903
4000,4000,4000,0.199165,642.683767
4000,4000,4000,0.199089,642.928817
4000,4000,4000,0.198805,643.846458
4000,4000,4000,0.198148,645.982998
4000,4000,4000,0.198756,644.006675
4000,4000,4000,0.199183,642.625898
6000,6000,6000,0.569471,758.599201
6000,6000,6000,0.570074,757.796101
6000,6000,6000,0.569129,759.054033
6000,6000,6000,0.569489,758.575288
6000,6000,6000,0.569248,758.896038
6000,6000,6000,0.569500,758.560366
6000,6000,6000,0.568645,759.700343
6000,6000,6000,0.568650,759.694581
6000,6000,6000,0.566720,762.281579
6000,6000,6000,0.568992,759.237662
8000,8000,8000,1.304904,784.732266
8000,8000,8000,1.308413,782.627205
8000,8000,8000,1.306594,783.717083
8000,8000,8000,1.308102,782.813847
8000,8000,8000,1.307663,783.076245
8000,8000,8000,1.307162,783.376294
8000,8000,8000,1.306993,783.477656
8000,8000,8000,1.308272,782.711873
8000,8000,8000,1.306974,783.489110
8000,8000,8000,1.307243,783.328059
10000,10000,10000,2.561938,780.658918
10000,10000,10000,2.559412,781.429388
10000,10000,10000,2.559220,781.488145
10000,10000,10000,2.560303,781.157586
10000,10000,10000,2.555489,782.629044
10000,10000,10000,2.558312,781.765582
10000,10000,10000,2.556944,782.183723
10000,10000,10000,2.558573,781.685840
10000,10000,10000,2.563726,780.114529
10000,10000,10000,2.559640,781.359821
12000,12000,12000,4.414267,782.915924
12000,12000,12000,4.409915,783.688584
12000,12000,12000,4.416190,782.575112
12000,12000,12000,4.402955,784.927451
12000,12000,12000,4.414498,782.874945
12000,12000,12000,4.420179,781.868792
12000,12000,12000,4.414477,782.878682
12000,12000,12000,4.415662,782.668527
12000,12000,12000,4.407464,784.124460
12000,12000,12000,4.412839,783.169365
14000,14000,14000,6.859254,800.086993
14000,14000,14000,6.875652,798.178874
14000,14000,14000,6.861282,799.850572
14000,14000,14000,6.866211,799.276372
14000,14000,14000,6.867366,799.141963
14000,14000,14000,6.874933,798.262269
14000,14000,14000,6.866664,799.223633
14000,14000,14000,6.862358,799.725142
14000,14000,14000,6.870511,798.776094
14000,14000,14000,6.850849,801.068600
16000,16000,16000,10.275573,797.230508
16000,16000,16000,10.272456,797.472414
16000,16000,16000,10.281249,796.790364
16000,16000,16000,10.272630,797.458855
16000,16000,16000,10.510849,779.385173
16000,16000,16000,10.275602,797.228223
16000,16000,16000,10.278811,796.979376
16000,16000,16000,10.278599,796.995762
16000,16000,16000,10.635517,770.249362
16000,16000,16000,10.504060,779.888919
18000,18000,18000,15.061549,774.422356
18000,18000,18000,14.972999,779.002261
18000,18000,18000,14.980580,778.608039
18000,18000,18000,15.048345,775.101829
18000,18000,18000,15.054260,774.797288
18000,18000,18000,15.005078,777.336828
18000,18000,18000,15.019496,776.590653
18000,18000,18000,15.066310,774.177627
18000,18000,18000,14.966005,779.366279
18000,18000,18000,15.052914,774.866601
20000,20000,20000,20.384622,784.905416
20000,20000,20000,20.385201,784.883131
20000,20000,20000,20.185161,792.661518
20000,20000,20000,20.383913,784.932711
20000,20000,20000,20.410582,783.907087
20000,20000,20000,20.259065,789.769907
20000,20000,20000,20.215955,791.454088
20000,20000,20000,20.379842,785.089501
20000,20000,20000,20.388741,784.746826
20000,20000,20000,20.391739,784.631471
