size,size,size,time,gflops
2000,2000,2000,0.094448,169.406268
2000,2000,2000,0.049927,320.465861
2000,2000,2000,0.048627,329.038240
2000,2000,2000,0.049886,320.728998
2000,2000,2000,0.049108,325.815096
2000,2000,2000,0.048981,326.655721
2000,2000,2000,0.049129,325.676323
2000,2000,2000,0.048788,327.946148
2000,2000,2000,0.049157,325.485187
2000,2000,2000,0.049170,325.403594
4000,4000,4000,0.202771,631.253699
4000,4000,4000,0.202035,633.552488
4000,4000,4000,0.203092,630.255016
4000,4000,4000,0.201855,634.117093
4000,4000,4000,0.201626,634.839687
4000,4000,4000,0.204685,625.352448
4000,4000,4000,0.201765,634.400776
4000,4000,4000,0.201538,635.115624
4000,4000,4000,0.201828,634.204393
4000,4000,4000,0.203090,630.261421
6000,6000,6000,0.584122,739.571870
6000,6000,6000,0.580830,743.763561
6000,6000,6000,0.586678,736.348899
6000,6000,6000,0.582484,741.651238
6000,6000,6000,0.581834,742.479824
6000,6000,6000,0.580814,743.783220
6000,6000,6000,0.579841,745.031911
6000,6000,6000,0.587594,735.201487
6000,6000,6000,0.579815,745.065405
6000,6000,6000,0.582249,741.951222
8000,8000,8000,1.496569,684.231870
8000,8000,8000,1.410900,725.777718
8000,8000,8000,1.395787,733.636427
8000,8000,8000,1.407467,727.548217
8000,8000,8000,1.415279,723.532064
8000,8000,8000,1.400614,731.107782
8000,8000,8000,1.394683,734.216769
8000,8000,8000,1.412231,725.093709
8000,8000,8000,1.496073,684.458703
8000,8000,8000,1.414922,723.714611
10000,10000,10000,2.642254,756.929511
10000,10000,10000,2.680421,746.151365
10000,10000,10000,2.631922,759.900816
10000,10000,10000,2.653467,753.730989
10000,10000,10000,2.657248,752.658468
10000,10000,10000,2.659574,752.000176
10000,10000,10000,2.653270,753.786941
10000,10000,10000,2.661110,751.566064
10000,10000,10000,2.662747,751.103916
10000,10000,10000,2.643691,756.518187
12000,12000,12000,4.829188,715.648305
12000,12000,12000,4.823325,716.518137
12000,12000,12000,4.726863,731.140257
12000,12000,12000,4.693717,736.303498
12000,12000,12000,4.757545,726.425144
12000,12000,12000,4.730158,730.630952
12000,12000,12000,4.706521,734.300270
12000,12000,12000,4.587631,753.329937
12000,12000,12000,4.709141,733.891787
12000,12000,12000,4.812069,718.194208
14000,14000,14000,7.336058,748.085648
14000,14000,14000,7.205243,761.667621
14000,14000,14000,7.474216,734.257646
14000,14000,14000,7.380023,743.629103
14000,14000,14000,7.311285,750.620468
14000,14000,14000,7.306552,751.106648
14000,14000,14000,7.305968,751.166722
14000,14000,14000,7.150002,767.552281
14000,14000,14000,7.374402,744.195897
14000,14000,14000,7.327522,748.957114
16000,16000,16000,11.206082,731.031570
16000,16000,16000,11.157224,734.232832
16000,16000,16000,11.202165,731.287230
16000,16000,16000,11.134078,735.759164
16000,16000,16000,10.840510,755.684009
16000,16000,16000,11.138378,735.475134
16000,16000,16000,11.167102,733.583328
16000,16000,16000,11.177983,732.869221
16000,16000,16000,11.244642,728.524744
16000,16000,16000,11.173288,733.177183
18000,18000,18000,15.332822,760.721001
18000,18000,18000,15.364480,759.153574
18000,18000,18000,15.400906,757.358052
18000,18000,18000,15.349530,759.892993
18000,18000,18000,15.314827,761.614883
18000,18000,18000,15.637473,745.900569
18000,18000,18000,16.091325,724.862628
18000,18000,18000,15.637873,745.881490
18000,18000,18000,15.388367,757.975164
18000,18000,18000,15.306330,762.037687
20000,20000,20000,20.898404,765.608715
20000,20000,20000,20.768608,770.393476
20000,20000,20000,20.766916,770.456230
20000,20000,20000,20.872890,766.544559
20000,20000,20000,20.764267,770.554535
20000,20000,20000,20.700945,772.911574
20000,20000,20000,20.753035,770.971555
20000,20000,20000,20.694885,773.137897
20000,20000,20000,20.719823,772.207385
20000,20000,20000,20.698885,772.988506
