size,size,size,time,gflops
2000,2000,2000,0.019478,821.445055
2000,2000,2000,0.019157,835.191504
2000,2000,2000,0.019401,824.686708
2000,2000,2000,0.019508,820.183485
2000,2000,2000,0.019224,832.284222
2000,2000,2000,0.019167,834.750278
2000,2000,2000,0.019274,830.138683
2000,2000,2000,0.019255,830.935651
2000,2000,2000,0.019460,822.218692
2000,2000,2000,0.019534,819.064421
4000,4000,4000,0.096097,1331.984588
4000,4000,4000,0.096535,1325.937626
4000,4000,4000,0.096357,1328.395425
4000,4000,4000,0.095787,1336.300324
4000,4000,4000,0.095679,1337.804010
4000,4000,4000,0.095993,1333.426840
4000,4000,4000,0.095434,1341.240308
4000,4000,4000,0.096175,1330.908723
4000,4000,4000,0.096503,1326.385340
4000,4000,4000,0.095959,1333.908331
6000,6000,6000,0.227858,1895.919230
6000,6000,6000,0.227735,1896.944511
6000,6000,6000,0.228702,1888.922994
6000,6000,6000,0.227304,1900.534314
6000,6000,6000,0.225894,1912.400401
6000,6000,6000,0.227047,1902.690749
6000,6000,6000,0.226823,1904.568358
6000,6000,6000,0.227361,1900.062417
6000,6000,6000,0.226954,1903.471011
6000,6000,6000,0.229083,1885.776023
8000,8000,8000,0.491667,2082.712486
8000,8000,8000,0.493064,2076.808903
8000,8000,8000,0.491515,2083.354925
8000,8000,8000,0.491722,2082.477362
8000,8000,8000,0.490025,2089.690150
8000,8000,8000,0.491671,2082.691602
8000,8000,8000,0.491364,2083.996590
8000,8000,8000,0.491953,2081.498043
8000,8000,8000,0.490698,2086.823349
8000,8000,8000,0.491368,2083.979820
10000,10000,10000,0.917047,2180.912873
10000,10000,10000,0.908549,2201.313358
10000,10000,10000,0.914670,2186.581034
10000,10000,10000,0.914739,2186.415923
10000,10000,10000,0.912250,2192.382231
10000,10000,10000,0.906984,2205.109533
10000,10000,10000,0.916038,2183.315241
10000,10000,10000,0.910067,2197.640563
10000,10000,10000,0.911814,2193.428706
10000,10000,10000,0.906219,2206.972065
12000,12000,12000,1.507261,2292.901136
12000,12000,12000,1.513734,2283.095438
12000,12000,12000,1.513731,2283.100193
12000,12000,12000,1.505998,2294.823253
12000,12000,12000,1.508110,2291.610635
12000,12000,12000,1.510538,2287.927265
12000,12000,12000,1.507826,2292.042178
12000,12000,12000,1.514869,2281.385547
12000,12000,12000,1.509561,2289.406613
12000,12000,12000,1.504183,2297.592309
14000,14000,14000,2.373143,2312.544952
14000,14000,14000,2.367603,2317.956071
14000,14000,14000,2.379378,2306.485507
14000,14000,14000,2.377002,2308.790198
14000,14000,14000,2.381326,2304.597948
14000,14000,14000,2.369940,2315.670458
14000,14000,14000,2.383435,2302.559361
14000,14000,14000,2.375029,2310.708164
14000,14000,14000,2.390683,2295.578513
14000,14000,14000,2.362205,2323.253069
16000,16000,16000,3.658870,2238.942785
16000,16000,16000,3.674383,2229.490225
16000,16000,16000,3.625912,2259.293492
16000,16000,16000,3.668865,2232.843276
16000,16000,16000,3.671438,2231.278155
16000,16000,16000,3.665299,2235.015330
16000,16000,16000,3.661963,2237.051645
16000,16000,16000,3.650246,2244.232219
16000,16000,16000,3.670395,2231.912102
16000,16000,16000,3.655199,2241.191354
18000,18000,18000,5.000541,2332.547681
18000,18000,18000,4.972337,2345.778295
18000,18000,18000,4.977661,2343.269490
18000,18000,18000,4.933162,2364.406491
18000,18000,18000,4.972511,2345.695958
18000,18000,18000,4.941981,2360.186948
18000,18000,18000,4.961768,2350.775003
18000,18000,18000,4.978340,2342.949809
18000,18000,18000,4.972522,2345.690851
18000,18000,18000,4.953749,2354.580160
20000,20000,20000,6.825215,2344.248616
20000,20000,20000,6.840002,2339.180446
20000,20000,20000,6.788309,2356.993359
20000,20000,20000,6.803680,2351.668462
20000,20000,20000,6.804097,2351.524516
20000,20000,20000,6.776899,2360.961744
20000,20000,20000,6.847091,2336.758632
20000,20000,20000,6.826307,2343.873586
20000,20000,20000,6.829431,2342.801192
20000,20000,20000,6.800907,2352.627411
