size,size,size,time,gflops
2000,2000,2000,0.028814,555.290424
2000,2000,2000,0.028567,560.085872
2000,2000,2000,0.028715,557.202030
2000,2000,2000,0.027560,580.544783
2000,2000,2000,0.029500,542.380842
2000,2000,2000,0.026476,604.315348
2000,2000,2000,0.028795,555.647160
2000,2000,2000,0.023248,688.230920
2000,2000,2000,0.020186,792.634052
2000,2000,2000,0.024670,648.551883
4000,4000,4000,0.145697,878.532908
4000,4000,4000,0.123855,1033.466303
4000,4000,4000,0.123724,1034.562084
4000,4000,4000,0.124702,1026.447009
4000,4000,4000,0.124715,1026.340302
4000,4000,4000,0.124593,1027.342125
4000,4000,4000,0.123960,1032.594149
4000,4000,4000,0.124555,1027.656195
4000,4000,4000,0.100110,1278.599831
4000,4000,4000,0.124019,1032.099754
6000,6000,6000,0.325776,1326.062838
6000,6000,6000,0.323776,1334.256153
6000,6000,6000,0.321127,1345.264027
6000,6000,6000,0.324414,1331.631406
6000,6000,6000,0.324833,1329.913981
6000,6000,6000,0.321184,1345.024900
6000,6000,6000,0.322647,1338.923019
6000,6000,6000,0.321104,1345.357386
6000,6000,6000,0.321206,1344.929590
6000,6000,6000,0.321552,1343.486007
8000,8000,8000,0.680775,1504.168744
8000,8000,8000,0.681672,1502.188216
8000,8000,8000,0.680157,1505.534734
8000,8000,8000,0.678880,1508.367724
8000,8000,8000,0.679866,1506.180056
8000,8000,8000,0.682001,1501.463698
8000,8000,8000,0.681913,1501.657959
8000,8000,8000,0.680397,1505.003601
8000,8000,8000,0.681695,1502.138430
8000,8000,8000,0.680640,1504.465735
10000,10000,10000,1.326385,1507.857533
10000,10000,10000,1.330528,1503.162878
10000,10000,10000,1.327898,1506.139755
10000,10000,10000,1.329214,1504.648839
10000,10000,10000,1.332874,1500.517174
10000,10000,10000,1.330889,1502.755270
10000,10000,10000,1.326068,1508.218164
10000,10000,10000,1.325077,1509.345699
10000,10000,10000,1.325564,1508.791658
10000,10000,10000,1.329304,1504.546716
12000,12000,12000,2.269882,1522.545962
12000,12000,12000,2.248774,1536.837583
12000,12000,12000,2.241539,1541.797997
12000,12000,12000,2.301175,1501.841300
12000,12000,12000,2.246734,1538.232854
12000,12000,12000,2.251527,1534.958355
12000,12000,12000,2.251390,1535.051437
12000,12000,12000,2.252542,1534.266688
12000,12000,12000,2.251884,1534.714878
12000,12000,12000,2.252660,1534.186031
14000,14000,14000,3.507467,1564.662126
14000,14000,14000,3.497500,1569.120962
14000,14000,14000,3.479273,1577.341192
14000,14000,14000,3.489550,1572.695827
14000,14000,14000,3.510791,1563.180287
14000,14000,14000,3.489039,1572.925773
14000,14000,14000,3.502133,1567.045204
14000,14000,14000,3.487996,1573.396345
14000,14000,14000,3.508588,1564.161777
14000,14000,14000,3.500464,1567.792164
16000,16000,16000,5.263646,1556.335628
16000,16000,16000,5.348327,1531.693971
16000,16000,16000,5.256585,1558.426377
16000,16000,16000,5.262074,1556.800596
16000,16000,16000,5.261937,1556.841127
16000,16000,16000,5.265094,1555.907538
16000,16000,16000,5.261865,1556.862367
16000,16000,16000,5.257717,1558.090792
16000,16000,16000,5.261569,1556.949903
16000,16000,16000,5.268641,1554.860148
18000,18000,18000,7.500364,1555.124522
18000,18000,18000,7.504202,1554.329158
18000,18000,18000,7.497984,1555.618253
18000,18000,18000,7.476523,1560.083379
18000,18000,18000,7.492771,1556.700555
18000,18000,18000,7.507935,1553.556270
18000,18000,18000,7.511368,1552.846213
18000,18000,18000,7.509069,1553.321726
18000,18000,18000,7.500556,1555.084655
18000,18000,18000,7.499847,1555.231708
20000,20000,20000,10.395040,1539.195657
20000,20000,20000,10.406863,1537.446991
20000,20000,20000,10.418270,1535.763621
20000,20000,20000,10.424860,1534.792862
20000,20000,20000,10.396853,1538.927225
20000,20000,20000,10.393135,1539.477716
20000,20000,20000,10.395027,1539.197520
20000,20000,20000,10.369577,1542.975143
20000,20000,20000,10.421338,1535.311473
20000,20000,20000,10.392943,1539.506164
