size,size,size,time,gflops
2000,2000,2000,0.028730,556.907080
2000,2000,2000,0.028663,558.214030
2000,2000,2000,0.028376,563.858370
2000,2000,2000,0.028812,555.315632
2000,2000,2000,0.028889,553.837659
2000,2000,2000,0.028612,559.207218
2000,2000,2000,0.028489,561.628515
2000,2000,2000,0.027685,577.938888
2000,2000,2000,0.028263,566.116698
2000,2000,2000,0.028232,566.742040
4000,4000,4000,0.122135,1048.017698
4000,4000,4000,0.122503,1044.876541
4000,4000,4000,0.122359,1046.100351
4000,4000,4000,0.121866,1050.333206
4000,4000,4000,0.121731,1051.497959
4000,4000,4000,0.122123,1048.122798
4000,4000,4000,0.121752,1051.321370
4000,4000,4000,0.122245,1047.081659
4000,4000,4000,0.121918,1049.886032
4000,4000,4000,0.122193,1047.520232
6000,6000,6000,0.320328,1348.618926
6000,6000,6000,0.320128,1349.460654
6000,6000,6000,0.320282,1348.811229
6000,6000,6000,0.320125,1349.473503
6000,6000,6000,0.320227,1349.044826
6000,6000,6000,0.319616,1351.623291
6000,6000,6000,0.319516,1352.045167
6000,6000,6000,0.319991,1350.036645
6000,6000,6000,0.320144,1349.390986
6000,6000,6000,0.320056,1349.762961
8000,8000,8000,0.674561,1518.023656
8000,8000,8000,0.674172,1518.900422
8000,8000,8000,0.675299,1516.364914
8000,8000,8000,0.675060,1516.901779
8000,8000,8000,0.672943,1521.673850
8000,8000,8000,0.671937,1523.951809
8000,8000,8000,0.672627,1522.389667
8000,8000,8000,0.672121,1523.535421
8000,8000,8000,0.672117,1523.544117
8000,8000,8000,0.672696,1522.233876
10000,10000,10000,1.327590,1506.489253
10000,10000,10000,1.333191,1500.160250
10000,10000,10000,1.320502,1514.575784
10000,10000,10000,1.330022,1503.733972
10000,10000,10000,1.325956,1508.346005
10000,10000,10000,1.332741,1500.666776
10000,10000,10000,1.324463,1510.045470
10000,10000,10000,1.330525,1503.166415
10000,10000,10000,1.329086,1504.793491
10000,10000,10000,1.322930,1511.795557
12000,12000,12000,2.238003,1544.233600
12000,12000,12000,2.240903,1542.235425
12000,12000,12000,2.221411,1555.767586
12000,12000,12000,2.223964,1553.981941
12000,12000,12000,2.228462,1550.845626
12000,12000,12000,2.224052,1553.920726
12000,12000,12000,2.239961,1542.883856
12000,12000,12000,2.240955,1542.199507
12000,12000,12000,2.211806,1562.523892
12000,12000,12000,2.230263,1549.592868
14000,14000,14000,3.611243,1519.698250
14000,14000,14000,3.606525,1521.686377
14000,14000,14000,3.601292,1523.897548
14000,14000,14000,3.603680,1522.887792
14000,14000,14000,3.605110,1522.283720
14000,14000,14000,3.593307,1527.283858
14000,14000,14000,3.608164,1520.995099
14000,14000,14000,3.599000,1524.868195
14000,14000,14000,3.583862,1531.308828
14000,14000,14000,3.614151,1518.475467
16000,16000,16000,5.162088,1586.954777
16000,16000,16000,5.180724,1581.246133
16000,16000,16000,5.164646,1586.168710
16000,16000,16000,5.180313,1581.371588
16000,16000,16000,5.185763,1579.709797
16000,16000,16000,5.192376,1577.697903
16000,16000,16000,5.188000,1579.028514
16000,16000,16000,5.159113,1587.869936
16000,16000,16000,5.183266,1580.470818
16000,16000,16000,5.177193,1582.324780
18000,18000,18000,7.786313,1498.013188
18000,18000,18000,7.781643,1498.912304
18000,18000,18000,7.795960,1496.159508
18000,18000,18000,7.793546,1496.622953
18000,18000,18000,7.780740,1499.086209
18000,18000,18000,7.802635,1494.879651
18000,18000,18000,7.796189,1496.115689
18000,18000,18000,7.806426,1494.153623
18000,18000,18000,7.793488,1496.634180
18000,18000,18000,7.796847,1495.989279
20000,20000,20000,10.300397,1553.338246
20000,20000,20000,10.702620,1494.961004
20000,20000,20000,10.312094,1551.576277
20000,20000,20000,10.673482,1499.042269
20000,20000,20000,10.682761,1497.740163
20000,20000,20000,10.661029,1500.793215
20000,20000,20000,10.681623,1497.899692
20000,20000,20000,10.674299,1498.927427
20000,20000,20000,10.675047,1498.822394
20000,20000,20000,10.678712,1498.308066
