cores,size,size,size,time,gflops
1,10000,10000,10000,41.743765,47.911347
1,10000,10000,10000,42.067519,47.542618
1,10000,10000,10000,41.613415,48.061424
1,10000,10000,10000,42.494951,47.064414
1,10000,10000,10000,41.870796,47.765990
1,10000,10000,10000,42.797878,46.731289
1,10000,10000,10000,41.803816,47.842522
1,10000,10000,10000,42.789206,46.740760
1,10000,10000,10000,41.531791,48.155882
1,10000,10000,10000,42.021998,47.594120
10,10000,10000,10000,5.082235,393.527625
10,10000,10000,10000,5.082474,393.509149
10,10000,10000,10000,5.081840,393.558204
10,10000,10000,10000,5.051533,395.919422
10,10000,10000,10000,5.089389,392.974503
10,10000,10000,10000,5.098399,392.279990
10,10000,10000,10000,5.082432,393.512371
10,10000,10000,10000,5.089759,392.945923
10,10000,10000,10000,5.035758,397.159656
10,10000,10000,10000,5.102843,391.938348
20,10000,10000,10000,2.514247,795.466731
20,10000,10000,10000,2.509083,797.103978
20,10000,10000,10000,2.559491,781.405304
20,10000,10000,10000,2.484508,804.988322
20,10000,10000,10000,2.496995,800.962662
20,10000,10000,10000,2.505821,798.141456
20,10000,10000,10000,2.542713,786.561450
20,10000,10000,10000,2.494043,801.910899
20,10000,10000,10000,2.505112,798.367541
20,10000,10000,10000,2.490554,803.034227
30,10000,10000,10000,2.236275,894.344473
30,10000,10000,10000,2.244351,891.126217
30,10000,10000,10000,2.298748,870.038712
30,10000,10000,10000,2.240299,892.737834
30,10000,10000,10000,2.241722,892.171130
30,10000,10000,10000,2.258441,885.566785
30,10000,10000,10000,2.280696,876.925260
30,10000,10000,10000,2.253455,887.525913
30,10000,10000,10000,2.240886,892.504189
30,10000,10000,10000,2.233875,895.305169
40,10000,10000,10000,2.292280,872.493948
40,10000,10000,10000,2.302429,868.647909
40,10000,10000,10000,2.332005,857.631112
40,10000,10000,10000,2.296028,871.069472
40,10000,10000,10000,2.334377,856.759776
40,10000,10000,10000,2.325958,859.860628
40,10000,10000,10000,2.352210,850.264379
40,10000,10000,10000,2.319715,862.174773
40,10000,10000,10000,2.292797,872.296997
40,10000,10000,10000,2.291217,872.898724
50,10000,10000,10000,2.429631,823.170289
50,10000,10000,10000,2.433461,821.874639
50,10000,10000,10000,2.393825,835.483092
50,10000,10000,10000,2.378237,840.959016
50,10000,10000,10000,2.385681,838.335075
50,10000,10000,10000,2.414084,828.471438
50,10000,10000,10000,2.415745,827.901957
50,10000,10000,10000,2.401244,832.901600
50,10000,10000,10000,2.453479,815.168858
50,10000,10000,10000,2.412992,828.846579
60,10000,10000,10000,2.260278,884.846873
60,10000,10000,10000,2.290188,873.290683
60,10000,10000,10000,2.249273,889.176338
60,10000,10000,10000,2.307216,866.845442
60,10000,10000,10000,2.281714,876.534034
60,10000,10000,10000,2.298159,870.261707
60,10000,10000,10000,2.255973,886.535403
60,10000,10000,10000,2.309463,866.002119
60,10000,10000,10000,2.286071,874.863653
60,10000,10000,10000,2.271695,880.399983
70,10000,10000,10000,2.401431,832.836799
70,10000,10000,10000,2.373055,842.795404
70,10000,10000,10000,2.323470,860.781492
70,10000,10000,10000,2.422285,825.666649
70,10000,10000,10000,2.340282,854.597750
70,10000,10000,10000,2.379352,840.565135
70,10000,10000,10000,2.385698,838.329108
70,10000,10000,10000,2.354093,849.584115
70,10000,10000,10000,2.352857,850.030244
70,10000,10000,10000,2.376776,841.476020
80,10000,10000,10000,2.438353,820.225708
80,10000,10000,10000,2.453397,815.196262
80,10000,10000,10000,2.432123,822.326721
80,10000,10000,10000,2.449814,816.388513
80,10000,10000,10000,2.442029,818.991112
80,10000,10000,10000,2.449207,816.590871
80,10000,10000,10000,2.451154,815.942282
80,10000,10000,10000,2.444011,818.326882
80,10000,10000,10000,2.453888,815.033111
80,10000,10000,10000,2.446007,817.659298
90,10000,10000,10000,2.255179,886.847420
90,10000,10000,10000,2.252386,887.947399
90,10000,10000,10000,2.255887,886.569103
90,10000,10000,10000,2.242440,891.885502
90,10000,10000,10000,2.270749,880.766729
90,10000,10000,10000,2.249945,888.910720
90,10000,10000,10000,2.258412,885.577971
90,10000,10000,10000,2.251677,888.226734
90,10000,10000,10000,2.250502,888.690416
90,10000,10000,10000,2.249289,889.169752
100,10000,10000,10000,2.488128,803.817132
100,10000,10000,10000,2.494766,801.678305
100,10000,10000,10000,2.588755,772.572178
100,10000,10000,10000,2.506567,797.904097
100,10000,10000,10000,2.481459,805.977309
100,10000,10000,10000,2.494275,801.836361
100,10000,10000,10000,2.537175,788.278215
100,10000,10000,10000,2.500177,799.943311
100,10000,10000,10000,2.537793,788.086336
100,10000,10000,10000,2.491320,802.787364
110,10000,10000,10000,2.566195,779.364039
110,10000,10000,10000,2.593796,771.070572
110,10000,10000,10000,2.578264,775.715687
110,10000,10000,10000,2.600086,769.205379
110,10000,10000,10000,2.579669,775.293172
110,10000,10000,10000,2.581270,774.812345
110,10000,10000,10000,2.625332,761.808550
110,10000,10000,10000,2.579969,775.202970
110,10000,10000,10000,2.580881,774.929037
110,10000,10000,10000,2.575579,776.524339
120,10000,10000,10000,2.579441,775.361650
120,10000,10000,10000,2.644373,756.322960
120,10000,10000,10000,2.581757,774.666119
120,10000,10000,10000,2.600415,769.107894
120,10000,10000,10000,2.614053,765.095371
120,10000,10000,10000,2.556491,782.322368
120,10000,10000,10000,2.580747,774.969554
120,10000,10000,10000,2.678624,746.652139
120,10000,10000,10000,2.581850,774.638193
120,10000,10000,10000,2.597736,769.901303
128,10000,10000,10000,3.107806,643.540747
128,10000,10000,10000,3.155850,633.743677
128,10000,10000,10000,3.111333,642.811349
128,10000,10000,10000,3.096708,645.847235
128,10000,10000,10000,3.110351,643.014207
128,10000,10000,10000,3.151333,634.652070
128,10000,10000,10000,3.124058,640.192944
128,10000,10000,10000,3.173378,630.243284
128,10000,10000,10000,3.160083,632.894712
128,10000,10000,10000,3.186606,627.626955
