cores,size,size,size,time,gflops
1,10000,10000,10000,43.290102,46.199937
1,10000,10000,10000,43.315794,46.172534
1,10000,10000,10000,43.350656,46.135403
1,10000,10000,10000,43.272085,46.219173
1,10000,10000,10000,43.343947,46.142545
1,10000,10000,10000,43.326398,46.161234
1,10000,10000,10000,43.303097,46.186073
1,10000,10000,10000,43.330388,46.156983
1,10000,10000,10000,43.290663,46.199338
1,10000,10000,10000,43.278469,46.212356
10,10000,10000,10000,4.748730,421.165273
10,10000,10000,10000,4.756468,420.480092
10,10000,10000,10000,4.747880,421.240623
10,10000,10000,10000,4.762847,419.916871
10,10000,10000,10000,4.746371,421.374599
10,10000,10000,10000,4.757438,420.394382
10,10000,10000,10000,4.741588,421.799655
10,10000,10000,10000,4.741612,421.797468
10,10000,10000,10000,4.751279,420.939296
10,10000,10000,10000,4.742013,421.761811
20,10000,10000,10000,3.707352,539.468542
20,10000,10000,10000,3.721821,537.371387
20,10000,10000,10000,3.725556,536.832568
20,10000,10000,10000,3.737347,535.139022
20,10000,10000,10000,3.715618,538.268398
20,10000,10000,10000,3.742345,534.424330
20,10000,10000,10000,3.729130,536.318133
20,10000,10000,10000,3.725981,536.771422
20,10000,10000,10000,3.723453,537.135876
20,10000,10000,10000,3.754268,532.726995
30,10000,10000,10000,3.329906,600.617508
30,10000,10000,10000,3.336942,599.351130
30,10000,10000,10000,3.313884,603.521427
30,10000,10000,10000,3.349989,597.016881
30,10000,10000,10000,3.327101,601.123968
30,10000,10000,10000,3.341225,598.582826
30,10000,10000,10000,3.323019,601.862416
30,10000,10000,10000,3.343481,598.178951
30,10000,10000,10000,3.323970,601.690073
30,10000,10000,10000,3.336107,599.501167
40,10000,10000,10000,3.402167,587.860662
40,10000,10000,10000,3.399392,588.340491
40,10000,10000,10000,3.404234,587.503714
40,10000,10000,10000,3.423980,584.115609
40,10000,10000,10000,3.399658,588.294550
40,10000,10000,10000,3.408486,586.770725
40,10000,10000,10000,3.411554,586.243083
40,10000,10000,10000,3.404097,587.527268
40,10000,10000,10000,3.411236,586.297671
40,10000,10000,10000,3.414192,585.790192
50,10000,10000,10000,3.194845,626.008366
50,10000,10000,10000,3.212257,622.615184
50,10000,10000,10000,3.190439,626.872984
50,10000,10000,10000,3.216691,621.756917
50,10000,10000,10000,3.204919,624.040783
50,10000,10000,10000,3.215112,622.062357
50,10000,10000,10000,3.193888,626.196031
50,10000,10000,10000,3.211461,622.769559
50,10000,10000,10000,3.213349,622.403539
50,10000,10000,10000,3.227729,619.630616
60,10000,10000,10000,3.539124,565.111525
60,10000,10000,10000,3.614883,553.268305
60,10000,10000,10000,3.607314,554.429109
60,10000,10000,10000,3.576846,559.151834
60,10000,10000,10000,3.571519,559.985875
60,10000,10000,10000,3.553764,562.783583
60,10000,10000,10000,3.535012,565.768893
60,10000,10000,10000,3.564252,561.127592
60,10000,10000,10000,3.591147,556.925202
60,10000,10000,10000,3.613991,553.404753
70,10000,10000,10000,3.339880,598.823934
70,10000,10000,10000,3.404039,587.537317
70,10000,10000,10000,3.364252,594.485775
70,10000,10000,10000,3.374230,592.727759
70,10000,10000,10000,3.368221,593.785343
70,10000,10000,10000,3.350383,596.946636
70,10000,10000,10000,3.353695,596.357144
70,10000,10000,10000,3.388921,590.158261
70,10000,10000,10000,3.347969,597.377132
70,10000,10000,10000,3.331254,600.374553
80,10000,10000,10000,3.519287,568.296982
80,10000,10000,10000,3.563887,561.185022
80,10000,10000,10000,3.551690,563.112180
80,10000,10000,10000,3.565467,560.936388
80,10000,10000,10000,3.585233,557.843840
80,10000,10000,10000,3.592858,556.659885
80,10000,10000,10000,3.534261,565.889199
80,10000,10000,10000,3.562111,561.464793
80,10000,10000,10000,3.564657,561.063767
80,10000,10000,10000,3.547799,563.729718
90,10000,10000,10000,3.331688,600.296222
90,10000,10000,10000,3.424142,584.087877
90,10000,10000,10000,3.337316,599.283992
90,10000,10000,10000,3.381035,591.534843
90,10000,10000,10000,3.429810,583.122619
90,10000,10000,10000,3.306439,604.880351
90,10000,10000,10000,3.321578,602.123402
90,10000,10000,10000,3.352660,596.541313
90,10000,10000,10000,3.391276,589.748476
90,10000,10000,10000,3.391741,589.667620
100,10000,10000,10000,3.630711,550.856243
100,10000,10000,10000,3.617192,552.915015
100,10000,10000,10000,3.640137,549.429836
100,10000,10000,10000,3.624253,551.837874
100,10000,10000,10000,3.635986,550.057185
100,10000,10000,10000,3.624863,551.744926
100,10000,10000,10000,3.625915,551.584903
100,10000,10000,10000,3.609815,554.044955
100,10000,10000,10000,3.605416,554.721075
100,10000,10000,10000,3.629510,551.038575
110,10000,10000,10000,3.599952,555.562924
110,10000,10000,10000,3.476973,575.213011
110,10000,10000,10000,3.566551,560.765872
110,10000,10000,10000,3.568429,560.470709
110,10000,10000,10000,3.500777,571.301772
110,10000,10000,10000,3.521546,567.932386
110,10000,10000,10000,3.463100,577.517185
110,10000,10000,10000,3.468329,576.646546
110,10000,10000,10000,3.486828,573.587247
110,10000,10000,10000,3.614811,553.279291
120,10000,10000,10000,3.744785,534.076060
120,10000,10000,10000,3.748084,533.605933
120,10000,10000,10000,3.742590,534.389237
120,10000,10000,10000,3.731080,536.037863
120,10000,10000,10000,3.754695,532.666426
120,10000,10000,10000,3.746658,533.809009
120,10000,10000,10000,3.749405,533.417960
120,10000,10000,10000,3.745414,533.986412
120,10000,10000,10000,3.734288,535.577267
120,10000,10000,10000,3.749114,533.459385
128,10000,10000,10000,3.814522,524.312114
128,10000,10000,10000,3.815293,524.206183
128,10000,10000,10000,3.818281,523.795944
128,10000,10000,10000,3.813012,524.519755
128,10000,10000,10000,3.802055,526.031327
128,10000,10000,10000,3.814724,524.284283
128,10000,10000,10000,3.826038,522.734021
128,10000,10000,10000,3.799566,526.375933
128,10000,10000,10000,3.811853,524.679251
128,10000,10000,10000,3.812992,524.522455
