cores,size,size,size,time,gflops
1,10000,10000,10000,42.479324,47.081728
1,10000,10000,10000,42.402252,47.167306
1,10000,10000,10000,42.318959,47.260142
1,10000,10000,10000,42.288953,47.293675
1,10000,10000,10000,42.409817,47.158892
1,10000,10000,10000,42.396262,47.173971
1,10000,10000,10000,42.483496,47.077105
1,10000,10000,10000,42.280842,47.302748
1,10000,10000,10000,42.389153,47.181881
1,10000,10000,10000,42.211120,47.380879
10,10000,10000,10000,4.375021,457.140641
10,10000,10000,10000,4.383731,456.232397
10,10000,10000,10000,4.373433,457.306624
10,10000,10000,10000,4.370177,457.647359
10,10000,10000,10000,4.373055,457.346176
10,10000,10000,10000,4.375763,457.063113
10,10000,10000,10000,4.377674,456.863607
10,10000,10000,10000,4.378337,456.794443
10,10000,10000,10000,4.364136,458.280905
10,10000,10000,10000,4.371781,457.479495
20,10000,10000,10000,2.477709,807.197154
20,10000,10000,10000,2.477761,807.180257
20,10000,10000,10000,2.482337,805.692385
20,10000,10000,10000,2.481193,806.063823
20,10000,10000,10000,2.487745,803.940781
20,10000,10000,10000,2.477689,807.203713
20,10000,10000,10000,2.482291,805.707275
20,10000,10000,10000,2.487555,804.002388
20,10000,10000,10000,2.487031,804.171657
20,10000,10000,10000,2.485821,804.563314
30,10000,10000,10000,2.216742,902.224793
30,10000,10000,10000,2.296402,870.927718
30,10000,10000,10000,2.282288,876.313581
30,10000,10000,10000,2.297588,870.478019
30,10000,10000,10000,2.218590,901.473531
30,10000,10000,10000,2.220866,900.549605
30,10000,10000,10000,2.236714,894.168914
30,10000,10000,10000,2.299783,869.647195
30,10000,10000,10000,2.218134,901.658780
30,10000,10000,10000,2.224786,898.962987
40,10000,10000,10000,2.253742,887.412913
40,10000,10000,10000,2.243343,891.526639
40,10000,10000,10000,2.224471,899.090359
40,10000,10000,10000,2.249294,889.167928
40,10000,10000,10000,2.226233,898.378748
40,10000,10000,10000,2.240412,892.692783
40,10000,10000,10000,2.281972,876.434928
40,10000,10000,10000,2.231003,896.457896
40,10000,10000,10000,2.248036,889.665660
40,10000,10000,10000,2.223151,899.624117
50,10000,10000,10000,2.304827,867.743899
50,10000,10000,10000,2.278993,877.580748
50,10000,10000,10000,2.268071,881.806695
50,10000,10000,10000,2.285857,874.945395
50,10000,10000,10000,2.348300,851.680018
50,10000,10000,10000,2.245722,890.582182
50,10000,10000,10000,2.260002,884.955033
50,10000,10000,10000,2.272510,880.083987
50,10000,10000,10000,2.266104,882.571832
50,10000,10000,10000,2.277332,878.220628
60,10000,10000,10000,2.427713,823.820563
60,10000,10000,10000,2.420566,826.253143
60,10000,10000,10000,2.456009,814.329380
60,10000,10000,10000,2.405650,831.376265
60,10000,10000,10000,2.479443,806.632741
60,10000,10000,10000,2.491608,802.694331
60,10000,10000,10000,2.387753,837.607492
60,10000,10000,10000,2.454387,814.867331
60,10000,10000,10000,2.446855,817.375846
60,10000,10000,10000,2.405284,831.502476
70,10000,10000,10000,2.621876,762.812511
70,10000,10000,10000,2.589010,772.495936
70,10000,10000,10000,2.511096,796.464871
70,10000,10000,10000,2.564853,779.771826
70,10000,10000,10000,2.501808,799.421760
70,10000,10000,10000,2.505963,798.096231
70,10000,10000,10000,2.542666,786.575857
70,10000,10000,10000,2.544827,785.907912
70,10000,10000,10000,2.575242,776.626121
70,10000,10000,10000,2.473073,808.710565
80,10000,10000,10000,2.556988,782.170384
80,10000,10000,10000,2.521546,793.164108
80,10000,10000,10000,2.512009,796.175388
80,10000,10000,10000,2.591246,771.829416
80,10000,10000,10000,2.540135,787.359847
80,10000,10000,10000,2.516513,794.750431
80,10000,10000,10000,2.517769,794.353906
80,10000,10000,10000,2.498322,800.537393
80,10000,10000,10000,2.598945,769.543021
80,10000,10000,10000,2.655676,753.103843
