cores,size,size,size,time,gflops
1,10000,10000,10000,20.547008,97.337774
1,10000,10000,10000,20.530315,97.416919
1,10000,10000,10000,20.530920,97.414045
1,10000,10000,10000,20.548253,97.331877
1,10000,10000,10000,20.534685,97.396185
1,10000,10000,10000,20.510329,97.511846
1,10000,10000,10000,20.664425,96.784693
1,10000,10000,10000,20.592906,97.120823
1,10000,10000,10000,20.567857,97.239106
1,10000,10000,10000,20.540807,97.367160
10,10000,10000,10000,2.330625,858.138802
10,10000,10000,10000,2.346733,852.248764
10,10000,10000,10000,2.340923,854.363911
10,10000,10000,10000,2.343021,853.598865
10,10000,10000,10000,2.347276,852.051373
10,10000,10000,10000,2.336306,856.052334
10,10000,10000,10000,2.332968,857.277016
10,10000,10000,10000,2.340888,854.376575
10,10000,10000,10000,2.344304,853.131651
10,10000,10000,10000,2.331998,857.633539
20,10000,10000,10000,1.276220,1567.127610
20,10000,10000,10000,1.275855,1567.576671
20,10000,10000,10000,1.282524,1559.425155
20,10000,10000,10000,1.284658,1556.834120
20,10000,10000,10000,1.282855,1559.022396
20,10000,10000,10000,1.288804,1551.826201
20,10000,10000,10000,1.285152,1556.235655
20,10000,10000,10000,1.281765,1560.348337
20,10000,10000,10000,1.282456,1559.507295
20,10000,10000,10000,1.286893,1554.130203
30,10000,10000,10000,1.143241,1749.412910
30,10000,10000,10000,1.143771,1748.602354
30,10000,10000,10000,1.141191,1752.554512
30,10000,10000,10000,1.141671,1751.818719
30,10000,10000,10000,1.145013,1746.705769
30,10000,10000,10000,1.146029,1745.156990
30,10000,10000,10000,1.140416,1753.745706
30,10000,10000,10000,1.142853,1750.006935
30,10000,10000,10000,1.146123,1745.012843
30,10000,10000,10000,1.151168,1737.365779
40,10000,10000,10000,1.210162,1652.671971
40,10000,10000,10000,1.201849,1664.102424
40,10000,10000,10000,1.206648,1657.484862
40,10000,10000,10000,1.202103,1663.750409
40,10000,10000,10000,1.205950,1658.442885
40,10000,10000,10000,1.203723,1661.512028
40,10000,10000,10000,1.198038,1669.396354
40,10000,10000,10000,1.203181,1662.260018
40,10000,10000,10000,1.199882,1666.831033
40,10000,10000,10000,1.206641,1657.494068
50,10000,10000,10000,1.292027,1547.954983
50,10000,10000,10000,1.288965,1551.632987
50,10000,10000,10000,1.305190,1532.344194
50,10000,10000,10000,1.289186,1551.366281
50,10000,10000,10000,1.321700,1513.202702
50,10000,10000,10000,1.306677,1530.600173
50,10000,10000,10000,1.324633,1509.852661
50,10000,10000,10000,1.279057,1563.651856
50,10000,10000,10000,1.315129,1520.763302
