cores,size,size,size,time,gflops
1,10000,10000,10000,31.405780,63.682545
1,10000,10000,10000,31.544834,63.401824
1,10000,10000,10000,31.569772,63.351741
1,10000,10000,10000,31.502145,63.487739
1,10000,10000,10000,31.752854,62.986464
1,10000,10000,10000,31.463562,63.565593
1,10000,10000,10000,31.537205,63.417161
1,10000,10000,10000,31.520259,63.451256
1,10000,10000,10000,31.707769,63.076025
1,10000,10000,10000,31.712960,63.065700
10,10000,10000,10000,4.038696,495.209342
10,10000,10000,10000,3.998668,500.166571
10,10000,10000,10000,3.995795,500.526184
10,10000,10000,10000,3.997754,500.280934
10,10000,10000,10000,4.004526,499.434944
10,10000,10000,10000,4.031857,496.049300
10,10000,10000,10000,3.989945,501.259983
10,10000,10000,10000,4.007816,499.024935
10,10000,10000,10000,3.991669,501.043496
10,10000,10000,10000,4.037197,495.393250
20,10000,10000,10000,2.153650,928.655855
20,10000,10000,10000,2.136377,936.164479
20,10000,10000,10000,2.141716,933.830840
20,10000,10000,10000,2.143537,933.037360
20,10000,10000,10000,2.138630,935.178205
20,10000,10000,10000,2.137441,935.698315
20,10000,10000,10000,2.155676,927.783331
20,10000,10000,10000,2.137958,935.472029
20,10000,10000,10000,2.152866,928.994196
20,10000,10000,10000,2.146854,931.595695
30,10000,10000,10000,1.700802,1175.915869
30,10000,10000,10000,1.664769,1201.367790
30,10000,10000,10000,1.686062,1186.196020
30,10000,10000,10000,1.663627,1202.192828
30,10000,10000,10000,1.699454,1176.848751
30,10000,10000,10000,1.703205,1174.256672
30,10000,10000,10000,1.687932,1184.881824
30,10000,10000,10000,1.705540,1172.649366
30,10000,10000,10000,1.697043,1178.520299
30,10000,10000,10000,1.668824,1198.448890
40,10000,10000,10000,1.583792,1262.791850
40,10000,10000,10000,1.571248,1272.873458
40,10000,10000,10000,1.595816,1253.277437
40,10000,10000,10000,1.592211,1256.115101
40,10000,10000,10000,1.573605,1270.966766
40,10000,10000,10000,1.573518,1271.037105
40,10000,10000,10000,1.577283,1268.003164
40,10000,10000,10000,1.551212,1289.314115
40,10000,10000,10000,1.563257,1279.380080
40,10000,10000,10000,1.569103,1274.613925
50,10000,10000,10000,1.562123,1280.308546
50,10000,10000,10000,1.559806,1282.210720
50,10000,10000,10000,1.551099,1289.408373
50,10000,10000,10000,1.552251,1288.451481
50,10000,10000,10000,1.554452,1286.626763
50,10000,10000,10000,1.547266,1292.602482
50,10000,10000,10000,1.545021,1294.480707
50,10000,10000,10000,1.542982,1296.191260
50,10000,10000,10000,1.550378,1290.008140
50,10000,10000,10000,1.551930,1288.718322
60,10000,10000,10000,1.631447,1225.905239
60,10000,10000,10000,1.626046,1229.977447
60,10000,10000,10000,1.635689,1222.726252
60,10000,10000,10000,1.635252,1223.053265
60,10000,10000,10000,1.633889,1224.073443
60,10000,10000,10000,1.643988,1216.553812
60,10000,10000,10000,1.587096,1260.163441
60,10000,10000,10000,1.660694,1204.316053
60,10000,10000,10000,1.626441,1229.678949
60,10000,10000,10000,1.637861,1221.105011
70,10000,10000,10000,1.577276,1268.008908
70,10000,10000,10000,1.563394,1279.267808
70,10000,10000,10000,1.557597,1284.029070
70,10000,10000,10000,1.554765,1286.368376
70,10000,10000,10000,1.534127,1303.672991
70,10000,10000,10000,1.544511,1294.908595
70,10000,10000,10000,1.544046,1295.297827
70,10000,10000,10000,1.546353,1293.366065
70,10000,10000,10000,1.557050,1284.479931
70,10000,10000,10000,1.544909,1294.574816
80,10000,10000,10000,1.515074,1320.067931
80,10000,10000,10000,1.506131,1327.905460
80,10000,10000,10000,1.499212,1334.033810
80,10000,10000,10000,1.512756,1322.090210
80,10000,10000,10000,1.509632,1324.825898
80,10000,10000,10000,1.508110,1326.163274
80,10000,10000,10000,1.504875,1329.013827
80,10000,10000,10000,1.500720,1332.693797
80,10000,10000,10000,1.501486,1332.013387
80,10000,10000,10000,1.488382,1343.741259
90,10000,10000,10000,1.496826,1336.160213
90,10000,10000,10000,1.493961,1338.723407
90,10000,10000,10000,1.505739,1328.251195
90,10000,10000,10000,1.498629,1334.552727
90,10000,10000,10000,1.496842,1336.146686
90,10000,10000,10000,1.505721,1328.267729
90,10000,10000,10000,1.505740,1328.250592
90,10000,10000,10000,1.497695,1335.385337
90,10000,10000,10000,1.514504,1320.564394
90,10000,10000,10000,1.510132,1324.387164
100,10000,10000,10000,1.463305,1366.769175
100,10000,10000,10000,1.476020,1354.994770
100,10000,10000,10000,1.486777,1345.191371
100,10000,10000,10000,1.468118,1362.288724
100,10000,10000,10000,1.483412,1348.242953
100,10000,10000,10000,1.474221,1356.648750
100,10000,10000,10000,1.465628,1364.602795
100,10000,10000,10000,1.463799,1366.307600
100,10000,10000,10000,1.452139,1377.278874
100,10000,10000,10000,1.486271,1345.649989
110,10000,10000,10000,1.438131,1390.693859
110,10000,10000,10000,1.432101,1396.549297
110,10000,10000,10000,1.442994,1386.007313
110,10000,10000,10000,1.425623,1402.895366
110,10000,10000,10000,1.415570,1412.857983
110,10000,10000,10000,1.436115,1392.646022
110,10000,10000,10000,1.422948,1405.532590
110,10000,10000,10000,1.432448,1396.211377
110,10000,10000,10000,1.422027,1406.442774
110,10000,10000,10000,1.436600,1392.176390
120,10000,10000,10000,1.373204,1456.447389
120,10000,10000,10000,1.387102,1441.854845
120,10000,10000,10000,1.349810,1481.689882
120,10000,10000,10000,1.349373,1482.170063
120,10000,10000,10000,1.358081,1472.666503
120,10000,10000,10000,1.372266,1457.443431
120,10000,10000,10000,1.394079,1434.639200
120,10000,10000,10000,1.359741,1470.868519
120,10000,10000,10000,1.374927,1454.622738
120,10000,10000,10000,1.369839,1460.025652
128,10000,10000,10000,1.299188,1539.423062
128,10000,10000,10000,1.317554,1517.964541
128,10000,10000,10000,1.248219,1602.282507
128,10000,10000,10000,1.304939,1532.638949
128,10000,10000,10000,1.311602,1524.852418
128,10000,10000,10000,1.269789,1575.065451
128,10000,10000,10000,1.300787,1537.531000
128,10000,10000,10000,1.299522,1539.027595
128,10000,10000,10000,1.294833,1544.600490
128,10000,10000,10000,1.274915,1568.732389
