cores,size,size,size,time,gflops
1,10000,10000,10000,20.836733,95.984335
1,10000,10000,10000,20.970077,95.373992
1,10000,10000,10000,20.824886,96.038939
1,10000,10000,10000,20.817387,96.073537
1,10000,10000,10000,20.827137,96.028563
1,10000,10000,10000,20.821668,96.053782
1,10000,10000,10000,20.916226,95.619546
1,10000,10000,10000,20.805004,96.130720
1,10000,10000,10000,20.900069,95.693465
1,10000,10000,10000,20.908423,95.655229
10,10000,10000,10000,2.137814,935.535139
10,10000,10000,10000,2.133831,937.281359
10,10000,10000,10000,2.174591,919.713141
10,10000,10000,10000,2.136264,936.214064
10,10000,10000,10000,2.141350,933.990031
10,10000,10000,10000,2.135418,936.584606
10,10000,10000,10000,2.133231,937.545072
10,10000,10000,10000,2.131018,938.518417
10,10000,10000,10000,2.134757,936.874854
10,10000,10000,10000,2.142773,933.369779
20,10000,10000,10000,1.240485,1612.272221
20,10000,10000,10000,1.241955,1610.364873
20,10000,10000,10000,1.241992,1610.316535
20,10000,10000,10000,1.252622,1596.651369
20,10000,10000,10000,1.239780,1613.189473
20,10000,10000,10000,1.244967,1606.467684
20,10000,10000,10000,1.242181,1610.071730
20,10000,10000,10000,1.241731,1610.655312
20,10000,10000,10000,1.245085,1606.316329
20,10000,10000,10000,1.251861,1597.622081
30,10000,10000,10000,1.275107,1568.495561
30,10000,10000,10000,1.287950,1552.855848
30,10000,10000,10000,1.279094,1563.606261
30,10000,10000,10000,1.282107,1559.932591
30,10000,10000,10000,1.284389,1557.160403
30,10000,10000,10000,1.284817,1556.641615
30,10000,10000,10000,1.292659,1547.198746
30,10000,10000,10000,1.286052,1555.146941
30,10000,10000,10000,1.283075,1558.755721
30,10000,10000,10000,1.267500,1577.909020
40,10000,10000,10000,1.018045,1964.549187
40,10000,10000,10000,0.979636,2041.574990
40,10000,10000,10000,0.977387,2046.272221
40,10000,10000,10000,0.978441,2044.067829
40,10000,10000,10000,1.024989,1951.240865
40,10000,10000,10000,0.976215,2048.728564
40,10000,10000,10000,0.996019,2007.994083
40,10000,10000,10000,0.976665,2047.785547
40,10000,10000,10000,0.983774,2032.987464
40,10000,10000,10000,0.974791,2051.721235
50,10000,10000,10000,1.036984,1928.670051
50,10000,10000,10000,1.008960,1982.239322
50,10000,10000,10000,1.014840,1970.754886
50,10000,10000,10000,1.039712,1923.610002
50,10000,10000,10000,1.021543,1957.821690
50,10000,10000,10000,1.012776,1974.771202
50,10000,10000,10000,1.008548,1983.048192
50,10000,10000,10000,1.032688,1936.693877
50,10000,10000,10000,1.033232,1935.674518
50,10000,10000,10000,1.039672,1923.683757
60,10000,10000,10000,1.119700,1786.193088
60,10000,10000,10000,1.123030,1780.896573
60,10000,10000,10000,1.114955,1793.794539
60,10000,10000,10000,1.110961,1800.243440
60,10000,10000,10000,1.108746,1803.838848
60,10000,10000,10000,1.121200,1783.802971
60,10000,10000,10000,1.110338,1801.253359
60,10000,10000,10000,1.114478,1794.561860
60,10000,10000,10000,1.146890,1743.846165
60,10000,10000,10000,1.116956,1790.580806
70,10000,10000,10000,1.231793,1623.649903
70,10000,10000,10000,1.184167,1688.951261
70,10000,10000,10000,1.187343,1684.433220
70,10000,10000,10000,1.192979,1676.475209
70,10000,10000,10000,1.191518,1678.531611
70,10000,10000,10000,1.184242,1688.844324
70,10000,10000,10000,1.225743,1631.663356
70,10000,10000,10000,1.204863,1659.940042
70,10000,10000,10000,1.194291,1674.633692
70,10000,10000,10000,1.247237,1603.544585
80,10000,10000,10000,1.286357,1554.778210
80,10000,10000,10000,1.244044,1607.660395
80,10000,10000,10000,1.234695,1619.833285
80,10000,10000,10000,1.267623,1577.756163
80,10000,10000,10000,1.249004,1601.276202
80,10000,10000,10000,1.225668,1631.762905
80,10000,10000,10000,1.241517,1610.932399
80,10000,10000,10000,1.254319,1594.490800
80,10000,10000,10000,1.250178,1599.772558
80,10000,10000,10000,1.245273,1606.072892
90,10000,10000,10000,1.457761,1371.967090
90,10000,10000,10000,1.423844,1404.648478
90,10000,10000,10000,1.426761,1401.776562
90,10000,10000,10000,1.418000,1410.436754
90,10000,10000,10000,1.437476,1391.328042
90,10000,10000,10000,1.441932,1387.027835
90,10000,10000,10000,1.452185,1377.235341
90,10000,10000,10000,1.409090,1419.355978
90,10000,10000,10000,1.405953,1422.522696
90,10000,10000,10000,1.433625,1395.065301
100,10000,10000,10000,1.434737,1393.984135
100,10000,10000,10000,1.397832,1430.787505
100,10000,10000,10000,1.394192,1434.522549
100,10000,10000,10000,1.425339,1403.174881
100,10000,10000,10000,1.399910,1428.662796
100,10000,10000,10000,1.425737,1402.783331
100,10000,10000,10000,1.453233,1376.241746
100,10000,10000,10000,1.440861,1388.059269
100,10000,10000,10000,1.396325,1432.331614
100,10000,10000,10000,1.401613,1426.927405
110,10000,10000,10000,1.592865,1255.599394
110,10000,10000,10000,1.542420,1296.663393
110,10000,10000,10000,1.567205,1276.157021
110,10000,10000,10000,1.577189,1268.079170
110,10000,10000,10000,1.592969,1255.517603
110,10000,10000,10000,1.597397,1252.036693
110,10000,10000,10000,1.554463,1286.617874
110,10000,10000,10000,1.598692,1251.022542
110,10000,10000,10000,1.582387,1263.913043
110,10000,10000,10000,1.597776,1251.739811
120,10000,10000,10000,1.615226,1238.216559
120,10000,10000,10000,1.634698,1223.467429
120,10000,10000,10000,1.615512,1237.997395
120,10000,10000,10000,1.625798,1230.164905
120,10000,10000,10000,1.617033,1236.833291
120,10000,10000,10000,1.620837,1233.930207
120,10000,10000,10000,1.613776,1239.329265
120,10000,10000,10000,1.626163,1229.889096
120,10000,10000,10000,1.622537,1232.637802
120,10000,10000,10000,1.624277,1231.317355
128,10000,10000,10000,1.679424,1190.884764
128,10000,10000,10000,1.676451,1192.996287
128,10000,10000,10000,1.669401,1198.034768
128,10000,10000,10000,1.673178,1195.329748
128,10000,10000,10000,1.677072,1192.554405
128,10000,10000,10000,1.672043,1196.141450
128,10000,10000,10000,1.665091,1201.135395
128,10000,10000,10000,1.683333,1188.119006
128,10000,10000,10000,1.680337,1190.237315
128,10000,10000,10000,1.670733,1197.079295
