cores,size,size,size,time,gflops
1,10000,10000,10000,41.560183,48.122983
1,10000,10000,10000,41.492719,48.201228
1,10000,10000,10000,41.547820,48.137303
1,10000,10000,10000,41.508956,48.182373
1,10000,10000,10000,41.593387,48.084567
1,10000,10000,10000,41.629845,48.042456
1,10000,10000,10000,41.527015,48.161420
1,10000,10000,10000,41.576807,48.103742
1,10000,10000,10000,41.660883,48.006664
1,10000,10000,10000,41.628927,48.043516
10,10000,10000,10000,4.703795,425.188625
10,10000,10000,10000,4.682986,427.077979
10,10000,10000,10000,4.694450,426.035023
10,10000,10000,10000,4.712477,424.405285
10,10000,10000,10000,4.684488,426.940960
10,10000,10000,10000,4.729424,422.884502
10,10000,10000,10000,4.680297,427.323310
10,10000,10000,10000,4.764768,419.747601
10,10000,10000,10000,4.696293,425.867840
10,10000,10000,10000,4.708872,424.730186
20,10000,10000,10000,2.566545,779.257857
20,10000,10000,10000,2.565746,779.500434
20,10000,10000,10000,2.561154,780.897865
20,10000,10000,10000,2.569955,778.223723
20,10000,10000,10000,2.562217,780.574116
20,10000,10000,10000,2.572270,777.523233
20,10000,10000,10000,2.569796,778.271756
20,10000,10000,10000,2.578516,775.640047
20,10000,10000,10000,2.566513,779.267495
20,10000,10000,10000,2.569865,778.251043
30,10000,10000,10000,2.425607,824.535754
30,10000,10000,10000,2.428265,823.633383
30,10000,10000,10000,2.430960,822.720073
30,10000,10000,10000,2.431171,822.648790
30,10000,10000,10000,2.432211,822.296947
30,10000,10000,10000,2.426110,824.364883
30,10000,10000,10000,2.427059,824.042487
30,10000,10000,10000,2.423730,825.174588
30,10000,10000,10000,2.432805,822.096207
30,10000,10000,10000,2.422355,825.642781
40,10000,10000,10000,2.582808,774.351019
40,10000,10000,10000,2.592627,771.418443
40,10000,10000,10000,2.583631,774.104410
40,10000,10000,10000,2.576516,776.242153
40,10000,10000,10000,2.584117,773.958663
40,10000,10000,10000,2.582605,774.411960
40,10000,10000,10000,2.583551,774.128358
40,10000,10000,10000,2.577861,775.836888
40,10000,10000,10000,2.586641,773.203504
40,10000,10000,10000,2.580248,775.119419
50,10000,10000,10000,2.679973,746.276087
50,10000,10000,10000,2.665670,750.280375
50,10000,10000,10000,2.683276,745.357477
50,10000,10000,10000,2.669606,749.174168
50,10000,10000,10000,2.664148,750.709135
50,10000,10000,10000,2.669496,749.205127
50,10000,10000,10000,2.677185,747.053360
50,10000,10000,10000,2.655820,753.063027
50,10000,10000,10000,2.673021,748.216996
50,10000,10000,10000,2.684744,744.949846
60,10000,10000,10000,2.336240,856.076461
60,10000,10000,10000,2.354224,849.536812
60,10000,10000,10000,2.398827,833.740973
60,10000,10000,10000,2.344785,852.956672
60,10000,10000,10000,2.345977,852.523212
60,10000,10000,10000,2.345176,852.814326
60,10000,10000,10000,2.353959,849.632429
60,10000,10000,10000,2.343021,853.599000
60,10000,10000,10000,2.336927,855.824897
60,10000,10000,10000,2.355944,848.916679
70,10000,10000,10000,2.482218,805.731127
70,10000,10000,10000,2.476798,807.494064
70,10000,10000,10000,2.480427,806.312679
70,10000,10000,10000,2.466092,810.999844
70,10000,10000,10000,2.467508,810.534204
70,10000,10000,10000,2.470167,809.661754
70,10000,10000,10000,2.477348,807.314985
70,10000,10000,10000,2.482570,805.616606
70,10000,10000,10000,2.465667,811.139454
70,10000,10000,10000,2.482573,805.615806
80,10000,10000,10000,2.653578,753.699328
80,10000,10000,10000,2.653229,753.798363
