cores,size,size,size,time,gflops
1,10000,10000,10000,42.909204,46.610047
1,10000,10000,10000,43.046102,46.461814
1,10000,10000,10000,43.014292,46.496174
1,10000,10000,10000,42.969177,46.544992
1,10000,10000,10000,43.362433,46.122873
1,10000,10000,10000,43.051854,46.455607
1,10000,10000,10000,43.431781,46.049229
1,10000,10000,10000,43.302861,46.186325
1,10000,10000,10000,42.995408,46.516595
1,10000,10000,10000,43.405820,46.076770
10,10000,10000,10000,4.826203,414.404465
10,10000,10000,10000,4.855841,411.875120
10,10000,10000,10000,4.837319,413.452192
10,10000,10000,10000,4.842115,413.042652
10,10000,10000,10000,4.831594,413.942068
10,10000,10000,10000,4.806082,416.139416
10,10000,10000,10000,4.841461,413.098406
10,10000,10000,10000,4.834038,413.732757
10,10000,10000,10000,4.832105,413.898318
10,10000,10000,10000,4.811307,415.687495
20,10000,10000,10000,3.532290,566.204931
20,10000,10000,10000,3.535583,565.677539
20,10000,10000,10000,3.548046,563.690489
20,10000,10000,10000,3.512435,569.405481
20,10000,10000,10000,3.540904,564.827559
20,10000,10000,10000,3.525765,567.252720
20,10000,10000,10000,3.564253,561.127418
20,10000,10000,10000,3.546282,563.970967
20,10000,10000,10000,3.538673,565.183635
20,10000,10000,10000,3.535464,565.696686
30,10000,10000,10000,3.348114,597.351266
30,10000,10000,10000,3.645789,548.578042
30,10000,10000,10000,3.383490,591.105618
30,10000,10000,10000,3.394206,589.239402
30,10000,10000,10000,3.385046,590.833868
30,10000,10000,10000,3.422132,584.431017
30,10000,10000,10000,3.410926,586.350976
30,10000,10000,10000,3.370984,593.298489
30,10000,10000,10000,3.389978,589.974248
30,10000,10000,10000,3.361852,594.910206
40,10000,10000,10000,3.551625,563.122462
40,10000,10000,10000,3.643138,548.977225
40,10000,10000,10000,3.434920,582.255176
40,10000,10000,10000,3.681664,543.232671
40,10000,10000,10000,3.587450,557.499075
40,10000,10000,10000,3.797022,526.728567
40,10000,10000,10000,3.601676,555.297074
40,10000,10000,10000,3.677646,543.826113
40,10000,10000,10000,3.566665,560.747912
40,10000,10000,10000,3.525206,567.342793
50,10000,10000,10000,3.470589,576.271113
50,10000,10000,10000,3.494629,572.306848
50,10000,10000,10000,3.486239,573.684074
50,10000,10000,10000,3.453294,579.157161
50,10000,10000,10000,3.468431,576.629553
50,10000,10000,10000,3.548823,563.567097
50,10000,10000,10000,3.492665,572.628631
50,10000,10000,10000,3.506545,570.361978
50,10000,10000,10000,3.462048,577.692733
50,10000,10000,10000,3.555976,562.433441
60,10000,10000,10000,3.493574,572.479653
60,10000,10000,10000,3.446133,580.360658
60,10000,10000,10000,3.446764,580.254394
60,10000,10000,10000,3.507575,570.194561
60,10000,10000,10000,3.432854,582.605545
60,10000,10000,10000,3.457190,578.504523
60,10000,10000,10000,3.437787,581.769534
60,10000,10000,10000,3.452973,579.211023
