cores,size,size,size,time,gflops
1,10000,10000,10000,42.176941,47.419276
1,10000,10000,10000,41.936837,47.690769
1,10000,10000,10000,41.956280,47.668668
1,10000,10000,10000,42.023141,47.592825
1,10000,10000,10000,42.216654,47.374669
1,10000,10000,10000,41.940806,47.686256
1,10000,10000,10000,41.962288,47.661843
1,10000,10000,10000,42.024476,47.591313
1,10000,10000,10000,42.016646,47.600182
1,10000,10000,10000,42.105180,47.500094
10,10000,10000,10000,4.574729,437.184370
10,10000,10000,10000,4.571803,437.464171
10,10000,10000,10000,4.570275,437.610449
10,10000,10000,10000,4.570375,437.600820
10,10000,10000,10000,4.578482,436.826051
10,10000,10000,10000,4.603222,434.478310
10,10000,10000,10000,4.567904,437.837603
10,10000,10000,10000,4.572897,437.359526
10,10000,10000,10000,4.575260,437.133623
10,10000,10000,10000,4.569590,437.676056
20,10000,10000,10000,2.658026,752.438029
20,10000,10000,10000,2.618339,763.843164
20,10000,10000,10000,2.618542,763.783863
20,10000,10000,10000,2.638647,757.964312
20,10000,10000,10000,2.643519,756.567294
20,10000,10000,10000,2.612013,765.692899
20,10000,10000,10000,2.619210,763.589158
20,10000,10000,10000,2.615000,764.818255
20,10000,10000,10000,2.626911,761.350567
20,10000,10000,10000,2.619507,763.502548
30,10000,10000,10000,2.932665,681.973631
30,10000,10000,10000,2.935326,681.355263
30,10000,10000,10000,2.920609,684.788720
30,10000,10000,10000,2.936001,681.198718
30,10000,10000,10000,2.932644,681.978525
30,10000,10000,10000,2.945868,678.917141
30,10000,10000,10000,2.917445,685.531383
30,10000,10000,10000,2.934593,681.525597
30,10000,10000,10000,2.952700,677.346255
30,10000,10000,10000,2.947930,678.442254
40,10000,10000,10000,3.093892,646.434973
40,10000,10000,10000,3.079963,649.358441
40,10000,10000,10000,3.084372,648.430226
40,10000,10000,10000,3.023158,661.559886
40,10000,10000,10000,3.023361,661.515537
40,10000,10000,10000,3.026329,660.866632
40,10000,10000,10000,3.068016,651.887086
40,10000,10000,10000,3.088178,647.631053
40,10000,10000,10000,3.080628,649.218300
40,10000,10000,10000,3.035029,658.972258
50,10000,10000,10000,3.233947,618.439335
50,10000,10000,10000,3.206595,623.714502
50,10000,10000,10000,3.255737,614.300294
50,10000,10000,10000,3.271649,611.312583
50,10000,10000,10000,3.170660,630.783555
50,10000,10000,10000,3.273686,610.932101
50,10000,10000,10000,3.192314,626.504691
50,10000,10000,10000,3.187137,627.522367
50,10000,10000,10000,3.243176,616.679519
50,10000,10000,10000,3.233213,618.579728
60,10000,10000,10000,3.234446,618.343960
60,10000,10000,10000,3.229747,619.243618
60,10000,10000,10000,3.241960,616.910754
60,10000,10000,10000,3.253127,614.793040
60,10000,10000,10000,3.352670,596.539408
60,10000,10000,10000,3.286882,608.479425
60,10000,10000,10000,3.233807,618.466129
60,10000,10000,10000,3.326523,601.228456
60,10000,10000,10000,3.209156,623.216914
60,10000,10000,10000,3.251416,615.116656
70,10000,10000,10000,3.336257,599.474145
70,10000,10000,10000,3.268280,611.942652
70,10000,10000,10000,3.214509,622.178912
70,10000,10000,10000,3.255515,614.342212
70,10000,10000,10000,3.312408,603.790400
70,10000,10000,10000,3.340071,598.789726
70,10000,10000,10000,3.314278,603.449742
70,10000,10000,10000,3.328591,600.854805
70,10000,10000,10000,3.335009,599.698576
70,10000,10000,10000,3.356745,595.815215
80,10000,10000,10000,3.323609,601.755443
80,10000,10000,10000,3.266284,612.316706
80,10000,10000,10000,3.366058,594.166775
80,10000,10000,10000,3.271906,611.264542
80,10000,10000,10000,3.232926,618.634613
80,10000,10000,10000,3.311519,603.952425
80,10000,10000,10000,3.295199,606.943649
80,10000,10000,10000,3.411849,586.192416
80,10000,10000,10000,3.311069,604.034566
80,10000,10000,10000,3.270932,611.446567
90,10000,10000,10000,3.356428,595.871652
90,10000,10000,10000,3.366499,594.089015
90,10000,10000,10000,2.432453,822.215180
90,10000,10000,10000,3.401409,587.991709
90,10000,10000,10000,3.352155,596.631191
90,10000,10000,10000,3.379598,591.786412
90,10000,10000,10000,3.393044,589.441290
90,10000,10000,10000,3.349996,597.015553
90,10000,10000,10000,3.369131,593.624834
90,10000,10000,10000,3.345570,597.805499
100,10000,10000,10000,3.430154,583.064278
100,10000,10000,10000,3.486002,573.723134
100,10000,10000,10000,3.418415,585.066415
100,10000,10000,10000,3.414403,585.753968
100,10000,10000,10000,3.413733,585.868946
100,10000,10000,10000,3.445271,580.505805
100,10000,10000,10000,3.464037,577.361045
100,10000,10000,10000,3.425376,583.877591
