cores,size,size,size,time,gflops
1,10000,10000,10000,20.546338,97.340949
1,10000,10000,10000,20.513526,97.496645
1,10000,10000,10000,20.497709,97.571881
1,10000,10000,10000,20.463633,97.734358
1,10000,10000,10000,20.541179,97.365395
1,10000,10000,10000,20.513819,97.495256
1,10000,10000,10000,20.535896,97.390442
1,10000,10000,10000,20.595549,97.108361
1,10000,10000,10000,20.546257,97.341329
1,10000,10000,10000,20.552970,97.309539
10,10000,10000,10000,2.244267,891.159561
10,10000,10000,10000,2.245680,890.598973
10,10000,10000,10000,2.379374,840.557324
10,10000,10000,10000,2.243052,891.642190
10,10000,10000,10000,2.245449,890.690462
10,10000,10000,10000,2.251013,888.488992
10,10000,10000,10000,2.251458,888.313401
10,10000,10000,10000,2.247758,889.775380
10,10000,10000,10000,2.249209,889.201552
10,10000,10000,10000,2.251033,888.480952
20,10000,10000,10000,1.395385,1433.296251
20,10000,10000,10000,1.406470,1421.999320
20,10000,10000,10000,1.395875,1432.793498
20,10000,10000,10000,1.380814,1448.421004
20,10000,10000,10000,1.382198,1446.971092
20,10000,10000,10000,1.388292,1440.619524
20,10000,10000,10000,1.391399,1437.402299
20,10000,10000,10000,1.397667,1430.955610
20,10000,10000,10000,1.405670,1422.808547
20,10000,10000,10000,1.400869,1427.685666
30,10000,10000,10000,1.028967,1943.696276
30,10000,10000,10000,1.022047,1956.857411
30,10000,10000,10000,1.017768,1965.085194
30,10000,10000,10000,1.020384,1960.045964
30,10000,10000,10000,1.026797,1947.804636
30,10000,10000,10000,1.014875,1970.686181
30,10000,10000,10000,1.012101,1976.088286
30,10000,10000,10000,1.027297,1946.855862
30,10000,10000,10000,1.031009,1939.848136
30,10000,10000,10000,1.037533,1927.650446
40,10000,10000,10000,1.206073,1658.274554
40,10000,10000,10000,1.216942,1643.463523
40,10000,10000,10000,1.201280,1664.890622
40,10000,10000,10000,1.194946,1673.715934
40,10000,10000,10000,1.203176,1662.266818
40,10000,10000,10000,1.212334,1649.710293
40,10000,10000,10000,1.198667,1668.520312
40,10000,10000,10000,1.187305,1684.487333
40,10000,10000,10000,1.200560,1665.889873
40,10000,10000,10000,1.195042,1673.581456
50,10000,10000,10000,1.406858,1421.607873
50,10000,10000,10000,1.394284,1434.427534
50,10000,10000,10000,1.420695,1407.761476
50,10000,10000,10000,1.414414,1414.013246
50,10000,10000,10000,1.415303,1413.124703
50,10000,10000,10000,1.406204,1422.269208
50,10000,10000,10000,1.401032,1427.518994
50,10000,10000,10000,1.415085,1413.342289
50,10000,10000,10000,1.425857,1402.665689
50,10000,10000,10000,1.375052,1454.490951
60,10000,10000,10000,0.975852,2049.491124
60,10000,10000,10000,0.980176,2040.450765
60,10000,10000,10000,0.986959,2026.427135
60,10000,10000,10000,0.995744,2008.548134
60,10000,10000,10000,0.980202,2040.396115
60,10000,10000,10000,0.985488,2029.451316
60,10000,10000,10000,0.976339,2048.469796
60,10000,10000,10000,0.989554,2021.112437
60,10000,10000,10000,0.980621,2039.523410
60,10000,10000,10000,0.987494,2025.329102
