cores,size,size,size,time,gflops
1,10000,10000,10000,31.105087,64.298165
1,10000,10000,10000,31.414885,63.664088
1,10000,10000,10000,31.050291,64.411634
1,10000,10000,10000,30.994159,64.528288
1,10000,10000,10000,31.678380,63.134542
1,10000,10000,10000,31.382282,63.730229
1,10000,10000,10000,30.852305,64.824978
1,10000,10000,10000,31.538704,63.414146
1,10000,10000,10000,31.112405,64.283040
1,10000,10000,10000,31.702940,63.085631
10,10000,10000,10000,4.377171,456.916142
10,10000,10000,10000,4.547715,439.781268
10,10000,10000,10000,4.424779,451.999960
10,10000,10000,10000,4.655329,429.615220
10,10000,10000,10000,4.561398,438.462028
10,10000,10000,10000,4.624382,432.490204
10,10000,10000,10000,4.562299,438.375494
10,10000,10000,10000,4.569621,437.673071
10,10000,10000,10000,4.561823,438.421213
10,10000,10000,10000,4.609118,433.922482
20,10000,10000,10000,2.294025,871.830122
20,10000,10000,10000,2.299518,869.747562
20,10000,10000,10000,2.317729,862.913598
20,10000,10000,10000,2.298515,870.127156
20,10000,10000,10000,2.344154,853.186363
20,10000,10000,10000,2.341860,854.022114
20,10000,10000,10000,2.326366,859.709910
20,10000,10000,10000,2.336738,855.893967
20,10000,10000,10000,2.310245,865.709015
20,10000,10000,10000,2.344978,852.886380
30,10000,10000,10000,1.603742,1247.083406
30,10000,10000,10000,1.592894,1255.576652
30,10000,10000,10000,1.616149,1237.509315
30,10000,10000,10000,1.611314,1241.222912
30,10000,10000,10000,1.606798,1244.711772
30,10000,10000,10000,1.602647,1247.935568
30,10000,10000,10000,1.587706,1259.679349
30,10000,10000,10000,1.619955,1234.602192
30,10000,10000,10000,1.611352,1241.193672
30,10000,10000,10000,1.614883,1238.479622
40,10000,10000,10000,1.428340,1400.226624
40,10000,10000,10000,1.430963,1397.660086
40,10000,10000,10000,1.419136,1409.308626
40,10000,10000,10000,1.428633,1399.939560
40,10000,10000,10000,1.421996,1406.473971
40,10000,10000,10000,1.412056,1416.374438
40,10000,10000,10000,1.436425,1392.345624
40,10000,10000,10000,1.422579,1405.897371
40,10000,10000,10000,1.423124,1405.358553
40,10000,10000,10000,1.435364,1393.375066
50,10000,10000,10000,1.361773,1468.673118
50,10000,10000,10000,1.362108,1468.312485
50,10000,10000,10000,1.337648,1495.161740
50,10000,10000,10000,1.337264,1495.590721
50,10000,10000,10000,1.354406,1476.661577
50,10000,10000,10000,1.344755,1487.260172
50,10000,10000,10000,1.351940,1479.355069
50,10000,10000,10000,1.347387,1484.354976
50,10000,10000,10000,1.342511,1489.746259
50,10000,10000,10000,1.349201,1482.358443
60,10000,10000,10000,1.349063,1482.510968
60,10000,10000,10000,1.360791,1469.733840
60,10000,10000,10000,1.341128,1491.281501
60,10000,10000,10000,1.370603,1459.211709
60,10000,10000,10000,1.380001,1449.273951
60,10000,10000,10000,1.354222,1476.862926
60,10000,10000,10000,1.359795,1470.810189
60,10000,10000,10000,1.333062,1500.304767
60,10000,10000,10000,1.376271,1453.202262
60,10000,10000,10000,1.352964,1478.235859
70,10000,10000,10000,1.315128,1520.764126
70,10000,10000,10000,1.339050,1493.596052
70,10000,10000,10000,1.298352,1540.413822
70,10000,10000,10000,1.314304,1521.717453
70,10000,10000,10000,1.284874,1556.572286
70,10000,10000,10000,1.303606,1534.206402
70,10000,10000,10000,1.284554,1556.961108
70,10000,10000,10000,1.289211,1551.336983
70,10000,10000,10000,1.294703,1544.756100
70,10000,10000,10000,1.316734,1518.909119
80,10000,10000,10000,1.275146,1568.448070
80,10000,10000,10000,1.262437,1584.237625
80,10000,10000,10000,1.285950,1555.270706
80,10000,10000,10000,1.268110,1577.150770
80,10000,10000,10000,1.271946,1572.394127
80,10000,10000,10000,1.287069,1553.918661
80,10000,10000,10000,1.283967,1557.671941
80,10000,10000,10000,1.284616,1556.885752
80,10000,10000,10000,1.261020,1586.017395
80,10000,10000,10000,1.289447,1551.052501
90,10000,10000,10000,1.336245,1496.731505
90,10000,10000,10000,1.346137,1485.732621
90,10000,10000,10000,1.334814,1498.336161
90,10000,10000,10000,1.332196,1501.280102
90,10000,10000,10000,1.379219,1450.096217
90,10000,10000,10000,1.360186,1470.387556
90,10000,10000,10000,1.348484,1483.146511
90,10000,10000,10000,1.346578,1485.245901
90,10000,10000,10000,1.340625,1491.841519
90,10000,10000,10000,1.372733,1456.947632
100,10000,10000,10000,1.426587,1401.947594
100,10000,10000,10000,1.371995,1457.730859
100,10000,10000,10000,1.391252,1437.554293
100,10000,10000,10000,1.383595,1445.509202
100,10000,10000,10000,1.407806,1420.650365
100,10000,10000,10000,1.413589,1414.838613
100,10000,10000,10000,1.374212,1455.379969
100,10000,10000,10000,1.389231,1439.645593
100,10000,10000,10000,1.400480,1428.082206
100,10000,10000,10000,1.375009,1454.535421
110,10000,10000,10000,1.412800,1415.628413
110,10000,10000,10000,1.416534,1411.896803
110,10000,10000,10000,1.400563,1427.996841
110,10000,10000,10000,1.445783,1383.333730
110,10000,10000,10000,1.406882,1421.583556
110,10000,10000,10000,1.415042,1413.385499
110,10000,10000,10000,1.411856,1416.574932
110,10000,10000,10000,1.411386,1417.046678
110,10000,10000,10000,1.421291,1407.171319
110,10000,10000,10000,1.412473,1415.956690
120,10000,10000,10000,1.326961,1507.203256
120,10000,10000,10000,1.333365,1499.964456
120,10000,10000,10000,1.342287,1489.994368
120,10000,10000,10000,1.290275,1550.056677
120,10000,10000,10000,1.289100,1551.469867
120,10000,10000,10000,1.341544,1490.819308
120,10000,10000,10000,1.339678,1492.895811
120,10000,10000,10000,1.321361,1513.591470
120,10000,10000,10000,1.322646,1512.120552
120,10000,10000,10000,1.348198,1483.461676
128,10000,10000,10000,1.233651,1621.203442
128,10000,10000,10000,1.254319,1594.490975
128,10000,10000,10000,1.235039,1619.382550
128,10000,10000,10000,1.248097,1602.439392
128,10000,10000,10000,1.252363,1596.981661
128,10000,10000,10000,1.231468,1624.077634
128,10000,10000,10000,1.243659,1608.157230
128,10000,10000,10000,1.270318,1574.409302
128,10000,10000,10000,1.213688,1647.869499
128,10000,10000,10000,1.223357,1634.846135
