cores,size,size,size,time,gflops
1,10000,10000,10000,21.028865,95.107368
1,10000,10000,10000,20.956696,95.434893
1,10000,10000,10000,20.726931,96.492818
1,10000,10000,10000,20.536909,97.385639
1,10000,10000,10000,20.918181,95.610609
1,10000,10000,10000,20.696725,96.633648
1,10000,10000,10000,20.469709,97.705347
1,10000,10000,10000,20.233838,98.844322
1,10000,10000,10000,20.360281,98.230470
1,10000,10000,10000,20.672708,96.745912
10,10000,10000,10000,2.253958,887.328046
10,10000,10000,10000,2.288851,873.800902
10,10000,10000,10000,2.290076,873.333422
10,10000,10000,10000,2.310734,865.525741
10,10000,10000,10000,2.288446,873.955683
10,10000,10000,10000,2.272973,879.904999
10,10000,10000,10000,2.277433,878.181835
10,10000,10000,10000,2.266449,882.437571
10,10000,10000,10000,2.311036,865.412830
10,10000,10000,10000,2.270649,880.805531
20,10000,10000,10000,1.556833,1284.659560
20,10000,10000,10000,1.599002,1250.779934
20,10000,10000,10000,1.573098,1271.376747
20,10000,10000,10000,1.606410,1245.012481
20,10000,10000,10000,1.599287,1250.557053
20,10000,10000,10000,1.602754,1247.852262
20,10000,10000,10000,1.597130,1252.246489
20,10000,10000,10000,1.598863,1250.888673
20,10000,10000,10000,1.563142,1279.474619
20,10000,10000,10000,1.579456,1266.258554
30,10000,10000,10000,2.193522,911.775869
30,10000,10000,10000,2.188701,913.784167
30,10000,10000,10000,2.188417,913.902527
30,10000,10000,10000,2.183806,915.832450
30,10000,10000,10000,2.169388,921.918789
30,10000,10000,10000,2.199512,909.292587
30,10000,10000,10000,2.175082,919.505641
30,10000,10000,10000,2.195716,910.864510
30,10000,10000,10000,2.171473,921.033892
30,10000,10000,10000,2.169510,921.867096
40,10000,10000,10000,1.637347,1221.488310
40,10000,10000,10000,1.650297,1211.903274
40,10000,10000,10000,1.640892,1218.849230
40,10000,10000,10000,1.655840,1207.846120
40,10000,10000,10000,1.651742,1210.843070
40,10000,10000,10000,1.645075,1215.750180
40,10000,10000,10000,1.648148,1213.483209
40,10000,10000,10000,1.649065,1212.808136
40,10000,10000,10000,1.646553,1214.658674
40,10000,10000,10000,1.642756,1217.466025
50,10000,10000,10000,1.746769,1144.971087
50,10000,10000,10000,1.723759,1160.254870
50,10000,10000,10000,1.726702,1158.277652
50,10000,10000,10000,1.746579,1145.095739
50,10000,10000,10000,1.735238,1152.579599
50,10000,10000,10000,1.752190,1141.428920
50,10000,10000,10000,1.738137,1150.657174
50,10000,10000,10000,1.760090,1136.305693
50,10000,10000,10000,1.760551,1136.007781
50,10000,10000,10000,1.755156,1139.499739
60,10000,10000,10000,1.777761,1125.010438
60,10000,10000,10000,1.756942,1138.341198
60,10000,10000,10000,1.792772,1115.590991
60,10000,10000,10000,1.772958,1128.058588
60,10000,10000,10000,1.776168,1126.019319
