cores,size,size,size,time,gflops
1,10000,10000,10000,30.624001,65.308252
1,10000,10000,10000,30.657864,65.236118
1,10000,10000,10000,30.680961,65.187005
1,10000,10000,10000,30.699842,65.146915
1,10000,10000,10000,30.681484,65.185896
1,10000,10000,10000,30.521665,65.527224
1,10000,10000,10000,30.505610,65.561711
1,10000,10000,10000,30.737669,65.066743
1,10000,10000,10000,30.648772,65.255469
1,10000,10000,10000,30.753489,65.033272
2,10000,10000,10000,18.165602,110.098197
2,10000,10000,10000,18.194199,109.925149
2,10000,10000,10000,18.180781,110.006274
2,10000,10000,10000,18.205696,109.855727
2,10000,10000,10000,18.164566,110.104476
2,10000,10000,10000,18.168903,110.078191
2,10000,10000,10000,18.147052,110.210737
2,10000,10000,10000,18.208281,109.840131
2,10000,10000,10000,18.211543,109.820461
2,10000,10000,10000,18.194579,109.922852
4,10000,10000,10000,8.904936,224.594547
4,10000,10000,10000,8.938330,223.755446
4,10000,10000,10000,8.323001,240.297948
4,10000,10000,10000,8.841201,226.213610
4,10000,10000,10000,8.911530,224.428364
4,10000,10000,10000,8.925318,224.081658
4,10000,10000,10000,8.894496,224.858153
4,10000,10000,10000,8.909863,224.470351
4,10000,10000,10000,8.923668,224.123076
4,10000,10000,10000,8.360352,239.224390
6,10000,10000,10000,5.993581,333.690337
6,10000,10000,10000,6.017441,332.367210
6,10000,10000,10000,6.023354,332.040934
6,10000,10000,10000,6.004242,333.097856
6,10000,10000,10000,6.008139,332.881773
6,10000,10000,10000,5.996848,333.508529
6,10000,10000,10000,6.010226,332.766184
6,10000,10000,10000,6.009495,332.806677
6,10000,10000,10000,6.012846,332.621194
6,10000,10000,10000,6.008500,332.861787
8,10000,10000,10000,4.247655,470.848003
8,10000,10000,10000,4.259819,469.503487
8,10000,10000,10000,4.255372,469.994126
8,10000,10000,10000,4.255744,469.953106
8,10000,10000,10000,4.247640,470.849653
8,10000,10000,10000,4.260541,469.423904
8,10000,10000,10000,4.245801,471.053587
8,10000,10000,10000,4.259829,469.502383
8,10000,10000,10000,4.251002,470.477335
8,10000,10000,10000,4.252750,470.283907
10,10000,10000,10000,3.704840,539.834322
10,10000,10000,10000,3.715966,538.218003
10,10000,10000,10000,3.726110,536.752871
10,10000,10000,10000,3.717610,537.980026
10,10000,10000,10000,3.719383,537.723623
10,10000,10000,10000,3.719544,537.700369
10,10000,10000,10000,3.713730,538.542137
10,10000,10000,10000,3.717632,537.976878
10,10000,10000,10000,3.715718,538.253984
10,10000,10000,10000,3.724814,536.939549
12,10000,10000,10000,2.905994,688.232711
12,10000,10000,10000,2.897406,690.272654
12,10000,10000,10000,2.898068,690.114894
12,10000,10000,10000,2.905667,688.310043
12,10000,10000,10000,2.904357,688.620591
12,10000,10000,10000,2.899118,689.864868
12,10000,10000,10000,2.904852,688.503315
12,10000,10000,10000,2.905287,688.400098
12,10000,10000,10000,2.898873,689.923375
12,10000,10000,10000,2.900162,689.616688
14,10000,10000,10000,2.792565,716.187341
14,10000,10000,10000,2.789774,716.903949
14,10000,10000,10000,2.794605,715.664577
14,10000,10000,10000,2.796903,715.076542
14,10000,10000,10000,2.801359,713.939286
14,10000,10000,10000,2.796192,715.258462
14,10000,10000,10000,2.792449,716.217205
14,10000,10000,10000,2.795489,715.438215
14,10000,10000,10000,2.787057,717.602873
14,10000,10000,10000,2.792740,716.142623
16,10000,10000,10000,2.288186,874.054731
16,10000,10000,10000,2.287606,874.276565
16,10000,10000,10000,2.285564,875.057458
16,10000,10000,10000,2.283579,875.818174
16,10000,10000,10000,2.284437,875.489135
16,10000,10000,10000,2.287027,874.497845
16,10000,10000,10000,2.289770,873.450051
16,10000,10000,10000,2.287906,874.161776
16,10000,10000,10000,2.280786,876.890779
16,10000,10000,10000,2.285516,875.076062
18,10000,10000,10000,2.103906,950.612884
18,10000,10000,10000,2.097752,953.401770
18,10000,10000,10000,2.093619,955.283438
18,10000,10000,10000,2.099518,952.599526
18,10000,10000,10000,2.090192,956.850070
18,10000,10000,10000,2.095711,954.329957
18,10000,10000,10000,2.092894,955.614594
18,10000,10000,10000,2.102308,951.335249
18,10000,10000,10000,2.094769,954.758992
18,10000,10000,10000,2.095253,954.538484
20,10000,10000,10000,1.884642,1061.209504
20,10000,10000,10000,1.882919,1062.180572
20,10000,10000,10000,1.889095,1058.708039
20,10000,10000,10000,1.885989,1060.451424
20,10000,10000,10000,1.884240,1061.435801
20,10000,10000,10000,1.886429,1060.204425
20,10000,10000,10000,1.888723,1058.916506
20,10000,10000,10000,1.886071,1060.405383
20,10000,10000,10000,1.887338,1059.693841
20,10000,10000,10000,1.884918,1061.054143
22,10000,10000,10000,2.016996,991.573713
22,10000,10000,10000,2.017729,991.213290
22,10000,10000,10000,2.018227,990.968912
22,10000,10000,10000,2.018845,990.665254
22,10000,10000,10000,2.030447,985.005004
22,10000,10000,10000,2.021841,989.197273
22,10000,10000,10000,2.021617,989.307171
22,10000,10000,10000,2.027743,986.318100
22,10000,10000,10000,2.019638,990.276445
22,10000,10000,10000,2.023416,988.427578
24,10000,10000,10000,1.699794,1176.612949
24,10000,10000,10000,1.718633,1163.715277
24,10000,10000,10000,1.704759,1173.186523
24,10000,10000,10000,1.708525,1170.600442
24,10000,10000,10000,1.714407,1166.583958
24,10000,10000,10000,1.706272,1172.145818
24,10000,10000,10000,1.706238,1172.169094
24,10000,10000,10000,1.709552,1169.897358
24,10000,10000,10000,1.708103,1170.889301
24,10000,10000,10000,1.723207,1160.626949
