cores,size,size,size,time,gflops
1,10000,10000,10000,30.902072,64.720580
1,10000,10000,10000,30.429981,65.724654
1,10000,10000,10000,30.400312,65.788799
1,10000,10000,10000,30.393726,65.803055
1,10000,10000,10000,30.778274,64.980901
1,10000,10000,10000,30.276522,66.057785
1,10000,10000,10000,30.838257,64.854509
1,10000,10000,10000,30.314702,65.974589
1,10000,10000,10000,30.246284,66.123826
1,10000,10000,10000,30.491578,65.591883
2,10000,10000,10000,16.978470,117.796241
2,10000,10000,10000,17.044649,117.338877
2,10000,10000,10000,17.035485,117.402001
2,10000,10000,10000,16.978997,117.792588
2,10000,10000,10000,17.064676,117.201172
2,10000,10000,10000,17.111775,116.878579
2,10000,10000,10000,17.021270,117.500047
2,10000,10000,10000,17.155323,116.581891
2,10000,10000,10000,17.033203,117.417725
2,10000,10000,10000,17.158210,116.562277
4,10000,10000,10000,7.872669,254.043436
4,10000,10000,10000,7.858034,254.516602
4,10000,10000,10000,7.867449,254.212022
4,10000,10000,10000,7.875916,253.938701
4,10000,10000,10000,7.858613,254.497840
4,10000,10000,10000,7.859088,254.482456
4,10000,10000,10000,7.851468,254.729423
4,10000,10000,10000,7.855337,254.603971
4,10000,10000,10000,8.164325,244.968213
4,10000,10000,10000,7.863549,254.338082
6,10000,10000,10000,5.133070,389.630359
6,10000,10000,10000,5.093029,392.693638
6,10000,10000,10000,5.165994,387.147206
6,10000,10000,10000,5.098755,392.252623
6,10000,10000,10000,5.135633,389.435899
6,10000,10000,10000,5.142856,388.888969
6,10000,10000,10000,5.164705,387.243770
6,10000,10000,10000,5.138826,389.193947
6,10000,10000,10000,5.366813,372.660612
6,10000,10000,10000,5.129313,389.915742
8,10000,10000,10000,3.824989,522.877276
8,10000,10000,10000,3.786527,528.188472
8,10000,10000,10000,3.824858,522.895294
8,10000,10000,10000,3.828076,522.455712
8,10000,10000,10000,3.816824,523.995843
8,10000,10000,10000,3.825268,522.839220
8,10000,10000,10000,3.776579,529.579762
8,10000,10000,10000,3.826395,522.685162
8,10000,10000,10000,3.814790,524.275228
8,10000,10000,10000,3.825453,522.813841
10,10000,10000,10000,3.057568,654.114729
10,10000,10000,10000,3.047661,656.240911
10,10000,10000,10000,3.050107,655.714788
10,10000,10000,10000,3.054730,654.722299
10,10000,10000,10000,3.052474,655.206255
10,10000,10000,10000,3.045122,656.788177
10,10000,10000,10000,3.050409,655.649786
10,10000,10000,10000,3.048899,655.974414
10,10000,10000,10000,3.048789,655.998273
10,10000,10000,10000,3.054864,654.693618
12,10000,10000,10000,2.566182,779.367900
12,10000,10000,10000,2.563036,780.324573
12,10000,10000,10000,2.563863,780.072858
12,10000,10000,10000,2.566658,779.223428
12,10000,10000,10000,2.561458,780.805434
12,10000,10000,10000,2.567527,778.959795
12,10000,10000,10000,2.565451,779.589921
12,10000,10000,10000,2.560440,781.115662
12,10000,10000,10000,2.564417,779.904215
12,10000,10000,10000,2.566644,779.227594
14,10000,10000,10000,2.214397,903.180438
14,10000,10000,10000,2.215354,902.790115
14,10000,10000,10000,2.210222,904.886416
14,10000,10000,10000,2.209201,905.304540
14,10000,10000,10000,2.210681,904.698465
14,10000,10000,10000,2.212796,903.833993
14,10000,10000,10000,2.211725,904.271726
14,10000,10000,10000,2.209644,905.123373
14,10000,10000,10000,2.209784,905.065816
14,10000,10000,10000,2.215307,902.809233
16,10000,10000,10000,1.953449,1023.830201
16,10000,10000,10000,1.946359,1027.559592
16,10000,10000,10000,1.946552,1027.457968
16,10000,10000,10000,1.953461,1023.823814
16,10000,10000,10000,1.949012,1026.160984
16,10000,10000,10000,1.951603,1024.798689
16,10000,10000,10000,1.946934,1027.256175
16,10000,10000,10000,1.953077,1024.025356
16,10000,10000,10000,1.948937,1026.200252
16,10000,10000,10000,1.947662,1026.872344
18,10000,10000,10000,1.730487,1155.744102
18,10000,10000,10000,1.729451,1156.436550
18,10000,10000,10000,1.729103,1156.668836
18,10000,10000,10000,1.729002,1156.736565
18,10000,10000,10000,1.728988,1156.745818
18,10000,10000,10000,1.726971,1158.097204
18,10000,10000,10000,1.725801,1158.882323
18,10000,10000,10000,1.726642,1158.317671
18,10000,10000,10000,1.729156,1156.633335
18,10000,10000,10000,1.727515,1157.732350
20,10000,10000,10000,1.566094,1277.062748
20,10000,10000,10000,1.565232,1277.765590
20,10000,10000,10000,1.565587,1277.476000
20,10000,10000,10000,1.564883,1278.051154
20,10000,10000,10000,1.563991,1278.779584
20,10000,10000,10000,1.565290,1277.718629
20,10000,10000,10000,1.563159,1279.460025
20,10000,10000,10000,1.564437,1278.415032
20,10000,10000,10000,1.563968,1278.798721
20,10000,10000,10000,1.564877,1278.055544
22,10000,10000,10000,1.434508,1394.206371
22,10000,10000,10000,1.435359,1393.379953
22,10000,10000,10000,1.433626,1395.063546
22,10000,10000,10000,1.435191,1393.542279
22,10000,10000,10000,1.434169,1394.535577
22,10000,10000,10000,1.435484,1393.258606
22,10000,10000,10000,1.434127,1394.577087
22,10000,10000,10000,1.435886,1392.867930
22,10000,10000,10000,1.435437,1393.304293
22,10000,10000,10000,1.428769,1399.806129
24,10000,10000,10000,1.326012,1508.281970
24,10000,10000,10000,1.325769,1508.558923
24,10000,10000,10000,1.325823,1508.496711
24,10000,10000,10000,1.325277,1509.118415
24,10000,10000,10000,1.326314,1507.938154
24,10000,10000,10000,1.324474,1510.033639
24,10000,10000,10000,1.323251,1511.428841
24,10000,10000,10000,1.325139,1509.275201
24,10000,10000,10000,1.324667,1509.813177
24,10000,10000,10000,1.323804,1510.797224
