cores,size,size,size,time,gflops
1,10000,10000,10000,29.100228,68.727985
1,10000,10000,10000,29.130005,68.657730
1,10000,10000,10000,29.062486,68.817237
1,10000,10000,10000,29.130326,68.656973
1,10000,10000,10000,29.144276,68.624111
1,10000,10000,10000,29.393881,68.041373
1,10000,10000,10000,29.038744,68.873503
1,10000,10000,10000,29.071861,68.795046
1,10000,10000,10000,29.054311,68.836599
1,10000,10000,10000,29.584674,67.602569
2,10000,10000,10000,16.938182,118.076429
2,10000,10000,10000,16.831678,118.823564
2,10000,10000,10000,16.741352,119.464667
2,10000,10000,10000,16.758861,119.339856
2,10000,10000,10000,16.668069,119.989906
2,10000,10000,10000,17.078911,117.103485
2,10000,10000,10000,16.662950,120.026765
2,10000,10000,10000,16.791186,119.110108
2,10000,10000,10000,16.877492,118.501019
2,10000,10000,10000,16.824045,118.877473
4,10000,10000,10000,8.509999,235.017668
4,10000,10000,10000,8.345374,239.653740
4,10000,10000,10000,8.277355,241.623089
4,10000,10000,10000,8.369191,238.971714
4,10000,10000,10000,8.306839,240.765465
4,10000,10000,10000,8.229234,243.035997
4,10000,10000,10000,8.347802,239.584028
4,10000,10000,10000,8.324464,240.255715
4,10000,10000,10000,8.330230,240.089423
4,10000,10000,10000,8.301313,240.925738
6,10000,10000,10000,5.505170,363.294879
6,10000,10000,10000,5.489587,364.326104
6,10000,10000,10000,5.501252,363.553605
6,10000,10000,10000,5.255437,380.558281
6,10000,10000,10000,5.459964,366.302810
6,10000,10000,10000,5.456907,366.507983
6,10000,10000,10000,5.480929,364.901671
6,10000,10000,10000,5.433162,368.109755
6,10000,10000,10000,5.489259,364.347877
6,10000,10000,10000,5.451531,366.869431
8,10000,10000,10000,3.887418,514.480342
8,10000,10000,10000,3.881160,515.309867
8,10000,10000,10000,3.886680,514.578044
8,10000,10000,10000,3.877434,515.805072
8,10000,10000,10000,3.899726,512.856569
8,10000,10000,10000,3.901104,512.675362
8,10000,10000,10000,3.862675,517.775954
8,10000,10000,10000,3.885610,514.719684
8,10000,10000,10000,3.907446,511.843254
8,10000,10000,10000,3.884835,514.822332
10,10000,10000,10000,3.179515,629.026765
10,10000,10000,10000,3.152513,634.414568
10,10000,10000,10000,3.187943,627.363740
10,10000,10000,10000,3.289547,607.986359
10,10000,10000,10000,3.165067,631.898199
10,10000,10000,10000,3.143825,636.167763
10,10000,10000,10000,3.146144,635.698724
10,10000,10000,10000,3.138154,637.317360
10,10000,10000,10000,3.142323,636.471856
10,10000,10000,10000,3.161495,632.612094
12,10000,10000,10000,2.725072,733.925681
12,10000,10000,10000,2.680357,746.169138
12,10000,10000,10000,2.653597,753.693878
12,10000,10000,10000,2.669772,749.127565
12,10000,10000,10000,2.641344,757.190249
12,10000,10000,10000,2.645748,755.929872
12,10000,10000,10000,2.668127,749.589577
12,10000,10000,10000,2.638617,757.972804
12,10000,10000,10000,2.658727,752.239684
12,10000,10000,10000,2.656160,752.966679
14,10000,10000,10000,2.272008,880.278694
14,10000,10000,10000,2.275490,878.931671
14,10000,10000,10000,2.266911,882.257963
14,10000,10000,10000,2.276661,878.479550
14,10000,10000,10000,2.305326,867.556390
14,10000,10000,10000,2.282833,876.104328
14,10000,10000,10000,2.289706,873.474745
14,10000,10000,10000,2.294267,871.737998
14,10000,10000,10000,2.306737,867.025433
14,10000,10000,10000,2.274526,879.304239
16,10000,10000,10000,2.086580,958.506181
16,10000,10000,10000,2.031435,984.525676
16,10000,10000,10000,2.013837,993.128840
16,10000,10000,10000,2.032378,984.068913
16,10000,10000,10000,2.024360,987.966588
16,10000,10000,10000,2.016672,991.733135
16,10000,10000,10000,2.023030,988.616122
16,10000,10000,10000,2.018170,990.996577
16,10000,10000,10000,2.029359,985.532846
16,10000,10000,10000,2.032231,984.140003
18,10000,10000,10000,1.801382,1110.258771
18,10000,10000,10000,1.803969,1108.666682
18,10000,10000,10000,1.802882,1109.335089
18,10000,10000,10000,1.808920,1105.632167
18,10000,10000,10000,1.807240,1106.660015
18,10000,10000,10000,1.816979,1100.728050
18,10000,10000,10000,1.803047,1109.233200
18,10000,10000,10000,1.810859,1104.447936
18,10000,10000,10000,1.818117,1100.038993
18,10000,10000,10000,1.811037,1104.339859
20,10000,10000,10000,1.641395,1218.475702
20,10000,10000,10000,1.637835,1221.124555
20,10000,10000,10000,1.644746,1215.993526
20,10000,10000,10000,1.633390,1224.447654
20,10000,10000,10000,1.634814,1223.380573
20,10000,10000,10000,1.638961,1220.285014
20,10000,10000,10000,1.642445,1217.696718
20,10000,10000,10000,1.641051,1218.731534
20,10000,10000,10000,1.650108,1212.041772
20,10000,10000,10000,1.645280,1215.598491
22,10000,10000,10000,1.503652,1330.095420
22,10000,10000,10000,1.522236,1313.856956
22,10000,10000,10000,1.529571,1307.555961
22,10000,10000,10000,1.502717,1330.922423
22,10000,10000,10000,1.507316,1326.861996
22,10000,10000,10000,1.507026,1327.116869
22,10000,10000,10000,1.502839,1330.814742
22,10000,10000,10000,1.504673,1329.192403
22,10000,10000,10000,1.519293,1316.401610
22,10000,10000,10000,1.509162,1325.239050
24,10000,10000,10000,1.474325,1356.552724
24,10000,10000,10000,1.452434,1376.998572
24,10000,10000,10000,1.460954,1368.968528
24,10000,10000,10000,1.480862,1350.565156
24,10000,10000,10000,1.461214,1368.724879
24,10000,10000,10000,1.458775,1371.013440
24,10000,10000,10000,1.456948,1372.732315
24,10000,10000,10000,1.469209,1361.276520
24,10000,10000,10000,1.474524,1356.369674
24,10000,10000,10000,1.457608,1372.110621
