cores,size,size,size,time,gflops
1,10000,10000,10000,15.949833,125.393162
1,10000,10000,10000,16.274035,122.895149
1,10000,10000,10000,15.920242,125.626234
1,10000,10000,10000,15.813248,126.476234
1,10000,10000,10000,15.928876,125.558138
1,10000,10000,10000,16.089691,124.303196
1,10000,10000,10000,15.897778,125.803746
1,10000,10000,10000,16.029747,124.768034
1,10000,10000,10000,16.024704,124.807295
1,10000,10000,10000,15.902244,125.768415
2,10000,10000,10000,9.838120,203.290879
2,10000,10000,10000,9.873202,202.568523
2,10000,10000,10000,9.780254,204.493677
2,10000,10000,10000,9.730662,205.535869
2,10000,10000,10000,9.693001,206.334452
2,10000,10000,10000,9.859833,202.843186
2,10000,10000,10000,9.898447,202.051892
2,10000,10000,10000,9.822814,203.607647
2,10000,10000,10000,9.859351,202.853115
2,10000,10000,10000,9.764689,204.819631
4,10000,10000,10000,5.053693,395.750207
4,10000,10000,10000,4.947886,404.213036
4,10000,10000,10000,5.041810,396.682926
4,10000,10000,10000,5.046633,396.303800
4,10000,10000,10000,5.030722,397.557283
4,10000,10000,10000,5.051220,395.943988
4,10000,10000,10000,5.008363,399.332110
4,10000,10000,10000,4.925643,406.038384
4,10000,10000,10000,5.045017,396.430736
4,10000,10000,10000,4.929967,405.682245
6,10000,10000,10000,3.260992,613.310279
6,10000,10000,10000,3.285758,608.687530
6,10000,10000,10000,3.267554,612.078698
6,10000,10000,10000,3.247069,615.940075
6,10000,10000,10000,3.266161,612.339633
6,10000,10000,10000,3.274403,610.798403
6,10000,10000,10000,3.286942,608.468312
6,10000,10000,10000,3.292692,607.405707
6,10000,10000,10000,3.279007,609.940814
6,10000,10000,10000,3.323872,601.707960
8,10000,10000,10000,2.376003,841.749611
8,10000,10000,10000,2.373153,842.760542
8,10000,10000,10000,2.372444,843.012663
8,10000,10000,10000,2.382999,839.278676
8,10000,10000,10000,2.372602,842.956440
8,10000,10000,10000,2.378388,840.905700
8,10000,10000,10000,2.358770,847.899367
8,10000,10000,10000,2.373908,842.492547
8,10000,10000,10000,2.376532,841.562357
8,10000,10000,10000,2.374681,842.218323
10,10000,10000,10000,1.925679,1038.594433
10,10000,10000,10000,1.931790,1035.309465
10,10000,10000,10000,1.931701,1035.357156
10,10000,10000,10000,1.930894,1035.789457
10,10000,10000,10000,1.932604,1034.873097
10,10000,10000,10000,1.931380,1035.529113
10,10000,10000,10000,1.929705,1036.427783
10,10000,10000,10000,1.932131,1035.126438
10,10000,10000,10000,1.938801,1031.565229
10,10000,10000,10000,1.930217,1036.152668
12,10000,10000,10000,1.570306,1273.637174
12,10000,10000,10000,1.577624,1267.728801
12,10000,10000,10000,1.565991,1277.146580
12,10000,10000,10000,1.568507,1275.098311
12,10000,10000,10000,1.576896,1268.314378
12,10000,10000,10000,1.569651,1274.168643
12,10000,10000,10000,1.570636,1273.369906
12,10000,10000,10000,1.571838,1272.396117
12,10000,10000,10000,1.576929,1268.288086
12,10000,10000,10000,1.573201,1271.293079
14,10000,10000,10000,1.385566,1443.453417
14,10000,10000,10000,1.387166,1441.788249
14,10000,10000,10000,1.384434,1444.633703
14,10000,10000,10000,1.387473,1441.469478
14,10000,10000,10000,1.382909,1446.227208
14,10000,10000,10000,1.381425,1447.780073
14,10000,10000,10000,1.382405,1446.753791
14,10000,10000,10000,1.389707,1439.152058
14,10000,10000,10000,1.383583,1445.522019
14,10000,10000,10000,1.385087,1443.952123
16,10000,10000,10000,1.222453,1636.054828
16,10000,10000,10000,1.222829,1635.551538
16,10000,10000,10000,1.221248,1637.668361
16,10000,10000,10000,1.221646,1637.135793
16,10000,10000,10000,1.219613,1639.864321
16,10000,10000,10000,1.228121,1628.504349
16,10000,10000,10000,1.222288,1636.275827
16,10000,10000,10000,1.218934,1640.778254
16,10000,10000,10000,1.220694,1638.411908
16,10000,10000,10000,1.222757,1635.647688
18,10000,10000,10000,1.160238,1723.783894
18,10000,10000,10000,1.151907,1736.250739
18,10000,10000,10000,1.158348,1726.596873
18,10000,10000,10000,1.154558,1732.264795
18,10000,10000,10000,1.153183,1734.330547
18,10000,10000,10000,1.162766,1720.036291
18,10000,10000,10000,1.153674,1733.591697
18,10000,10000,10000,1.157492,1727.873812
18,10000,10000,10000,1.154332,1732.604111
18,10000,10000,10000,1.154934,1731.700828
20,10000,10000,10000,1.002213,1995.583922
20,10000,10000,10000,0.998953,2002.096760
20,10000,10000,10000,1.001507,1996.990565
20,10000,10000,10000,1.001996,1996.015317
20,10000,10000,10000,0.999128,2001.745744
20,10000,10000,10000,0.999104,2001.794048
20,10000,10000,10000,1.001200,1997.603272
20,10000,10000,10000,1.002108,1995.793243
20,10000,10000,10000,0.997559,2004.893444
20,10000,10000,10000,0.998652,2002.699461
22,10000,10000,10000,0.931605,2146.833645
22,10000,10000,10000,0.932237,2145.376435
22,10000,10000,10000,0.930031,2150.466264
22,10000,10000,10000,0.931329,2147.467884
22,10000,10000,10000,0.929834,2150.921796
22,10000,10000,10000,0.927196,2157.040325
22,10000,10000,10000,0.925458,2161.091567
22,10000,10000,10000,0.929195,2152.401065
