cores,size,size,size,time,gflops
1,10000,10000,10000,15.134059,132.152252
1,10000,10000,10000,15.212629,131.469716
1,10000,10000,10000,15.146203,132.046293
1,10000,10000,10000,15.129838,132.189124
1,10000,10000,10000,15.127044,132.213534
1,10000,10000,10000,15.161891,131.909666
1,10000,10000,10000,15.176120,131.785989
1,10000,10000,10000,15.138716,132.111604
1,10000,10000,10000,15.181332,131.740747
1,10000,10000,10000,15.136749,132.128769
2,10000,10000,10000,8.668577,230.718375
2,10000,10000,10000,9.064792,220.633849
2,10000,10000,10000,9.060365,220.741662
2,10000,10000,10000,8.772616,227.982168
2,10000,10000,10000,8.998108,222.268949
2,10000,10000,10000,9.051490,220.958101
2,10000,10000,10000,9.088267,220.063958
2,10000,10000,10000,8.716861,229.440380
2,10000,10000,10000,9.031443,221.448545
2,10000,10000,10000,8.911076,224.439776
4,10000,10000,10000,4.165307,480.156676
4,10000,10000,10000,4.179424,478.534842
4,10000,10000,10000,4.173626,479.199657
4,10000,10000,10000,4.168224,479.820667
4,10000,10000,10000,4.178592,478.630166
4,10000,10000,10000,4.175282,479.009553
4,10000,10000,10000,4.179130,478.568473
4,10000,10000,10000,4.151638,481.737573
4,10000,10000,10000,4.141968,482.862238
4,10000,10000,10000,4.172262,479.356290
6,10000,10000,10000,2.688155,744.004786
6,10000,10000,10000,2.708416,738.438916
6,10000,10000,10000,2.704501,739.507995
6,10000,10000,10000,2.688189,743.995298
6,10000,10000,10000,2.690960,743.229198
6,10000,10000,10000,2.709612,738.113133
6,10000,10000,10000,2.700840,740.510445
6,10000,10000,10000,2.701239,740.401034
6,10000,10000,10000,2.698592,741.127304
6,10000,10000,10000,2.699310,740.930006
8,10000,10000,10000,1.991296,1004.370969
8,10000,10000,10000,2.003469,998.268452
8,10000,10000,10000,1.990598,1004.723298
8,10000,10000,10000,2.004070,997.969126
8,10000,10000,10000,1.998706,1000.647603
8,10000,10000,10000,1.999125,1000.437566
8,10000,10000,10000,2.010771,994.643137
8,10000,10000,10000,1.998493,1000.753840
8,10000,10000,10000,1.992265,1003.882686
8,10000,10000,10000,1.999481,1000.259752
10,10000,10000,10000,1.576346,1268.756670
10,10000,10000,10000,1.586527,1260.614999
10,10000,10000,10000,1.587118,1260.146004
