cores,size,size,size,time,gflops
1,10000,10000,10000,14.653785,136.483511
1,10000,10000,10000,14.611606,136.877491
1,10000,10000,10000,14.581322,137.161775
1,10000,10000,10000,14.569870,137.269583
1,10000,10000,10000,14.661630,136.410481
1,10000,10000,10000,14.586287,137.115088
1,10000,10000,10000,14.632908,136.678230
1,10000,10000,10000,14.584020,137.136399
1,10000,10000,10000,14.623299,136.768046
1,10000,10000,10000,14.595525,137.028305
2,10000,10000,10000,8.730010,229.094804
2,10000,10000,10000,8.643238,231.394767
2,10000,10000,10000,8.679004,230.441190
2,10000,10000,10000,8.679519,230.427526
2,10000,10000,10000,8.726758,229.180196
2,10000,10000,10000,8.664390,230.829866
2,10000,10000,10000,8.534805,234.334592
2,10000,10000,10000,8.738476,228.872868
2,10000,10000,10000,8.637132,231.558335
2,10000,10000,10000,8.645149,231.343622
4,10000,10000,10000,4.145129,482.494059
4,10000,10000,10000,4.156426,481.182625
4,10000,10000,10000,4.154918,481.357249
4,10000,10000,10000,4.142399,482.812046
4,10000,10000,10000,4.136493,483.501325
4,10000,10000,10000,4.146112,482.379591
4,10000,10000,10000,4.141074,482.966499
4,10000,10000,10000,4.154557,481.399082
4,10000,10000,10000,4.133283,483.876875
4,10000,10000,10000,4.157544,481.053194
6,10000,10000,10000,2.783631,718.485950
6,10000,10000,10000,2.781924,718.926791
6,10000,10000,10000,2.769443,722.166804
6,10000,10000,10000,2.788935,717.119496
6,10000,10000,10000,2.776500,720.331387
6,10000,10000,10000,2.787952,717.372481
6,10000,10000,10000,2.770354,721.929302
6,10000,10000,10000,2.767998,722.543748
6,10000,10000,10000,2.766444,722.949881
6,10000,10000,10000,2.765930,723.084221
8,10000,10000,10000,1.973289,1013.536499
8,10000,10000,10000,1.981664,1009.253069
8,10000,10000,10000,1.983698,1008.217972
8,10000,10000,10000,1.982240,1008.959469
8,10000,10000,10000,1.976701,1011.787023
8,10000,10000,10000,1.980774,1009.706373
8,10000,10000,10000,1.984159,1007.983546
8,10000,10000,10000,1.984219,1007.953184
8,10000,10000,10000,1.983037,1008.553803
8,10000,10000,10000,1.989985,1005.032555
10,10000,10000,10000,1.594693,1254.160115
10,10000,10000,10000,1.592052,1256.240342
10,10000,10000,10000,1.596379,1252.835669
10,10000,10000,10000,1.600153,1249.880315
10,10000,10000,10000,1.598089,1251.494570
10,10000,10000,10000,1.597882,1251.656905
10,10000,10000,10000,1.595516,1253.512991
10,10000,10000,10000,1.592452,1255.924951
10,10000,10000,10000,1.589604,1258.174982
10,10000,10000,10000,1.591555,1256.632317
12,10000,10000,10000,1.329433,1504.400216
12,10000,10000,10000,1.346019,1485.863450
12,10000,10000,10000,1.323739,1510.872391
12,10000,10000,10000,1.323509,1511.134896
12,10000,10000,10000,1.341241,1491.156173
12,10000,10000,10000,1.322546,1512.234528
12,10000,10000,10000,1.326456,1507.776718
12,10000,10000,10000,1.336170,1496.815352
12,10000,10000,10000,1.339484,1493.111775
12,10000,10000,10000,1.325595,1508.756059
14,10000,10000,10000,1.144782,1747.057317
14,10000,10000,10000,1.143012,1749.763601
14,10000,10000,10000,1.147092,1743.539748
14,10000,10000,10000,1.146489,1744.456179
14,10000,10000,10000,1.147009,1743.666022
14,10000,10000,10000,1.144577,1747.370684
14,10000,10000,10000,1.142675,1750.278940
14,10000,10000,10000,1.145834,1745.453420
14,10000,10000,10000,1.141661,1751.832753
14,10000,10000,10000,1.143153,1749.546417
16,10000,10000,10000,0.982159,2036.329140
16,10000,10000,10000,0.979890,2041.046286
16,10000,10000,10000,0.974211,2052.943042
16,10000,10000,10000,0.975479,2050.274137
16,10000,10000,10000,0.979170,2042.545541
16,10000,10000,10000,0.973000,2055.498917
16,10000,10000,10000,0.975200,2050.861690
16,10000,10000,10000,0.992592,2014.926769
16,10000,10000,10000,0.973711,2053.997754
16,10000,10000,10000,0.975728,2049.752184
18,10000,10000,10000,0.879198,2274.799566
18,10000,10000,10000,0.880861,2270.504524
18,10000,10000,10000,0.881368,2269.200221
18,10000,10000,10000,0.884413,2261.386696
18,10000,10000,10000,0.880783,2270.707767
18,10000,10000,10000,0.879094,2275.070831
