cores,size,size,size,time,gflops
1,10000,10000,10000,30.642989,65.267783
1,10000,10000,10000,30.865366,64.797548
1,10000,10000,10000,30.580419,65.401328
1,10000,10000,10000,30.801496,64.931911
1,10000,10000,10000,30.540701,65.486382
1,10000,10000,10000,30.667146,65.216373
1,10000,10000,10000,30.878859,64.769232
1,10000,10000,10000,30.579620,65.403035
1,10000,10000,10000,30.597031,65.365819
1,10000,10000,10000,30.682378,65.183997
2,10000,10000,10000,15.820793,126.415916
2,10000,10000,10000,15.826490,126.370405
2,10000,10000,10000,15.833914,126.311153
2,10000,10000,10000,15.829032,126.350114
2,10000,10000,10000,15.817051,126.445818
2,10000,10000,10000,15.815695,126.456662
2,10000,10000,10000,15.815209,126.460546
2,10000,10000,10000,15.838993,126.270658
2,10000,10000,10000,15.820365,126.419334
2,10000,10000,10000,15.830889,126.335292
4,10000,10000,10000,7.915801,252.659197
4,10000,10000,10000,7.934426,252.066124
4,10000,10000,10000,7.917995,252.589196
4,10000,10000,10000,7.995982,250.125632
4,10000,10000,10000,7.997654,250.073346
4,10000,10000,10000,7.924062,252.395813
4,10000,10000,10000,7.930823,252.180648
4,10000,10000,10000,7.914659,252.695656
4,10000,10000,10000,7.949027,251.603136
4,10000,10000,10000,7.936391,252.003725
6,10000,10000,10000,5.287745,378.233083
6,10000,10000,10000,5.279690,378.810134
6,10000,10000,10000,5.315781,376.238213
6,10000,10000,10000,5.333312,375.001469
6,10000,10000,10000,5.289892,378.079544
6,10000,10000,10000,5.349784,373.846859
6,10000,10000,10000,5.290912,378.006687
6,10000,10000,10000,5.317811,376.094607
6,10000,10000,10000,5.333412,374.994443
6,10000,10000,10000,5.333013,375.022505
8,10000,10000,10000,4.264131,469.028701
8,10000,10000,10000,4.266795,468.735932
8,10000,10000,10000,4.265772,468.848352
8,10000,10000,10000,4.271300,468.241472
8,10000,10000,10000,4.261092,469.363231
8,10000,10000,10000,4.263597,469.087440
8,10000,10000,10000,4.268557,468.542434
8,10000,10000,10000,4.269805,468.405418
8,10000,10000,10000,4.266745,468.741443
8,10000,10000,10000,4.262831,469.171739
10,10000,10000,10000,3.317577,602.849547
10,10000,10000,10000,3.309280,604.361097
10,10000,10000,10000,3.308772,604.453777
10,10000,10000,10000,3.311317,603.989375
10,10000,10000,10000,3.301563,605.773643
10,10000,10000,10000,3.330623,600.488261
10,10000,10000,10000,3.316810,602.989073
10,10000,10000,10000,3.312243,603.820413
10,10000,10000,10000,3.314057,603.489940
10,10000,10000,10000,3.327721,601.011891
12,10000,10000,10000,2.730868,732.367984
12,10000,10000,10000,2.745866,728.367595
12,10000,10000,10000,2.739076,730.173290
12,10000,10000,10000,2.719929,735.313439
12,10000,10000,10000,2.730926,732.352397
12,10000,10000,10000,2.733967,731.537698
12,10000,10000,10000,2.750353,727.179379
12,10000,10000,10000,2.737067,730.709139
12,10000,10000,10000,2.736143,730.956057
12,10000,10000,10000,2.724558,734.063948
14,10000,10000,10000,2.528360,791.026567
14,10000,10000,10000,2.523335,792.601811
14,10000,10000,10000,2.500651,799.791662
14,10000,10000,10000,2.498571,800.457494
14,10000,10000,10000,2.511183,796.437264
14,10000,10000,10000,2.521528,793.169897
14,10000,10000,10000,2.520504,793.492061
14,10000,10000,10000,2.529408,790.698781
14,10000,10000,10000,2.508739,797.213111
14,10000,10000,10000,2.538200,787.960018
16,10000,10000,10000,2.246032,890.459189
16,10000,10000,10000,2.252819,887.776547
16,10000,10000,10000,2.245719,890.583253
16,10000,10000,10000,2.251595,888.259111
16,10000,10000,10000,2.244891,890.911858
16,10000,10000,10000,2.240316,892.731333
16,10000,10000,10000,2.243432,891.491221
16,10000,10000,10000,2.253225,887.616768
16,10000,10000,10000,2.245290,890.753348
16,10000,10000,10000,2.247588,889.842953
18,10000,10000,10000,2.047815,976.650700
18,10000,10000,10000,2.066939,967.614310
18,10000,10000,10000,2.057827,971.899167
18,10000,10000,10000,2.055824,972.845693
18,10000,10000,10000,2.049530,975.833300
18,10000,10000,10000,2.067877,967.175482
18,10000,10000,10000,2.062426,969.731705
18,10000,10000,10000,2.063052,969.437652
18,10000,10000,10000,2.054636,973.408479
18,10000,10000,10000,2.065811,968.142653
20,10000,10000,10000,1.905774,1049.442574
20,10000,10000,10000,1.891965,1057.102215
20,10000,10000,10000,1.905159,1049.781185
20,10000,10000,10000,1.902685,1051.145909
20,10000,10000,10000,1.902550,1051.220727
20,10000,10000,10000,1.907761,1048.349272
20,10000,10000,10000,1.912813,1045.580619
20,10000,10000,10000,1.902528,1051.232642
20,10000,10000,10000,1.899024,1053.172801
20,10000,10000,10000,1.899203,1053.073195
22,10000,10000,10000,1.720363,1162.545009
22,10000,10000,10000,1.723438,1160.471174
22,10000,10000,10000,1.716300,1165.297139
22,10000,10000,10000,1.714516,1166.509818
22,10000,10000,10000,1.717370,1164.571660
22,10000,10000,10000,1.720584,1162.396101
22,10000,10000,10000,1.719626,1163.043356
22,10000,10000,10000,1.731979,1154.748193
22,10000,10000,10000,1.761665,1135.289619
22,10000,10000,10000,1.718980,1163.480751
24,10000,10000,10000,1.714333,1166.634595
24,10000,10000,10000,1.712101,1168.155541
24,10000,10000,10000,1.708277,1170.770296
24,10000,10000,10000,1.709730,1169.775005
24,10000,10000,10000,1.708507,1170.612621
24,10000,10000,10000,1.712606,1167.811041
24,10000,10000,10000,1.706809,1171.777217
24,10000,10000,10000,1.741622,1148.355023
24,10000,10000,10000,1.704971,1173.040327
24,10000,10000,10000,1.720418,1162.508268
