cores,size,size,size,time,gflops
1,10000,10000,10000,30.085747,66.476662
1,10000,10000,10000,30.333093,65.934588
1,10000,10000,10000,30.047675,66.560891
1,10000,10000,10000,30.621649,65.313270
1,10000,10000,10000,30.082163,66.484581
1,10000,10000,10000,30.157082,66.319415
1,10000,10000,10000,30.690885,65.165929
1,10000,10000,10000,30.536092,65.496266
1,10000,10000,10000,30.067301,66.517443
1,10000,10000,10000,30.282064,66.045695
2,10000,10000,10000,15.410839,129.778787
2,10000,10000,10000,15.459777,129.367974
2,10000,10000,10000,15.345445,130.331834
2,10000,10000,10000,15.341795,130.362842
2,10000,10000,10000,15.349754,130.295244
2,10000,10000,10000,15.356893,130.234679
2,10000,10000,10000,15.359662,130.211200
2,10000,10000,10000,15.359076,130.216164
2,10000,10000,10000,15.357045,130.233390
2,10000,10000,10000,15.451481,129.437427
4,10000,10000,10000,7.430092,269.175677
4,10000,10000,10000,7.413773,269.768169
4,10000,10000,10000,7.394041,270.488098
4,10000,10000,10000,7.415766,269.695689
4,10000,10000,10000,7.399201,270.299445
4,10000,10000,10000,7.392760,270.534938
4,10000,10000,10000,7.413138,269.791278
4,10000,10000,10000,7.395040,270.451559
4,10000,10000,10000,7.476423,267.507615
4,10000,10000,10000,7.411415,269.854016
6,10000,10000,10000,4.899684,408.189602
6,10000,10000,10000,4.899948,408.167610
6,10000,10000,10000,4.901061,408.074902
6,10000,10000,10000,4.902221,407.978345
6,10000,10000,10000,5.003470,399.722599
6,10000,10000,10000,4.899860,408.174889
6,10000,10000,10000,4.899891,408.172376
6,10000,10000,10000,4.899857,408.175195
6,10000,10000,10000,4.899431,408.210646
6,10000,10000,10000,4.900591,408.114063
8,10000,10000,10000,3.813097,524.508013
8,10000,10000,10000,3.821596,523.341591
8,10000,10000,10000,3.818849,523.718040
8,10000,10000,10000,3.820891,523.438094
8,10000,10000,10000,3.821173,523.399539
8,10000,10000,10000,3.819871,523.577933
8,10000,10000,10000,3.824123,522.995784
8,10000,10000,10000,3.822299,523.245264
8,10000,10000,10000,3.826018,522.736713
8,10000,10000,10000,3.821553,523.347406
10,10000,10000,10000,2.995832,667.594286
10,10000,10000,10000,2.996953,667.344488
10,10000,10000,10000,2.992183,668.408271
10,10000,10000,10000,2.996426,667.461873
10,10000,10000,10000,2.993525,668.108729
10,10000,10000,10000,2.997133,667.304491
10,10000,10000,10000,2.993882,668.029092
10,10000,10000,10000,2.996596,667.423971
10,10000,10000,10000,2.997154,667.299731
10,10000,10000,10000,2.995572,667.652040
12,10000,10000,10000,2.477190,807.366312
12,10000,10000,10000,2.477290,807.333731
12,10000,10000,10000,2.477598,807.233464
12,10000,10000,10000,2.476767,807.504448
12,10000,10000,10000,2.478737,806.862581
12,10000,10000,10000,2.479975,806.459790
12,10000,10000,10000,2.478764,806.853642
12,10000,10000,10000,2.476800,807.493388
12,10000,10000,10000,2.475285,807.987836
12,10000,10000,10000,2.475305,807.981359
14,10000,10000,10000,2.158414,926.606287
14,10000,10000,10000,2.160178,925.849487
14,10000,10000,10000,2.157018,927.205949
14,10000,10000,10000,2.156156,927.576685
14,10000,10000,10000,2.157891,926.831061
14,10000,10000,10000,2.156589,927.390564
14,10000,10000,10000,2.158048,926.763279
14,10000,10000,10000,2.161312,925.363964
14,10000,10000,10000,2.161024,925.487231
14,10000,10000,10000,2.158702,926.482834
16,10000,10000,10000,1.912374,1045.820389
16,10000,10000,10000,1.915780,1043.961363
16,10000,10000,10000,1.911757,1046.158113
16,10000,10000,10000,1.912234,1045.896877
16,10000,10000,10000,1.913632,1045.132934
16,10000,10000,10000,1.911448,1046.326959
16,10000,10000,10000,1.914869,1044.457886
16,10000,10000,10000,1.909976,1047.133578
16,10000,10000,10000,1.912474,1045.765983
16,10000,10000,10000,1.910623,1046.778858
18,10000,10000,10000,1.712502,1167.882011
18,10000,10000,10000,1.707236,1171.484282
18,10000,10000,10000,1.709635,1169.840095
18,10000,10000,10000,1.711601,1168.496351
18,10000,10000,10000,1.707289,1171.447726
18,10000,10000,10000,1.709413,1169.992278
18,10000,10000,10000,1.709482,1169.944786
18,10000,10000,10000,1.710763,1169.068797
18,10000,10000,10000,1.708184,1170.834326
18,10000,10000,10000,1.713502,1167.200171
20,10000,10000,10000,1.558526,1283.263416
20,10000,10000,10000,1.557161,1284.388472
20,10000,10000,10000,1.555083,1286.105213
20,10000,10000,10000,1.556804,1284.683557
20,10000,10000,10000,1.554588,1286.514709
20,10000,10000,10000,1.557111,1284.429811
20,10000,10000,10000,1.555061,1286.123527
20,10000,10000,10000,1.553994,1287.006638
20,10000,10000,10000,1.556188,1285.191837
20,10000,10000,10000,1.554643,1286.469057
22,10000,10000,10000,1.427257,1401.288859
22,10000,10000,10000,1.424572,1403.930886
22,10000,10000,10000,1.426748,1401.788781
22,10000,10000,10000,1.428809,1399.766793
22,10000,10000,10000,1.428879,1399.698320
22,10000,10000,10000,1.424398,1404.102020
22,10000,10000,10000,1.425585,1402.932601
22,10000,10000,10000,1.428379,1400.188251
22,10000,10000,10000,1.429049,1399.532436
22,10000,10000,10000,1.427356,1401.192385
24,10000,10000,10000,1.321537,1513.388964
24,10000,10000,10000,1.324482,1510.024183
24,10000,10000,10000,1.321295,1513.666515
24,10000,10000,10000,1.322784,1511.963148
24,10000,10000,10000,1.321901,1512.972049
24,10000,10000,10000,1.323556,1511.080455
24,10000,10000,10000,1.322261,1512.560189
24,10000,10000,10000,1.324094,1510.466490
24,10000,10000,10000,1.322533,1512.250047
24,10000,10000,10000,1.323265,1511.412909
