cores,size,size,size,time,gflops
1,10000,10000,10000,29.026241,68.903170
1,10000,10000,10000,29.292227,68.277498
1,10000,10000,10000,29.262093,68.347810
1,10000,10000,10000,29.086993,68.759255
1,10000,10000,10000,29.098208,68.732755
1,10000,10000,10000,29.071494,68.795914
1,10000,10000,10000,29.082367,68.770193
1,10000,10000,10000,29.030788,68.892376
1,10000,10000,10000,29.064166,68.813260
1,10000,10000,10000,29.061066,68.820599
2,10000,10000,10000,15.112224,132.343197
2,10000,10000,10000,15.047562,132.911898
2,10000,10000,10000,15.096093,132.484613
2,10000,10000,10000,15.050189,132.888696
2,10000,10000,10000,15.094244,132.500843
2,10000,10000,10000,15.194234,131.628880
2,10000,10000,10000,15.062998,132.775693
2,10000,10000,10000,15.046395,132.922206
2,10000,10000,10000,15.332211,130.444328
2,10000,10000,10000,15.191348,131.653890
4,10000,10000,10000,7.423458,269.416204
4,10000,10000,10000,7.425981,269.324686
4,10000,10000,10000,7.372692,271.271338
4,10000,10000,10000,7.432446,269.090431
4,10000,10000,10000,7.411629,269.846225
4,10000,10000,10000,7.382138,270.924217
4,10000,10000,10000,7.405670,270.063352
4,10000,10000,10000,7.411565,269.848523
4,10000,10000,10000,7.405773,270.059583
4,10000,10000,10000,7.407562,269.994371
6,10000,10000,10000,4.920624,406.452543
6,10000,10000,10000,4.926054,406.004449
6,10000,10000,10000,4.899664,408.191238
6,10000,10000,10000,4.927981,405.845740
6,10000,10000,10000,4.967765,402.595514
6,10000,10000,10000,4.957092,403.462374
6,10000,10000,10000,4.924848,406.103894
6,10000,10000,10000,4.946338,404.339540
6,10000,10000,10000,4.979177,401.672792
6,10000,10000,10000,4.919882,406.513800
8,10000,10000,10000,3.877621,515.780215
8,10000,10000,10000,3.873162,516.373959
8,10000,10000,10000,3.927788,509.192403
8,10000,10000,10000,3.892765,513.773647
8,10000,10000,10000,3.868087,517.051500
8,10000,10000,10000,3.867880,517.079089
8,10000,10000,10000,3.890645,514.053620
8,10000,10000,10000,3.922449,509.885582
8,10000,10000,10000,3.900383,512.770221
8,10000,10000,10000,3.868044,517.057254
10,10000,10000,10000,3.105851,643.945854
10,10000,10000,10000,3.111098,642.859850
10,10000,10000,10000,3.147103,635.505148
10,10000,10000,10000,3.268254,611.947455
10,10000,10000,10000,3.088342,647.596588
10,10000,10000,10000,3.089347,647.386028
10,10000,10000,10000,3.105994,643.916211
10,10000,10000,10000,3.098859,645.398795
10,10000,10000,10000,3.097649,645.650976
10,10000,10000,10000,3.121677,640.681314
12,10000,10000,10000,2.526076,791.741874
12,10000,10000,10000,2.511144,796.449635
12,10000,10000,10000,2.522802,792.769274
12,10000,10000,10000,2.509202,797.066213
12,10000,10000,10000,2.513324,795.758881
12,10000,10000,10000,2.508049,797.432692
12,10000,10000,10000,2.507507,797.605050
12,10000,10000,10000,2.517605,794.405902
12,10000,10000,10000,2.514671,795.332636
12,10000,10000,10000,2.510363,796.697643
14,10000,10000,10000,2.210128,904.924996
14,10000,10000,10000,2.284134,875.605396
14,10000,10000,10000,2.212289,904.040907
14,10000,10000,10000,2.218698,901.429553
14,10000,10000,10000,2.209179,905.313541
14,10000,10000,10000,2.211230,904.474109
14,10000,10000,10000,2.223042,899.667958
14,10000,10000,10000,2.228952,897.282722
14,10000,10000,10000,2.219614,901.057480
14,10000,10000,10000,2.213759,903.440895
16,10000,10000,10000,1.974622,1012.852292
16,10000,10000,10000,1.981450,1009.361726
16,10000,10000,10000,2.009968,995.040528
16,10000,10000,10000,1.982806,1008.671796
16,10000,10000,10000,1.987818,1006.128517
16,10000,10000,10000,1.972498,1013.942811
16,10000,10000,10000,1.988782,1005.640715
16,10000,10000,10000,1.977650,1011.301199
16,10000,10000,10000,1.977856,1011.195900
16,10000,10000,10000,1.977302,1011.479239
18,10000,10000,10000,1.773342,1127.814016
18,10000,10000,10000,1.767612,1131.470292
18,10000,10000,10000,1.789954,1117.347347
18,10000,10000,10000,1.772897,1128.097130
18,10000,10000,10000,1.778071,1124.814626
18,10000,10000,10000,1.810304,1104.787084
18,10000,10000,10000,1.765450,1132.855792
18,10000,10000,10000,1.770143,1129.852201
18,10000,10000,10000,1.781718,1122.512243
18,10000,10000,10000,1.770968,1129.325588
20,10000,10000,10000,1.621959,1233.076618
20,10000,10000,10000,1.628256,1228.308213
20,10000,10000,10000,1.624635,1231.045441
20,10000,10000,10000,1.626427,1229.689210
20,10000,10000,10000,1.628914,1227.811623
20,10000,10000,10000,1.630363,1226.720318
20,10000,10000,10000,1.625483,1230.403882
20,10000,10000,10000,1.637109,1221.665492
20,10000,10000,10000,1.618406,1235.783801
20,10000,10000,10000,1.617732,1236.299052
22,10000,10000,10000,1.500041,1333.297282
22,10000,10000,10000,1.495427,1337.410434
22,10000,10000,10000,1.518309,1317.255143
22,10000,10000,10000,1.500407,1332.972084
22,10000,10000,10000,1.498275,1334.868654
22,10000,10000,10000,1.496793,1336.190126
22,10000,10000,10000,1.498732,1334.461128
22,10000,10000,10000,1.527641,1309.207850
22,10000,10000,10000,1.495582,1337.272375
22,10000,10000,10000,1.494782,1337.987437
24,10000,10000,10000,1.467043,1363.287015
24,10000,10000,10000,1.470576,1360.011148
24,10000,10000,10000,1.460803,1369.110253
24,10000,10000,10000,1.449307,1379.970296
24,10000,10000,10000,1.460999,1368.926533
24,10000,10000,10000,1.456704,1372.962339
24,10000,10000,10000,1.469676,1360.844445
24,10000,10000,10000,1.461647,1368.319737
24,10000,10000,10000,1.469780,1360.747809
24,10000,10000,10000,1.449868,1379.436044
