cores,size,size,size,time,gflops
1,10000,10000,10000,15.957809,125.330486
1,10000,10000,10000,15.914117,125.674580
1,10000,10000,10000,15.838035,126.278289
1,10000,10000,10000,15.854655,126.145915
1,10000,10000,10000,15.869980,126.024105
1,10000,10000,10000,15.802277,126.564038
1,10000,10000,10000,15.950571,125.387363
1,10000,10000,10000,15.857869,126.120350
1,10000,10000,10000,16.071736,124.442067
1,10000,10000,10000,15.824631,126.385250
2,10000,10000,10000,8.285254,241.392726
2,10000,10000,10000,8.305325,240.809356
2,10000,10000,10000,8.314873,240.532850
2,10000,10000,10000,8.398212,238.145917
2,10000,10000,10000,8.391930,238.324192
2,10000,10000,10000,8.405806,237.930793
2,10000,10000,10000,8.388208,238.429955
2,10000,10000,10000,8.334804,239.957664
2,10000,10000,10000,8.299287,240.984551
2,10000,10000,10000,8.327654,240.163665
4,10000,10000,10000,4.146805,482.299037
4,10000,10000,10000,4.148416,482.111691
4,10000,10000,10000,4.192098,477.088127
4,10000,10000,10000,4.217942,474.164882
4,10000,10000,10000,4.193054,476.979313
4,10000,10000,10000,4.166038,480.072454
4,10000,10000,10000,4.257873,469.718146
4,10000,10000,10000,4.183799,478.034408
4,10000,10000,10000,4.141679,482.895913
4,10000,10000,10000,4.131837,484.046252
6,10000,10000,10000,2.786425,717.765576
6,10000,10000,10000,2.792380,716.235014
6,10000,10000,10000,2.779861,719.460501
6,10000,10000,10000,2.792728,716.145686
6,10000,10000,10000,2.792772,716.134488
6,10000,10000,10000,2.803574,713.375196
6,10000,10000,10000,2.809956,711.754801
6,10000,10000,10000,2.795363,715.470591
6,10000,10000,10000,2.823142,708.430653
6,10000,10000,10000,2.801053,714.017183
8,10000,10000,10000,2.372644,842.941530
8,10000,10000,10000,2.379484,840.518280
8,10000,10000,10000,2.374348,842.336496
8,10000,10000,10000,2.367249,844.862380
8,10000,10000,10000,2.372533,842.980744
8,10000,10000,10000,2.369410,844.092057
8,10000,10000,10000,2.371525,843.339271
8,10000,10000,10000,2.375309,841.995718
8,10000,10000,10000,2.389456,837.010742
8,10000,10000,10000,2.371931,843.194955
10,10000,10000,10000,1.904037,1050.399960
10,10000,10000,10000,1.892805,1056.632835
10,10000,10000,10000,1.906898,1048.823778
10,10000,10000,10000,1.909237,1047.538972
10,10000,10000,10000,1.903587,1050.648293
10,10000,10000,10000,1.899099,1053.131056
10,10000,10000,10000,1.902770,1051.099257
10,10000,10000,10000,1.906745,1048.907754
10,10000,10000,10000,1.912519,1045.741500
10,10000,10000,10000,1.910225,1046.997046
12,10000,10000,10000,1.473124,1357.658521
12,10000,10000,10000,1.469528,1360.980897
12,10000,10000,10000,1.474343,1356.536833
12,10000,10000,10000,1.461122,1368.810766
12,10000,10000,10000,1.471622,1359.044676
12,10000,10000,10000,1.473541,1357.274306
12,10000,10000,10000,1.476600,1354.462727
12,10000,10000,10000,1.479313,1351.978574
12,10000,10000,10000,1.473114,1357.668614
12,10000,10000,10000,1.479986,1351.363773
14,10000,10000,10000,1.281005,1561.274123
14,10000,10000,10000,1.295059,1544.331613
14,10000,10000,10000,1.274484,1569.262663
14,10000,10000,10000,1.280233,1562.215669
14,10000,10000,10000,1.298515,1540.221235
14,10000,10000,10000,1.267428,1577.999304
14,10000,10000,10000,1.302688,1535.286497
14,10000,10000,10000,1.296474,1542.645384
14,10000,10000,10000,1.281522,1560.643853
14,10000,10000,10000,1.279509,1563.099816
16,10000,10000,10000,1.199923,1666.773235
16,10000,10000,10000,1.196493,1671.551904
16,10000,10000,10000,1.201768,1664.215282
16,10000,10000,10000,1.209342,1653.791787
16,10000,10000,10000,1.202088,1663.771579
16,10000,10000,10000,1.201599,1664.448959
16,10000,10000,10000,1.204975,1659.785094
16,10000,10000,10000,1.201405,1664.717576
16,10000,10000,10000,1.198828,1668.296492
16,10000,10000,10000,1.197323,1670.392400
18,10000,10000,10000,1.123990,1779.375602
18,10000,10000,10000,1.135417,1761.467450
18,10000,10000,10000,1.123888,1779.537326
18,10000,10000,10000,1.130374,1769.326481
18,10000,10000,10000,1.126549,1775.333744
18,10000,10000,10000,1.127992,1773.062189
18,10000,10000,10000,1.125986,1776.221631
18,10000,10000,10000,1.116248,1791.716340
18,10000,10000,10000,1.119742,1786.125903
18,10000,10000,10000,1.121425,1783.444811
20,10000,10000,10000,0.983640,2033.264023
20,10000,10000,10000,0.989667,2020.881263
20,10000,10000,10000,0.990908,2018.349999
20,10000,10000,10000,0.995728,2008.579854
20,10000,10000,10000,0.990403,2019.379213
20,10000,10000,10000,0.986296,2027.789706
20,10000,10000,10000,0.988347,2023.580992
20,10000,10000,10000,0.988454,2023.361172
20,10000,10000,10000,0.988617,2023.028135
20,10000,10000,10000,0.992174,2015.775619
22,10000,10000,10000,0.920238,2173.350030
22,10000,10000,10000,0.917779,2179.173160
22,10000,10000,10000,0.917277,2180.367524
22,10000,10000,10000,0.922426,2168.195477
22,10000,10000,10000,0.916468,2182.291511
22,10000,10000,10000,0.921484,2170.412155
22,10000,10000,10000,0.917807,2179.107056
22,10000,10000,10000,0.917391,2180.094571
22,10000,10000,10000,0.918306,2177.924197
22,10000,10000,10000,0.918797,2176.760360
24,10000,10000,10000,0.911922,2193.170583
24,10000,10000,10000,0.911900,2193.224096
24,10000,10000,10000,0.913538,2189.289463
24,10000,10000,10000,0.913027,2190.514868
24,10000,10000,10000,0.908487,2201.461443
24,10000,10000,10000,0.914536,2186.902089
24,10000,10000,10000,0.917762,2179.215297
24,10000,10000,10000,0.910592,2196.373556
24,10000,10000,10000,0.910926,2195.567392
24,10000,10000,10000,0.913125,2190.281817
