cores,size,size,size,time,gflops
1,10000,10000,10000,15.106156,132.396352
1,10000,10000,10000,15.121109,132.265434
1,10000,10000,10000,15.217738,131.425579
1,10000,10000,10000,15.165467,131.878564
1,10000,10000,10000,15.125003,132.231379
1,10000,10000,10000,15.112723,132.338827
1,10000,10000,10000,15.051485,132.877252
1,10000,10000,10000,15.144165,132.064070
1,10000,10000,10000,15.157018,131.952073
1,10000,10000,10000,15.203722,131.546740
2,10000,10000,10000,7.760191,257.725630
2,10000,10000,10000,7.764235,257.591380
2,10000,10000,10000,7.752232,257.990205
2,10000,10000,10000,7.769107,257.429856
2,10000,10000,10000,7.762792,257.639245
2,10000,10000,10000,7.748870,258.102163
2,10000,10000,10000,7.770144,257.395474
2,10000,10000,10000,7.766838,257.505036
2,10000,10000,10000,7.743350,258.286137
2,10000,10000,10000,7.772876,257.305023
4,10000,10000,10000,3.812694,524.563421
4,10000,10000,10000,3.817736,523.870691
4,10000,10000,10000,3.808389,525.156474
4,10000,10000,10000,3.818193,523.808042
4,10000,10000,10000,3.820726,523.460692
4,10000,10000,10000,3.799000,526.454369
4,10000,10000,10000,3.816271,524.071771
4,10000,10000,10000,3.814385,524.330949
4,10000,10000,10000,3.814324,524.339294
4,10000,10000,10000,3.816465,524.045190
6,10000,10000,10000,2.529991,790.516769
6,10000,10000,10000,2.523460,792.562621
6,10000,10000,10000,2.529743,790.594146
6,10000,10000,10000,2.531192,790.141511
6,10000,10000,10000,2.531357,790.089936
6,10000,10000,10000,2.531514,790.040914
6,10000,10000,10000,2.521728,793.107053
6,10000,10000,10000,2.534220,789.197455
6,10000,10000,10000,2.527874,791.178647
6,10000,10000,10000,2.530735,790.284253
8,10000,10000,10000,2.003869,998.069454
8,10000,10000,10000,1.998252,1000.874973
8,10000,10000,10000,1.995105,1002.453562
8,10000,10000,10000,1.985707,1007.197844
8,10000,10000,10000,1.997583,1001.209830
8,10000,10000,10000,2.001545,999.228284
8,10000,10000,10000,2.003212,998.396564
8,10000,10000,10000,1.998906,1000.547514
8,10000,10000,10000,2.005463,997.275921
8,10000,10000,10000,2.008149,995.942166
10,10000,10000,10000,1.558380,1283.384021
10,10000,10000,10000,1.559381,1282.560405
10,10000,10000,10000,1.558115,1283.602133
10,10000,10000,10000,1.554908,1286.249704
10,10000,10000,10000,1.555977,1285.366436
10,10000,10000,10000,1.554146,1286.880184
10,10000,10000,10000,1.558362,1283.399083
10,10000,10000,10000,1.555054,1286.129257
10,10000,10000,10000,1.551408,1289.151256
10,10000,10000,10000,1.559007,1282.868121
12,10000,10000,10000,1.280312,1562.119092
12,10000,10000,10000,1.279097,1563.602923
12,10000,10000,10000,1.277727,1565.279893
12,10000,10000,10000,1.279780,1562.769196
12,10000,10000,10000,1.280613,1561.751918
12,10000,10000,10000,1.280200,1562.255679
12,10000,10000,10000,1.279778,1562.771163
12,10000,10000,10000,1.278759,1564.015893
12,10000,10000,10000,1.278173,1564.733367
12,10000,10000,10000,1.277208,1565.915959
14,10000,10000,10000,1.118930,1787.422176
14,10000,10000,10000,1.117727,1789.346003
14,10000,10000,10000,1.118192,1788.601336
14,10000,10000,10000,1.118002,1788.906183
14,10000,10000,10000,1.118749,1787.711720
14,10000,10000,10000,1.116723,1790.954851
14,10000,10000,10000,1.118639,1787.886782
14,10000,10000,10000,1.117379,1789.902916
14,10000,10000,10000,1.118701,1787.787693
14,10000,10000,10000,1.117282,1790.058093
16,10000,10000,10000,0.980191,2040.419198
16,10000,10000,10000,0.979707,2041.426046
16,10000,10000,10000,0.980346,2040.096310
16,10000,10000,10000,0.980203,2040.394198
16,10000,10000,10000,0.981894,2036.879212
16,10000,10000,10000,0.980047,2040.717514
16,10000,10000,10000,0.978686,2043.556905
16,10000,10000,10000,0.980056,2040.699028
16,10000,10000,10000,0.981682,2037.320125
16,10000,10000,10000,0.979618,2041.611751
18,10000,10000,10000,0.877816,2278.380922
18,10000,10000,10000,0.879931,2272.904469
18,10000,10000,10000,0.878342,2277.017850
18,10000,10000,10000,0.880540,2271.333709
18,10000,10000,10000,0.880707,2270.903639
18,10000,10000,10000,0.880833,2270.577557
18,10000,10000,10000,0.879151,2274.921507
18,10000,10000,10000,0.877602,2278.938185
18,10000,10000,10000,0.878960,2275.416606
18,10000,10000,10000,0.879672,2273.575704
20,10000,10000,10000,0.800123,2499.614694
20,10000,10000,10000,0.801186,2496.298252
20,10000,10000,10000,0.800538,2498.320620
20,10000,10000,10000,0.800485,2498.485690
20,10000,10000,10000,0.800043,2499.864279
20,10000,10000,10000,0.801137,2496.451210
20,10000,10000,10000,0.798532,2504.595093
20,10000,10000,10000,0.801058,2496.699251
20,10000,10000,10000,0.799001,2503.127013
20,10000,10000,10000,0.800929,2497.100267
22,10000,10000,10000,0.735502,2719.229847
22,10000,10000,10000,0.732955,2728.678978
22,10000,10000,10000,0.735070,2720.827787
22,10000,10000,10000,0.735432,2719.490633
22,10000,10000,10000,0.735262,2720.119751
22,10000,10000,10000,0.736039,2717.246209
22,10000,10000,10000,0.734856,2721.621821
22,10000,10000,10000,0.735853,2717.932779
22,10000,10000,10000,0.735512,2719.193021
22,10000,10000,10000,0.735586,2718.919459
24,10000,10000,10000,0.680383,2939.519934
24,10000,10000,10000,0.680525,2938.907647
24,10000,10000,10000,0.682162,2931.856968
24,10000,10000,10000,0.681500,2934.701742
24,10000,10000,10000,0.681880,2933.067471
24,10000,10000,10000,0.681421,2935.044115
24,10000,10000,10000,0.680486,2939.077835
24,10000,10000,10000,0.679854,2941.806095
24,10000,10000,10000,0.681672,2933.960645
24,10000,10000,10000,0.681628,2934.153897
